,2010* 5-year estimte, , ,,2000,,,,1990*,,,,1980*,,,,1970*,,,,1960*,,,,1950*, ,,,1940,,,,1930, ,,,1920,,,,1910,,,,1900,,,,1890, ,,,1880,,,,1870,,,,1860,,,,1850,,,
"Region, division, and state",Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent,Total,Native,Foreign born,Foreign born percent
               United States,303965272,265290260,38675012,12.7,281421906,250314017,31107889,11.1,248709873,228942557,19767316,7.9,226545805,212465899,14079906,6.2,203210158,193590856,9619302,4.7,179325671,169587528,9738143,5.4,150216110,139868715,10347395,6.9,131669275,120074379,11594896,8.8,122775046,108570897,14204149,11.6,105710620,91789928,13920692,13.2,91972266,78456380,13515886,14.7,75994575,65653299,10341276,13.6,62622250,53372703,9249547,14.8,50155783,43475840,6679943,13.3,38558371,32991142,5567229,14.4,31443321,27304624,4138697,13.2,23191876,20947274,2244602,9.7
Northeast,54909218,46568222,8340996,15.2,53594378,46365310,7229068,13.5,50809229,45578205,5231024,10.3,49135283,44629360,4505923,9.2,49044015,44924334,4119681,8.4,44681702,40106959,4574743,10.2,39341610,34054445,5287165,13.4,35976777,29874231,6102546,17,34427091,27225417,7201674,20.9,29662053,22815690,6846363,23.1,25868573,19192290,6676283,25.8,21046695,16283899,4762796,22.6,17401545,13513368,3888177,22.3,14507407,11692887,2814520,19.4,12298730,9778124,2520606,20.5,10594268,8570363,2023905,19.1,8626851,7301308,1325543,15.4
     New England,,,, ,,,,,13206943,12163706,1043237,7.9,12348493,11390346,958147,7.8,11845126,10915934,929192,7.8,10510106,9443646,1066460,10.1,9269755,7978740,1291015,13.9,8437290,6927318,1509972,17.9,8166341,6317398,1848943,22.6,7400909,5514964,1885945,25.5,6552681,4727571,1825110,27.9,5592017,4146780,1445237,25.8,4700745,3558313,1142432,24.3,4010529,3216917,793612,19.8,3487924,2839923,648001,18.6,3135283,2665953,469330,15,2728116,2421867,306249,11.2
     Middle Atlantic,,,, ,,,,,37602286,33414499,4187787,11.1,36786790,33239014,3547776,9.6,37198889,34008400,3190489,8.6,34171596,30663313,3508283,10.3,30071855,26075705,3996150,13.3,27539487,22946913,4592574,16.7,26260750,20908019,5352731,20.4,22261144,17300726,4960418,22.3,19315892,14464719,4851173,25.1,15454678,12137119,3317559,21.5,12700800,9955055,2745745,21.6,10496878,8475970,2020908,19.3,8810806,6938201,1872605,21.3,7458985,5904410,1554575,20.8,5898735,4879441,1019294,17.3
Midwest,66514091,62175576,4338515,6.5,64392776,60882839,3509937,5.5,59668632,57537339,2131293,3.6,58865670,56751480,2114190,3.6,56564917,54691356,1873561,3.3,51623773,49346814,2276959,4.4,44281175,41573785,2707390,6.1,40143332,36784366,3358966,8.4,38594100,34234224,4359876,11.3,34019792,29411998,4607794,13.5,29888542,25198081,4690461,15.7,26333004,22174530,4158474,15.8,22362279,18302165,4060114,18.2,17364111,14447282,2916829,16.8,12981111,10647826,2333285,18,9096716,7553358,1543358,17,5403595,4753220,650375,12
     East North Central,,,, ,,,,,42008942,40225794,1783148,4.2,41682217,39912085,1770132,4.2,40246817,38663247,1583570,3.9,36228690,34351633,1877057,5.2,30269515,28122685,2146830,7.1,26626342,24046979,2579363,9.7,25297185,22021462,3275723,12.9,21475543,18243402,3232141,15.1,18250621,15176855,3073766,16.8,15985581,13360355,2625226,16.4,13471840,10960916,2510924,18.6,11206668,9290038,1916630,17.1,9124517,7462843,1661674,18.2,6926884,5729688,1197196,17.3,4523260,3972423,550837,12.2
     West North Central,,,, ,,,,,17659690,17311545,348145,2,17183453,16839395,344058,2,16318100,16028109,289991,1.8,15395083,14995181,399902,2.6,14011660,13451100,560560,4,13516990,12737387,779603,5.8,13296915,12212762,1084153,8.2,12544249,11168596,1375653,11,11637921,10021226,1616695,13.9,10347423,8814175,1533248,14.8,8890439,7341249,1549190,17.4,6157443,5157244,1000199,16.2,3856594,3184983,671611,17.4,2169832,1823670,346162,16,880335,780797,99538,11.3
South,112072990,99936063,12136927,10.8,100236820,91628379,8608441,8.6,85445930,80863637,4582293,5.4,75372362,72477605,2894757,3.8,62792882,61476677,1316205,2.1,54963470,54000550,962920,1.8,47085880,46318560,767320,1.6,41665901,41026113,639788,1.5,37857633,37039019,818614,2.2,33125803,32257449,868354,2.6,29389330,28649319,740011,2.5,24523527,23949842,573685,2.3,19830813,19300467,530346,2.7,16516568,16068036,448532,2.7,12288020,11888045,399975,3.3,11133361,10740929,392432,3.5,8982612,8740947,241665,2.7
     South Atlantic,,,, ,,,,,43566853,40843908,2722945,6.3,36959123,35230206,1728917,4.7,30671188,29792434,878754,2.9,25960258,25409832,550426,2.1,21130905,20750510,380395,1.8,17823151,17521183,301968,1.7,15793589,15474892,318697,2,13990272,13659735,330537,2.4,12194895,11894901,299994,2.5,10443480,10227450,216030,2.1,8857920,8649395,208525,2.4,7597197,7422939,174258,2.3,5853610,5686766,166844,2.9,5364703,5202203,162500,3,4679090,4574180,104910,2.2
     East South Central,,,, ,,,,,15176284,15019135,157149,1,14666423,14520963,145460,1,12803421,12743731,59690,0.5,12050126,11994440,55686,0.5,11456570,11404600,51970,0.5,10778225,10732377,45848,0.4,9887214,9827850,59364,0.6,8893307,8820318,72989,0.8,8409901,8322076,87825,1,7547757,7457189,90568,1.2,6428770,6326656,102114,1.6,5585151,5489989,95162,1.7,4404445,4300578,103867,2.4,4020991,3919056,101935,2.5,3363271,3313901,49370,1.5
     West South Central,,,, ,,,,,26702793,25000594,1702199,6.4,23746816,22726436,1020380,4.3,19318273,18940512,377761,2,16953086,16596278,356808,2.1,14498405,14163450,334955,2.3,13064525,12772553,291972,2.2,12176830,11736277,440553,3.6,10242224,9777396,464828,4.5,8784534,8432342,352192,4,6532290,6265203,267087,4.1,4544123,4324416,219707,4.8,3334220,3155108,179112,5.4,2029965,1900701,129264,6.4,1747667,1619670,127997,7.3,940251,852866,87385,9.3
West,112072990,56610399,13858574,12.4,63197932,51437489,11760443,18.6,52786082,44963376,7822706,14.8,43172490,38607454,4565036,10.6,34808344,32498489,2309855,6.6,28056726,26133205,1923521,6.9,19507445,17921925,1585520,8.1,13883265,12389669,1493596,10.8,11896222,10072237,1823985,15.3,8902972,7304791,1598181,18,6825821,5416690,1409131,20.6,4091349,3245028,846321,20.7,3027613,2256703,770910,25.5,1767697,1267635,500062,28.3,990510,677147,313363,31.6,618976,439974,179002,28.9,178818,151799,27019,15.1
