0,id,Geographic Area Name,2017 Estimate!!Total,2017 Estimate!!Total!!Native,2017 Estimate!!Total!!Foreign born,2017 Estimate!!Total!!Foreign born!!Naturalized U.S. citizen,2017 Estimate!!Total!!Foreign born!!Not a U.S. citizen,2015 Estimate!!Total,2015 Estimate!!Total!!Native,2015 Estimate!!Total!!Foreign born,2015 Estimate!!Total!!Foreign born!!Naturalized U.S. citizen,2015 Estimate!!Total!!Foreign born!!Not a U.S. citizen,2010 Estimate!!Total,2010 Estimate!!Total!!Native,2010 Estimate!!Total!!Foreign born,2010 Estimate!!Total!!Foreign born!!Naturalized U.S. citizen,2010 Estimate!!Total!!Foreign born!!Not a U.S. citizen
2,0500000US08001,"Adams County, Colorado",487850,413382,74468,23116,51352,471206,400256,70950,21646,49304,425330,361017,64313,17365,46948
31,0500000US08003,"Alamosa County, Colorado",16345,14688,1657,426,1231,16269,15106,1163,226,937,15293,14371,922,240,682
45,0500000US08005,"Arapahoe County, Colorado",626612,533523,93089,39874,53215,608310,518346,89964,37683,52281,552860,470446,82414,28090,54324
48,0500000US08007,"Archuleta County, Colorado",12592,11778,814,381,433,12174,11532,642,303,339,12136,11926,210,165,45
52,0500000US08009,"Baca County, Colorado",3581,3436,145,33,112,3701,3606,95,38,57,3833,3728,105,66,39
13,0500000US08011,"Bent County, Colorado",5806,5494,312,62,250,5895,5483,412,84,328,6125,5841,284,14,270
24,0500000US08013,"Boulder County, Colorado",316782,282635,34147,14507,19640,310032,276953,33079,13154,19925,290177,257764,32413,10735,21678
64,0500000US08014,"Broomfield County, Colorado",64283,58010,6273,3400,2873,60699,54918,5781,2940,2841,52872,48616,4256,2325,1931
53,0500000US08015,"Chaffee County, Colorado",18818,18163,655,341,314,18309,17827,482,234,248,17540,16982,558,254,304
12,0500000US08017,"Cheyenne County, Colorado",2127,1942,185,63,122,2002,1895,107,31,76,2194,2075,119,31,88
28,0500000US08019,"Clear Creek County, Colorado",9257,8975,282,36,246,9136,8807,329,139,190,9088,8809,279,110,169
3,0500000US08021,"Conejos County, Colorado",8147,7884,263,106,157,8249,7983,266,98,168,8220,7876,344,69,275
1,0500000US08023,"Costilla County, Colorado",3628,3321,307,136,171,3581,3320,261,79,182,3536,3201,335,67,268
14,0500000US08025,"Crowley County, Colorado",5514,5207,307,18,289,5551,5337,214,17,197,5897,5535,362,30,332
4,0500000US08027,"Custer County, Colorado",4505,4410,95,65,30,4303,4218,85,35,50,3899,3815,84,54,30
32,0500000US08029,"Delta County, Colorado",30217,28907,1310,563,747,30214,28980,1234,453,781,30533,29098,1435,346,1089
49,0500000US08031,"Denver County, Colorado",678467,571326,107141,37228,69913,649654,545284,104370,33820,70550,578087,481857,96230,27161,69069
15,0500000US08033,"Dolores County, Colorado",1736,1710,26,13,13,1862,1842,20,15,5,2027,2023,4,0,4
5,0500000US08035,"Douglas County, Colorado",320940,297753,23187,12609,10578,306974,285583,21391,11223,10168,273440,257256,16184,8398,7786
6,0500000US08037,"Eagle County, Colorado",53726,44240,9486,2267,7219,52576,42564,10012,2333,7679,50793,40690,10103,1768,8335
42,0500000US08041,"El Paso County, Colorado",674826,628411,46415,23991,22424,655024,608218,46806,24387,22419,599988,556805,43183,19949,23234
25,0500000US08039,"Elbert County, Colorado",24553,23722,831,453,378,23855,22869,986,321,665,22712,22132,580,378,202
33,0500000US08043,"Fremont County, Colorado",46601,45245,1356,600,756,46809,45245,1564,645,919,46941,43880,3061,1218,1843
56,0500000US08045,"Garfield County, Colorado",57945,49259,8686,2041,6645,57076,48697,8379,1723,6656,54761,45613,9148,1396,7752
54,0500000US08047,"Gilpin County, Colorado",5793,5614,179,125,54,5605,5410,195,137,58,5126,4975,151,37,114
44,0500000US08049,"Grand County, Colorado",14793,13507,1286,624,662,14411,13393,1018,557,461,14526,13824,702,214,488
57,0500000US08051,"Gunnison County, Colorado",16215,15630,585,261,324,15651,15041,610,258,352,15136,14309,827,187,640
41,0500000US08053,"Hinsdale County, Colorado",820,811,9,9,0,874,865,9,9,0,489,475,14,14,0
51,0500000US08055,"Huerfano County, Colorado",6498,6375,123,79,44,6502,6310,192,145,47,6948,6651,297,59,238
17,0500000US08057,"Jackson County, Colorado",1372,1249,123,43,80,1335,1281,54,2,52,1464,1441,23,7,16
58,0500000US08059,"Jefferson County, Colorado",564029,526339,37690,19088,18602,552344,516407,35937,17800,18137,528614,494914,33700,15167,18533
50,0500000US08061,"Kiowa County, Colorado",1368,1366,2,0,2,1463,1434,29,2,27,1643,1626,17,11,6
55,0500000US08063,"Kit Carson County, Colorado",7846,7174,672,82,590,7980,7349,631,43,588,8156,7322,834,97,737
8,0500000US08067,"La Plata County, Colorado",54469,52358,2111,930,1181,53182,51171,2011,924,1087,50149,48566,1583,657,926
7,0500000US08065,"Lake County, Colorado",7481,6870,611,75,536,7362,6570,792,117,675,7039,5980,1059,161,898
18,0500000US08069,"Larimer County, Colorado",330976,313184,17792,7895,9897,318227,301664,16563,6935,9628,291162,275750,15412,5723,9689
26,0500000US08071,"Las Animas County, Colorado",14151,13459,692,233,459,14503,13889,614,266,348,15675,15097,578,241,337
27,0500000US08073,"Lincoln County, Colorado",5520,5261,259,30,229,5478,5151,327,15,312,5476,5218,258,57,201
19,0500000US08075,"Logan County, Colorado",21885,20994,891,195,696,21928,20384,1544,420,1124,22278,21231,1047,204,843
39,0500000US08077,"Mesa County, Colorado",148798,143347,5451,2649,2802,147834,142579,5255,2329,2926,142284,136368,5916,1902,4014
59,0500000US08079,"Mineral County, Colorado",834,826,8,8,0,733,726,7,7,0,1020,1001,19,3,16
9,0500000US08081,"Moffat County, Colorado",13056,12241,815,421,394,13117,12326,791,323,468,13519,12694,825,187,638
20,0500000US08083,"Montezuma County, Colorado",25770,25116,654,362,292,25700,24993,707,329,378,25279,24735,544,136,408
35,0500000US08085,"Montrose County, Colorado",40908,38153,2755,1093,1662,40815,37883,2932,980,1952,40266,37149,3117,716,2401
36,0500000US08087,"Morgan County, Colorado",28123,24421,3702,959,2743,28359,24753,3606,942,2664,27911,24105,3806,646,3160
46,0500000US08089,"Otero County, Colorado",18325,17254,1071,292,779,18572,17556,1016,303,713,18830,18080,750,243,507
60,0500000US08091,"Ouray County, Colorado",4653,4551,102,40,62,4580,4458,122,40,82,4319,4199,120,61,59
37,0500000US08093,"Park County, Colorado",16900,16280,620,268,352,16189,15497,692,271,421,16286,15632,654,268,386
47,0500000US08095,"Phillips County, Colorado",4327,3880,447,170,277,4371,3979,392,145,247,4394,3946,448,169,279
10,0500000US08097,"Pitkin County, Colorado",17747,15679,2068,687,1381,17420,15372,2048,649,1399,16389,14329,2060,459,1601
40,0500000US08099,"Prowers County, Colorado",12084,10881,1203,240,963,12235,10893,1342,293,1049,12734,11462,1272,402,870
34,0500000US08101,"Pueblo County, Colorado",163368,156993,6375,2609,3766,161519,155191,6328,2396,3932,156244,150954,5290,2032,3258
61,0500000US08103,"Rio Blanco County, Colorado",6557,6332,225,100,125,6712,6408,304,145,159,6494,6092,402,29,373
11,0500000US08105,"Rio Grande County, Colorado",11430,10678,752,263,489,11745,10915,830,409,421,11926,11304,622,139,483
29,0500000US08107,"Routt County, Colorado",24359,22933,1426,616,810,23606,22236,1370,449,921,22924,22051,873,238,635
38,0500000US08109,"Saguache County, Colorado",6338,5580,758,283,475,6238,5518,720,227,493,6161,5398,763,162,601
16,0500000US08111,"San Juan County, Colorado",569,564,5,5,0,606,594,12,3,9,752,737,15,15,0
21,0500000US08113,"San Miguel County, Colorado",7804,7210,594,196,398,7676,7123,553,207,346,7299,6686,613,138,475
62,0500000US08115,"Sedgwick County, Colorado",2357,2280,77,30,47,2365,2276,89,32,57,2412,2357,55,1,54
30,0500000US08117,"Summit County, Colorado",29722,26679,3043,844,2199,28940,25530,3410,1060,2350,27105,23811,3294,726,2568
22,0500000US08119,"Teller County, Colorado",23769,23063,706,465,241,23340,22715,625,397,228,22821,22344,477,247,230
43,0500000US08121,"Washington County, Colorado",4809,4657,152,51,101,4795,4641,154,50,104,4773,4573,200,37,163
63,0500000US08123,"Weld County, Colorado",285729,260638,25091,8493,16598,270948,248650,22298,8060,14238,242860,219814,23046,6520,16526
23,0500000US08125,"Yuma County, Colorado",10109,9095,1014,242,772,10185,9134,1051,239,812,9896,8736,1160,128,1032
