Primary Industry Type,,Employer,Doing Business As,Workforce Size,Number of Hiring Sites,Hiring Site Locations (by state)
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",271 Lake Davis Holdings,The Veritas Farms,20 to 99,2,"CO, FL"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",A-G Sod Farms,,100 to 499,7,"CA, CO"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",acme tree service inc.,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Adam Dairy,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","AESTHETIC LAND MANAGEMENT, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Albert F. Sack,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",ALLEN MITCHEK FEED AND GRAIN,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Allied Potato Colorado, Inc.",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",ALPINE FIVE,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Alternative Medical Remedies,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Animal Health International, Inc.",,"1,000 to 2,499",4,"CA, CO, IA, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Animas Valley Arborist Inc.,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Aquatic Biosystems, Inc.",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",ArborScape Inc,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Arbortec Tree Service Inc.,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Arizona Grain, Inc",,20 to 99,3,"AZ, CA, CO"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Arizona Machinery LLC,Stotz Equipment,500 to 999,25,"AZ, CA, CO, ID, NM, NV, UT, WY"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Aurora Organic Dairy Corporation,"Aurora Organic Farms, Inc.",500 to 999,6,"CO, MO, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Baca County Conservation District,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Bailey Tree, LLC",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Bedrock Land Works,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Bigfoot Turf,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Billil, Corp.",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Black Bridge Winery L.L.C.,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","BMS Landscape, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",bothell seed llc,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Boulder Built,,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Boxelder Creek Nurseries, LLC",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Brushco Farms, Inc.",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Bureau of Land Management,BLM,"5,000 to 9,999",1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Cargill Cattle Feeders,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Catlins Greenhouse,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Center Greenhouse, Inc.",Same,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Choice Genetics USA LLC,,20 to 99,5,"CO, IA, KS, MO"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Christensen Bros., Inc.",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",CHS Inc.,,"10,000 and over",41,"CO, IA, KS, MN, MT, ND, NE, WI"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Colorado Legends and Legacies Youth Corps,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Conservation Legacy,,"1,000 to 2,499",10,"AZ, CO, NM, TN, VA, WV"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Countryside Pullets, LLC","Countryside Pullets, LLC",20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Crop Quest, Inc.",,100 to 499,13,"CO, KS, OK, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",CSS FARMS,,100 to 499,12,"CA, CO, NE, OR, SD, TX, WA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",D&D West LLC,D&D Feedlot,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Dasco, Inc",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Del Monte Fresh Produce N.A. INC,,500 to 999,32,"AZ, CA, CO, FL, GA, IL, MA, MD, MO, NC, NJ, OH, OR, PA, TX, UT, VA, WA"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Destination Pet,,100 to 499,26,"CO, GA, KS, LA, MO, NJ, TN, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Diamond S Ranch,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Diamond S Ranch Inc.,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","DINKLAGE FEED YARD, INC.",,100 to 499,6,"CO, NE, WY"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Dinsdale Brothers,,20 to 99,3,"CO, NE"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Dominquez Canyon Fruit Co.,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Double Dove Ranches, LLC",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Dutch Heritage Gardens,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Eagle Springs Organic LLC,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Earth-Wise Horticultural, Inc.",,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Elk Run, L.P DBA Twin Peaks",,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Entz Farms,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Envigo,Envigo,500 to 999,20,"AL, CA, CO, FL, IN, MA, MD, MI, NJ, TX, VA, WA, WI"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Environmental Tree Care,Environmental Tree Care,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Eric L Ellithorpe,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",FARMERS NEW HOLLAND INC,,10 to 19,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",First Fruits Organic Farms,,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Five Rivers Cattle Feeding, LLC",,500 to 999,11,"AZ, CO, ID, KS, OK, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","FJ Management, Inc.",,"5,000 to 9,999",323,"AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, GU, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VI, VT, WA, WI, WV, WY"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","FortMackey, Inc",,20 to 99,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Freshpack Produce Inc.,",,100 to 499,3,"AZ, CO, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Freshpack Produce, Inc.",,100 to 499,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",Gardner Turfgrass Inc.,,20 to 99,3,"CO, NM"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","Gardner Turfgrass, Inc.",,20 to 99,4,"CO, NM"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",George Seward,George Seward,5 to 9,1,CO
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING","GRASMICK, INC.",,10 to 19,2,"CO, TX"
11,"AGRICULTURE, FORESTRY, FISHING AND HUNTING",GREEN SPOT INC.,,20 to 99,1,CO
