AGENT_ATTORNEY_ADDRESS1,AGENT_ATTORNEY_ADDRESS2,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_POSTAL_CODE,AGENT_ATTORNEY_STATE,AGENT_POC_EMPLOYER_REP_BY_AGENT,ALIEN_WORK_CITY,ALIEN_WORK_STATE,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NO,CASE_RECEIVED_DATE,CASE_STATUS,STATUS_STANDARDIZED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,EDUCATION_LEVEL,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_COUNTRY,EMPLOYER_NAME,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,EMPLOYER_POSTAL_CODE,EMPLOYER_PROVINCE,EMPLOYER_REP_BY_AGENT,EMPLOYER_STATE,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,FULL_TIME_POSITION,FY,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,JOB_END_DATE,JOB_IDNUMBER,JOB_START_DATE,JOB_TITLE,LAWFIRM_NAME,MAJOR,NAICS_CODE,NAME_REQD_TRAINING,NATURE_OF_TEMPORARY_NEED,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NUM_MONTHS_TRAINING,ORGANIZATION_FLAG,OTHER_EDU,OTHER_WORKSITE_LOCATION,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,PRIMARY/SUB,PRIMARY_CROP,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,SOC_CODE,SOC_TITLE,SUPERVISE_HOW_MANY,SUPERVISE_OTHER_EMP,SWA_NAME,TRADE_NAME,TRAINING_REQ,VISA_CLASS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_POSTAL_CODE,WORKSITE_LOCATION_STATE
,,Casper,SANDRA STUNTEBECK,,WY,,,,60,750,Month,H-300-15240-126762,9/2/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,11/1/15,10/31/16,10/7/15,None,"619 Shepherds Lane, Hotchkiss CO 81419 (Physical Address)","PO Box 479, Hotchkiss CO 81419 (Mailing Address)",Hotchkiss,UNITED STATES OF AMERICA,"Hotchkiss Ranches, Inc.",970-234-4852,,81419,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,5/2/16,CO6264150,8/24/15,Sheepherder,Mountain Plains Ag Service,,112410,,Seasonal,10,10,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State Workforce,,N,H-2A,Hotchkiss,,81419,CO
,,,,,,,,,40,750,Month,H-300-15243-487642,9/1/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,11/10/15,11/9/16,10/15/15,None,46009 COLORADO HWY 318,,MAYBELL,UNITED STATES OF AMERICA,TWO BAR SHEEP COMPANY,801-486-2004,101,81640,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,2,2,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,Wasco,,93280,CA
,,,,,,,,,40,750,Month,H-300-15243-487642,9/1/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,11/10/15,11/9/16,10/15/15,None,1671 COUNTY ROAD 103,,CRAIG,UNITED STATES OF AMERICA,NOTTINGHAM LAND & LIVESTOCK,801-486-2004,101,81625,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,4,4,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,Wasco,,93280,CA
,,,,,,,,,40,750,Month,H-300-15243-487642,9/1/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,11/10/15,11/9/16,10/15/15,None,66418 HIGHWAY 6,,GLENWOOD SPRINGS,UNITED STATES OF AMERICA,JAMES CRAIG BAIR RANCH COMPANY,801-486-2004,101,81601,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,1,1,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,Wasco,,93280,CA
,,,,,,,,,40,750,Month,H-300-15243-487642,9/1/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,11/10/15,11/9/16,10/15/15,None,36597 HWY 40,,ELK SPRINGS,UNITED STATES OF AMERICA,TUTTLE LIVESTOCK COMPANY LLC,801-486-2004,101,81640,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,3,3,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,Wasco,,93280,CA
,,,,,,,,,40,750,Month,H-300-15243-487642,9/1/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,11/10/15,11/9/16,10/15/15,None,4392 EAST ROAD 4 NORTH,,MONTE VISTA,UNITED STATES OF AMERICA,KLECKER FARMS INC,801-486-2004,101,81144,,,CO,Y,3,Y,2016,12:00 AM,12:00 PM,,,,SHEEPHERDER,,,,,Seasonal,1,1,,,,Y,,,SUB,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,,,N,H-2A,Wasco,,93280,CA
,,Casper,Linda Reyna,,WY,,,,60,750,Month,H-300-15246-267767,9/3/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,11/1/15,10/31/16,10/7/15,None,"37078 Highway 92, Hotchkiss CO 81419","PO Box 25, Hotchkiss CO 81419",Hotchkiss,UNITED STATES OF AMERICA,Allen Livestock,970-708-8901,,81419,,,CO,Y,6,Y,2016,12:00 AM,12:00 PM,5/1/16,CO6263162,8/21/15,Sheepherder,Mountain Plains Ag Service,,112410,,Seasonal,5,5,,Association - Filing as Agent (H-2A Only),,Y,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,CO State workforce,,N,H-2A,Hotchkiss,,81419,CO
,,Ames,Anthony Fry,,IA,,,,40,11.37,Hour,H-300-15251-594095,9/8/15,DETERMINATION ISSUED - CERTIFICATION EXPIRED,DETERMINATION ISSUED - CERTIFICATION EXPIRED,10/23/15,12/24/15,10/8/15,None,6301 S Calico Place,,Sioux Falls,UNITED STATES OF AMERICA,Pro-X Builders Inc.,361-455-1526,,57108,,,SD,Y,1,Y,2016,7:30 AM,4:30 PM,11/23/15,CO 6276043,9/9/15,Farm Worker/ Laborer,THE BERNARD FIRM P.L.C.,,115115,,Seasonal,13,13,,H-2A Labor Contractor or Job Contractor,,N,,,PRI,Construction of Livestock Buildings,N,,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",,N,CO Department of Labor & Employment,,N,H-2A,Hudson,,80642,CO
,,WYLIE,LORI WHITTEN,,TX,,,,40,750,Week,H-300-15257-049970,9/14/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,11/17/15,11/16/16,10/20/15,None,501 N LINCOLN,,OAK CREEK,UNITED STATES OF AMERICA,"HIGH COUNTRY LAMB, LLC",970-736-2563,,80467,,,CO,Y,3,Y,2016,6:00 AM,6:00 PM,5/17/16,CO6280341,9/8/15,Sheepherder,ACTION VISA ASSISTANCE,,112410,,Seasonal,6,6,,Individual Employer,,Y,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,COLORADO DEPT OF LABOR,,N,H-2A,OAK CREEK,,80467,CO
,,CRAIG,KANDANCE KROPINAK,,CO,,,,45,750,Month,H-300-15268-530687,9/28/15,DETERMINATION ISSUED - CERTIFICATION,DETERMINATION ISSUED - CERTIFICATION,11/20/15,11/19/16,10/19/15,None,561 S Road,na,Mack,UNITED STATES OF AMERICA,"LAZY 3X SHEEP COMPANY, LLC.",970-858-3888,,81525,na,,CO,Y,3,Y,2016,12:00 AM,11:55 PM,5/20/16,CO6275909,9/8/15,sheepherder,HIGH COUNTRY AGRICULTURAL SERVICES,na,1124,,Seasonal,1,1,,Individual Employer,na,N,,,PRI,Sheep,N,,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",,N,Colorado State Workforce Agency,,N,H-2A,Mack,,81525,CO
