,CASE_NO,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,REQUESTED_START_DATE_OF_NEED,REQUESTED_END_DATE_OF_NEED,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE_ID,SOC_TITLE,NBR_WORKERS_CERTIFIED,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,WORKSITE_LOCATION_CITY,WORKSITE_LOCATION_STATE,ORGANIZATION_FLAG
0,H-300-12345-457400,2014-03-03 10:30:27,H-2A,2014-02-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-04-01 00:00:00,2014-12-01 00:00:00,2014-04-01 00:00:00,2014-12-01 00:00:00,The Purple Sage,PO Box 369,43 Carbon County Road 722,Baggs,WY,82321,HIGH COUNTRY AGRICULTURAL SERVICES,KANDANCE KROPINAK,CRAIG,CO,Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,45.0,875.0,Month,Baggs,WY,Individual Employer
1,H-300-12348-698598,2014-02-27 13:25:09,H-2A,2014-02-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-25 00:00:00,2014-12-15 00:00:00,2014-03-25 00:00:00,2014-12-15 00:00:00,Howard B. Lee Family Limited Partnership,PO Box 6,1201 North Street,Baggs,WY,82321,HIGH COUNTRY AGRICULTURAL SERVICES,KANDANCE KROPINAK,CRAIG,CO,Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,45.0,875.0,Month,Baggs,WY,Individual Employer
2,H-300-13007-934412,2014-02-24 10:05:12,H-2A,2014-01-28 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-15 00:00:00,2014-11-15 00:00:00,2014-03-15 00:00:00,2014-11-15 00:00:00,"Ryan Johnson Farms, LLC",51854 State Hwy.78,,Hammett,ID,83627,SNAKE RIVER FARMERS ASSOCIATION INC,MICHAELENE ROWE,HEYBURN,ID,Farm/Irrigation/Livestock Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",2.0,48.0,10.69,Hour,Hammett,ID,Individual Employer
3,H-300-13009-524994,2014-03-28 12:47:29,H-2A,2014-02-18 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-04-14 00:00:00,2014-06-20 00:00:00,2014-04-14 00:00:00,2014-06-20 00:00:00,Copper Station Farms,3982 Jones Road NW,,Riceboro,GA,31323,LOW COUNTRY LABOR COMPANY,MICHAEL LALICH,JOHNS ISLAND,SC,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",70.0,40.0,10.0,Hour,Riceboro,GA,Individual Employer
4,H-300-13050-453923,2014-01-24 09:12:22,H-2A,2013-12-26 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-12-01 00:00:00,2014-03-01 00:00:00,2014-12-01 00:00:00,B. CRAIG DUKE,600 NORTH BIG SPRING STREET,,MIDLAND,TX,79701,Agriculture Workforce Management Association,DONNA CARPENTER,LEXINGTON,KY,FARM WORKER FARM & RANCH ANIMALS,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,40.0,10.18,Hour,MIDLAND,TX,Association - Filing as Agent (H-2A Only)
5,H-300-13073-953233,2013-10-17 17:21:53,H-2A,2013-09-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2013-11-01 00:00:00,2014-10-31 00:00:00,2013-11-01 00:00:00,2014-10-31 00:00:00,BAR TWO RANCH LLC/RONALD R. CASH,"13609 CR Z, La Jara, CO 81140 (Physical Address)","13609 CR Z, La Jara, CO 81140 (Mailing Address)",La Jara,CO,81140,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,60.0,750.0,Month,La Jara,CO,Association - Filing as Agent (H-2A Only)
6,H-300-13078-133974,2013-10-30 14:03:55,H-2A,2013-09-24 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2013-11-15 00:00:00,2014-07-30 00:00:00,2013-11-15 00:00:00,2014-07-30 00:00:00,T.A.F Shearing Company/Alejandro R Colqui,"27 West 100 South, Franklin, ID 83237 (Physical Address)","PO Box 64, Franklin, ID 83237 (Mailing Address)",Franklin,ID,83237,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheep Shearer,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8.0,48.0,1.5,Select Pay Range,Franklin,ID,H-2A Labor Contractor or Job Contractor
7,H-300-13078-340392,2013-10-22 13:54:12,H-2A,2013-08-15 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2013-10-01 00:00:00,2014-09-30 00:00:00,2013-10-01 00:00:00,2014-09-30 00:00:00,"Double-U-Livestock, LLC/Wade S.  West","HC 33 (65 miles North of Ely), Ely, NV 89301 (Physical Address)","HC 33, Box 33701, Ely, NV 89301 (Mailing Address)",Ely,NV,89301,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",8.0,60.0,800.0,Month,Ely,NV,Association - Filing as Agent (H-2A Only)
8,H-300-13079-039285,2013-10-18 15:05:25,H-2A,2013-09-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2013-11-01 00:00:00,2014-10-31 00:00:00,2013-11-01 00:00:00,2014-10-31 00:00:00,Titmus Family Farms/Sunnie Titmus,"440 North Lamb Lane, Grantsville, UT 84029 (Physical Address)","PO Box 922, Grantsville, UT 84029 (Mailing Address)",Grantsville,UT,84029,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.0,60.0,750.0,Month,Grantsville,UT,Association - Filing as Agent (H-2A Only)
9,H-300-13079-135500,2013-10-22 15:16:06,H-2A,2013-09-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2013-11-01 00:00:00,2014-10-31 00:00:00,2013-11-01 00:00:00,2014-10-31 00:00:00,Gleave Livestock/Stanton J. Gleave,"34 South 400 West, Kingston, UT 84743 (Physical Address)","PO Box 284, Kingston, UT 84743 (Mailing Address)",Kingston,UT,84743,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.0,60.0,750.0,Month,Kingston,UT,Association - Filing as Agent (H-2A Only)
10,H-300-13079-203390,2013-11-04 15:33:19,H-2A,2013-09-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2013-11-01 00:00:00,2014-10-31 00:00:00,2013-11-01 00:00:00,2014-10-31 00:00:00,Joseph Auza Sheep Co./Joseph Auza Jr.,"353 East Wiley Way, Casa Grande, AZ 85222 (Physical Address)","353 East Wiley Way, Casa Grande, AZ 85222 (Mailing Address)",Casa Grande,AZ,85222,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",4.0,60.0,750.0,Month,Casa Grande,AZ,Association - Filing as Agent (H-2A Only)
11,H-300-13079-666492,2013-10-29 07:25:27,H-2A,2013-09-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2013-11-01 00:00:00,2014-10-31 00:00:00,2013-11-01 00:00:00,2014-10-31 00:00:00,Hotchkiss Ranches Inc.,"11577 Shamrock Road, Hotchkiss, CO 81419 (Physical Address)","PO Box 479, Hotchkiss, CO 81419 (Mailing Address)",Hotchkiss,CO,81419,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",10.0,60.0,750.0,Month,Hotchkiss,CO,Association - Filing as Agent (H-2A Only)
12,H-300-13080-283652,2014-01-29 12:44:50,H-2A,2014-01-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-03-01 00:00:00,2014-11-30 00:00:00,2014-03-01 00:00:00,2014-11-30 00:00:00,R Larson Sheep Co/Randy or Julie Larson,"179 West 100 South, Ephraim, UT 84627 (Physical Address)","PO Box 336, Ephraim, UT 84627 (Mailing Address)",Ephraim,UT,84627,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,60.0,875.0,Month,Ephraim,UT,Association - Filing as Agent (H-2A Only)
13,H-300-13084-504164,2013-12-19 15:07:19,H-2A,2013-12-03 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-02-01 00:00:00,2014-11-30 00:00:00,2014-02-01 00:00:00,2014-11-30 00:00:00,"Little Ranch Company, Inc/Phil and Glory Little","4533 U.S. Hwy 14-16, Leiter, WY 82837 (Physical Address)","PO Box 163, Leiter, WY 82837 (Mailing Address)",Leiter,WY,82837,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",2.0,60.0,875.0,Month,Leiter,WY,Association - Filing as Agent (H-2A Only)
14,H-300-13085-009010,2013-11-13 16:45:19,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-10-31 00:00:00,2014-01-01 00:00:00,2014-10-31 00:00:00,Macon Cattle Assoc. LLC/Marty Lynn Bennett,"2451 East 1300 South, Gooding, ID 83330 (Physical Address)","2451 East 1300 South, Gooding, ID 83330 (Mailing Address)",Gooding,ID,83330,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",3.0,60.0,875.0,Month,Gooding,ID,Association - Filing as Agent (H-2A Only)
15,H-300-13085-010779,2013-11-22 12:36:14,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Marcus Iten Bacchi,"5300 Hwy 49, El Dorado, CA 95623 (Physical Address)","PO Box 750, El Dorado, CA 95623 (Mailing Address)",El Dorado,CA,95623,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Goatherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,60.0,1422.52,Month,El Dorado,CA,Association - Filing as Agent (H-2A Only)
16,H-300-13085-435276,2013-12-04 16:06:29,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,SIEBEN RANCH CO/NINA C. BAUCUS,"1600 Chevallier Drive, Wolf Creek, MT 59648 (Physical Address)","PO Box 1683, Helena, MT 59624 (Mailing Address)",Wolf Creek,MT,59648,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",5.0,60.0,750.0,Month,Wof Creek,MT,Association - Filing as Agent (H-2A Only)
17,H-300-13085-495172,2013-11-14 15:43:56,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-01 00:00:00,2014-09-30 00:00:00,2014-01-01 00:00:00,2014-09-30 00:00:00,A & L Outfitters/Warren D Adams,"177 E Hwy 70, Baggs, WY 82321 (Physical Address)","PO Box 427, Baggs, WY 82331 (Mailing Address)",Baggs,WY,82321,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Open Range Livestock Worker,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",1.0,60.0,875.0,Month,Baggs,WY,Association - Filing as Agent (H-2A Only)
18,H-300-13085-694528,2013-11-19 15:14:11,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Bown Livestock/John D. Bown,"191 East 200 South, Fayette, UT 84630 (Physical Address)","HC 13 Box 300514, Fayette, UT 84630 (Mailing Address)",Fayette,UT,84630,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6.0,60.0,750.0,Month,Fayette,UT,Association - Filing as Agent (H-2A Only)
19,H-300-13087-159280,2013-11-22 14:40:33,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Three Y Livestock/Chournos Inc./Dan S. Chournos,"1720 E 600 N, Tremonton, UT 84337 (Physical Address)","1720 E 600 N, Tremonton, UT 84337 (Mailing Address)",Tremonton,UT,84337,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",5.0,60.0,750.0,Month,Tremonton,UT,Association - Filing as Agent (H-2A Only)
20,H-300-13092-010944,2013-11-21 16:04:13,H-2A,2013-11-12 00:00:00,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2014-01-01 00:00:00,2014-05-31 00:00:00,2014-01-01 00:00:00,2014-05-31 00:00:00,Hoopes Sheep Shearing/Clifford Hoopes,"55 Hayter Ave, Fort Bridger, WY 82933 (Physical Address)","PO Box 73, Mountain View, WY 82939 (Mailing Address)",Fort Bridger,WY,82933,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheep Shearer,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",6.0,48.0,1.5,Select Pay Range,Fort Bridger,WY,H-2A Labor Contractor or Job Contractor
21,H-300-13092-191622,2013-12-04 14:26:22,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Fred W. Hunzeker & Sons/Dennis Hunzeker,"1041 Bench Rd, Montpelier, ID 83254 (Physical Address)","1041 Bench Rd, Montpelier, ID 83254 (Mailing Address)",Montpelier,ID,83254,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",14.0,60.0,750.0,Month,Montpelier,ID,Association - Filing as Agent (H-2A Only)
22,H-300-13092-242950,2013-11-21 16:02:53,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,Cubiburu Livestock Inc./John & Florence Cubiburu,"2606 Benjamin Holt Drive, Stockton, CA 95207 (Physical Address)","2606 Benjamin Holt Drive, Stockton, CA 95207 (Mailing Address)",Stockton,CA,95207,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",5.0,60.0,1422.52,Month,Stockton,CA,Association - Filing as Agent (H-2A Only)
23,H-300-13092-437537,2013-11-08 12:14:50,H-2A,2013-11-04 00:00:00,DETERMINATION ISSUED - CERTIFICATION,2014-01-01 00:00:00,2014-12-31 00:00:00,2014-01-01 00:00:00,2014-12-31 00:00:00,G. David & Theressa Dalling,"1708 North 2250 East, Hamer, ID 83425 (Physical Address)","1708 North 2250 East, Hamer, ID 83425 (Mailing Address)",Hamer,ID,83425,MOUNTAIN PLAINS AGRICULTURAL SERVICE,KELLI GRIFFITH,CASPER,WY,Sheepherder,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",13.0,60.0,750.0,Month,Hamer,ID,Association - Filing as Agent (H-2A Only)
