AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_STATE,AGENT_POC_EMPLOYER_REP_BY_AGENT,AGENT_POC_EMP_REP_BY_AGENT,BASIC_NUMBER_OF_HOURS,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NUMBER,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,EDUCATION_LEVEL,EMPLOYEE_POSTAL_CODE,EMPLOYEE_WORKSITE_CITY,EMPLOYEE_WORKSITE_COUNTY,EMPLOYEE_WORK_STATE,EMPLOYER_ADDRESS_1,EMPLOYER_ADDRESS_2,EMPLOYER_CITY,EMPLOYER_COUNTRY,EMPLOYER_NAME,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,EMPLOYER_POSTAL_CODE,EMPLOYER_PROVINCE,EMPLOYER_STATE,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,FEIN,FULL_TIME_POSITION,FY,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,JOB_END_DATE,JOB_IDNUMBER,JOB_START_DATE,JOB_TITLE,LAWFIRM_NAME,MAJOR,NAICS_CODE,NAME_REQUIRED_TRAINING,NATURE_OF_TEMPORARY_NEED,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NPC_SUBMITTED_DATE,NUMBER_OF_HOURS,NUM_MONTHS_TRAINING,OTHER_EDUCATION,OTHER_WORKSITE_LOCATION,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,PAY_RANGE_UNIT,PREVAILING_WAGE,PW_UNIT_OF_PAY,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,SOC_CODE,SOC_TITLE,SUBMITTED_DATE,SUPERVISE_HOW_MANY,SUPERVISE_OTHER_EMP,SWA_NAME,TRADE_NAME_DBA,TRAINING_REQUIRED,VISA_TYPE,WORKSITE_ADDRESS_1,WORKSITE_ADDRESS_2,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_POSTAL_CODE,WORKSITE_STATE,
AVON,CHRISTOPHER POOLEY,CO,Y,,,$16.04 ,,H-400-17244-530865,Certification Expired,11/21/17,4/30/18,10/2/17,None,81637,Gypsum,Eagle,CO,140 G.H. Daniels Boulevard,,Gypsum,UNITED STATES OF AMERICA,Handy Andy Snow Removal,970-524-5012,,81637,,CO,N,,,Y,2018,8:00 AM,5:00 PM,,,,Snow Removal Laborer,"LAW OFFICE OF CHRIS POOLEY, ESQ.",,561730,,Seasonal,10,10,,35,,,Y,24.06,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,9/7/17,,N,,,N,H-2B,,,,,,,
VAIL,AMY NOVAK,CO,Y,,,$14.77 ,,H-400-17174-191756,Certification Expired,12/4/17,4/20/18,10/3/17,None,81657,Vail,Eagle,CO,278 Hanson Ranch Road (Physical),"PO Box 2796, Vail, CO 81658 (Mailing)",Vail,UNITED STATES OF AMERICA,Colorado Ski Service,970-476-2566,,81657,,CO,N,,,Y,2018,8:00 AM,6:00 PM,,,,Ski/Boot Rental Technician,NOVAK LAW OFFICE,,451110,,Seasonal,2,2,,35,,,N,22.16,22.16,Hour,,,N,,41-2021,Counter and Rental Clerks,9/6/17,,N,,Vista Bahn Ski Rentals,N,H-2B,,,,,,,
AUSTIN,ROBERT KERSHAW,TX,Y,,,$15.45 ,,H-400-17216-085601,Certification Expired,12/1/17,4/1/18,10/3/17,None,80549,Wellington,Larimer,CO,2406 E CR 60,,Wellington,UNITED STATES OF AMERICA,"AKS-SnoCo, LLC",970-568-7228,,80549,,CO,N,,,Y,2018,7:30 AM,4:30 PM,,,,Snow Removal Laborer,"THE KERSHAW LAW FIRM, PC",,488490,,Seasonal,11,11,,40,,,Y,23.18,,Hour,,,N,,37-3011,Landscaping and Groundskeeping Workers,9/5/17,,N,,,N,H-2B,,,,,,,
Vail,Amy Novak,CO,Y,,,$14.13 ,,H-400-17234-771475,Certification Expired,12/4/17,4/6/18,10/3/17,None,81620,Avon,Eagle,CO,2445 Saddle Ridge Loop (physical),"PO Box 904, Vail, CO 81658 (mailing)",Avon,UNITED STATES OF AMERICA,Sweeping Change LLC,970-390-8353,,81620,,CO,Y,3,,Y,2018,8:30 AM,5:00 PM,,,,Maids and Housekeeping Cleaners,Novak Law Office,,8114,,Peakload,7,7,,35,,,Y,21.2,21.2,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/6/17,,N,,,N,H-2B,,,,,,,
COEUR D' ALENE,ZACHARY COOPER,ID,Y,,,$11.54 ,,H-400-17235-680983,Certification Expired,12/1/17,4/10/18,10/3/17,None,81435,Telluride,San Miguel,CO,209 E Colorado Ave.,,Telluride,UNITED STATES OF AMERICA,"Exceptional Stays, Inc",800-970-7541,,81435,,CO,Y,3,,Y,2018,9:00 AM,5:00 PM,,,,Housekeepers,LABOR CONSULTANTS INTERNATIONAL,,721199,,Peakload,7,7,,35,,,Y,17.31,23.25,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/2/17,,N,,Telluride Rentals,N,H-2B,,,,,,,
Vail,Amy Novak,CO,Y,,,$12.65 ,,H-400-17174-195816,Certification Expired,12/4/17,9/7/18,10/4/17,None,81620,Avon,Eagle,CO,"40801 Hwy 6 & 24, Suite 3 (Physical)","PO Box 7720, Avon, CO 81620 (Mailing)",Avon,UNITED STATES OF AMERICA,"Homecare by HPS, LLC",970-748-6908,,81620,,CO,N,,,Y,2018,9:00 AM,5:00 PM,,,,Maids and Housekeeping Cleaners,NOVAK LAW OFFICE,,8114,,Peakload,20,20,,35,,,Y,18.98,18.98,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,9/6/17,,N,,,N,H-2B,,,,,,,
DENVER,ANGELICA OCHOA,CO,Y,,,$14.13 ,,H-400-17222-593847,Certification Expired,11/13/17,4/15/18,10/5/17,None,80424,Breckenridge,Summit,CO,1625 Airport Road,"2nd Floor, Unit 201",Breckenridge,UNITED STATES OF AMERICA,"Peak 8 Properties, LLC",970-547-4004,,80424,,CO,Y,3,,Y,2018,8:00 AM,4:00 PM,,,,Housekeeper,FISHER & PHILLIPS LLP,,531390,,Peakload,10,10,,35,,,Y,21.2,,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,8/21/17,,N,,Breckenridge Grand Vacations,N,H-2B,,,,,,,
Vail,Amy Novak,CO,Y,,,$14.13 ,,H-400-17177-640994,Certification Expired,11/15/17,4/20/18,10/10/17,None,81657,Vail,Eagle,CO,1300 Westhaven Drive,,Vail,UNITED STATES OF AMERICA,Vail Partners,970-476-7111,,81657,,CO,N,,,Y,2018,9:00 AM,5:00 PM,,,,Housekeepers,Novak Law Office,,531110,,Peakload,35,35,,35,,,N,21.2,21.2,Hour,,,N,,37-2012,Maids and Housekeeping Cleaners,8/21/17,,N,,Hotel Talisa,N,H-2B,,,,,,,
Vail,Amy Novak,CO,Y,,,$13.77 ,,H-400-17177-981739,Certification Expired,11/20/17,4/8/18,10/10/17,None,81657,Vail,Eagle,CO,1300 Westhaven Drive,,Vail,UNITED STATES OF AMERICA,Vail Partners,970-476-7111,,81657,,CO,N,,,Y,2018,7:00 AM,3:00 PM,,,,Food Preparation Workers,Novak Law Office,,531110,,Peakload,5,5,,35,,,N,20.66,20.66,Hour,,,N,,35-2021,Food Preparation Workers,8/24/17,,N,,Hotel Talisa,N,H-2B,,,,,,,
WESTBURY,JOHN GISMONDI,NY,Y,,,$12.47 ,,H-400-17236-315025,Certification Expired,11/20/17,4/15/18,10/10/17,None,80435,KEYSTONE,SUMMIT,CO,25921 FERN GULCH ROAD,,EVERGREEN,UNITED STATES OF AMERICA,BACK DECK LLC,303-888-1251,,80439,,CO,N,,,Y,2018,11:00 AM,10:00 PM,,,,SEASONAL ASSISTANT,U.S. AMERICANS INC,,721110,,Peakload,4,4,,35,,,N,18.71,18.71,Hour,,,N,,35-3021,"Combined Food Preparation and Serving Workers,",8/24/17,,N,,SUBWAY,N,H-2B,,,,,,,
Vail,Amy Novak,CO,Y,,,$12.84 ,,H-400-17176-283960,Certification Expired,12/4/17,4/20/18,10/11/17,None,81657,Vail,Eagle,CO,675 Lionshead Pl (Physical),"PO BOX 4022, Avon, CO 81620 (Mailing)",Vail,UNITED STATES OF AMERICA,Vail Chop LLC,970-477-0555,,81657,,CO,Y,3,,Y,2018,8:00 AM,4:00 PM,,,,Food Preparation Worker,Novak Law Office,,722110,,Peakload,8,8,,35,,,Y,19.26,19.26,Hour,,,N,,35-2021,Food Preparation Workers,9/6/17,,N,,Vail Chophouse,N,H-2B,,,,,,,
Vail,Amy Novak,CO,Y,,,$12.84 ,,H-400-17176-943658,Certification Expired,12/4/17,4/20/18,10/11/17,None,81620,Avon,Eagle,CO,15 West Thomas Place (physical),"PO Box 4022, Avon, CO 81620 (mailing)",Avon,UNITED STATES OF AMERICA,BC Chop LLC,970-845-0555,,81620,,CO,Y,3,,Y,2018,8:00 AM,4:00 PM,,,,Food Preparation Worker,Novak Law Office,,722110,,Peakload,10,10,,35,,,Y,19.26,19.26,Hour,,,N,,35-2021,Food Preparation Workers,9/6/17,,N,,Beaver Creek Chophouse,N,H-2B,,,,,,,
SANTA ANA,MINGHEE LEE,CA,Y,,,$26.74 ,,H-400-17216-640814,Certification Expired,11/13/17,8/12/18,10/11/17,None,80247,DENVER,Denver,CO,9520 E Jewell Ave. Suite E,,DENVER,UNITED STATES OF AMERICA,"CSP Contract Service, LLC",410-733-6233,,80247,,CO,Y,24,,Y,2018,8:00 AM,5:00 PM,,,,TOWER CLIMBING TECHNICIAN,LMG LAW GROUP,,238210,,Peakload,5,5,,40,,,Y,40.11,,Hour,,,N,,49-2021,"Radio, Cellular, and Tower Equipment Installers",8/22/17,,N,,CSP CONTRACT SERVICE LLC,N,H-2B,,,,,,,
