AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_STATE,ALIEN_WORK_STATE,APPLICATION_TYPE,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,CASE_NUMBER,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,DECISION_DATE,DOT_NAME,DOT_OCCUPATIONAL_CODE,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_NAME,EMPLOYER_POSTAL_CODE,EMPLOYER_STATE,FY,JOB_TITLE,LAWFIRM_NAME,NBR_WORKERS_CERTIFIED,NBR_WORKERS_REQUESTED,NPC_SUBMITTED_DATE,PREVAILING_WAGE,PW_UNIT_OF_PAY,RECENT_DECISION_DATE,SOC_CODE,SOC_NAME,VISA_CLASS
PO BOX 4865,FRISCO,"ERIC A. FISHER, ESQ.",CO,CO,,9.17,HR,C-08029-35611,DENIED,6/1/08,9/30/08,3/17/09,,,P.O. BOX 437,,BRECKENRIDGE,"AA JANITORIAL & MANAGEMENT SERVICES, INC.",80424,CO,2009,"CLEANER, HOUSEKEEPING",,0,,1/29/08,9.03,HR,,,,
1900 SUPERIOR AVE.,CLEVELAND,"BRANISLAV HRUZ, ESQ.",OH,CO,,7.24,HR,C-08184-37830,DENIED,10/1/08,1/31/09,10/6/08,,,3100 S. SHERIDAN BLVD UNIT 1C-325,,DENVER,SMS MARKETING INC.,80227,CO,2009,"SALESPERSON, COSMETICS AND TOILETRIES",,0,,7/2/08,7.24,HR,,,,
1370 ONTARIO ST.,CLEVELAND,SVETLANA SCHREIBER,OH,CO,,7.59,HR,C-08189-37935,DENIED,10/1/08,1/31/09,10/3/08,,,9959 E PEAKVIEW AVENUE # F208,,ENGLEWOOD,"BARKEI, LLC",80111,CO,2009,SALES CLERK,,0,,7/7/08,7.59,HR,,,,
7802 KINGSPOINTE PKWY,ORLANDO,"DIANE HOLLOWAY, DHI LLC",FL,CO,,13.64,HR,C-08196-38365,CERTIFIED,9/1/08,4/30/09,11/3/08,,,0130 DAYBREAK RIDGE,,AVON,"THE RITZ-CARLTON, BACHELOR GULCH",81620,CO,2009,HOTEL CLERK,,10,,7/14/08,12.88,HR,,,,
,,,,CO,,13,HR,C-08206-38788,DENIED,10/25/08,4/19/09,10/3/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2009,"INSTRUCTOR, SPORTS",,0,,7/24/08,12.1,HR,,,,
,,,,CO,,18,HR,C-08206-38794,DENIED,10/25/08,4/19/09,10/3/08,,,2305 MT. WERNER CIRCLE,,STEAMBOAT SPRINGS,STEAMBOAT SKI & RESORT CORPORATION,80487,CO,2009,"INSTRUCTOR, SPORTS",,0,,7/24/08,17.96,HR,,,,
VISA LAW GROUP,D.C.,PHILIP D. MERVIS,WA,CO,,9.25,HR,C-08218-39039,CERTIFIED,11/1/08,4/30/09,10/27/08,,,"85 PARSENN RD., P.O. BOX 36",,WINTER PARK,"INTRAWEST HOSPITALITY MANAGEMENT, INC.",80482,CO,2009,"CLEANER, HOUSEKEEPING",,39,,8/5/08,9.25,HR,,,,
,AURORA,TODD IRWIN,CO,CO,,8.92,HR,C-08225-39206,CERTIFIED,11/1/08,4/15/09,10/6/08,,,15440 E. FREMONT DR.,,CENTENNIAL,"COLORADO DESIGNSCAPES, INC.",80112,CO,2009,SNOW SHOVELER,,10,,8/12/08,8.12,HR,,,,
,,,,CO,,10,HR,C-08225-39208,DENIED,10/15/08,4/15/09,10/7/08,,,16 VAIL ROAD,,VAIL,"VAIL PLAZA HOTEL MANAGEMENT, LLC",81657,CO,2009,COOK HELPER,,0,,8/12/08,9.39,HR,,,,
,,,,CO,,11,HR,C-08225-39211,CERTIFIED,10/15/08,4/15/09,10/1/08,,,16 VAIL ROAD,,VAIL,"VAIL PLAZA HOTEL MANAGEMENT, LLC",81657,CO,2009,HOTEL CLERK,,5,,8/12/08,9.56,HR,,,,
,,,,CO,,9.6,HR,C-08225-39212,CERTIFIED,11/1/08,4/30/09,10/3/08,,,P.O. BOX 5480,,AVON,EAST WEST RESORTS,81620,CO,2009,HOTEL CLERK,,20,,8/12/08,9.56,HR,,,,
1370 ONTARIO ST. # 1620,CLEVELAND,SVETLANA J SCHREIBER,OH,CO,,7.68,HR,C-08226-39236,DENIED,10/1/08,4/30/09,10/14/08,,,5589 ARAPAHOE AVE. SUITE 200,,BOULDER,"SOUND CREATIONS, INC.",80303,CO,2009,SALES CLERK,,0,,8/13/08,7.68,HR,,,,
PO BOX 3487,VAIL,AMY J. NOVAK/THE NOVAK LAW OFFICE,CO,CO,,11.5,HR,C-08239-39414,CERTIFIED,11/1/08,3/30/09,10/17/08,,,PO BOX 2049,916 B CHAMBERS AVENUE,EAGLE,H & B SNOW REMOVAL SERVICES,81631,CO,2009,"LABORER, LANDSCAPE",,15,,8/26/08,11.43,HR,,,,
650 FRONT ST.,LOVINGSTON,"MAS LABOR H2B, LLC ELIZABETH WHITLEY",VA,CO,,8.92,HR,C-08241-39428,CERTIFIED,11/1/08,4/1/09,10/3/08,,,11905 W. 56TH DRIVE,,ARVADA,"ARROWHEAD WINTER SERVICES, INC.",80002,CO,2009,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",,32,,8/28/08,8.92,HR,,,,
VISA LAW GROUP,WASHINGTON,DAVID M. MORRIS,DC,CO,,9.11,HR,C-08246-39449,DENIED,11/1/08,4/30/09,10/28/08,,,"85 PARSENN RD., P.O. BOX 36",,WINTER PARK,INTRAWEST WINTER PARK OPERATIONS CORP.,80482,CO,2009,SALES CLERK,,0,,9/2/08,9.54,HR,,,,
555 17TH STREET,DENVER,JOCELYN CAMPANARO/HOLLAND & HART,CO,CO,,13,HR,C-08246-39483,DENIED,9/15/08,4/30/09,10/2/08,,,P.O. BOX 5009,100 ELBERT LANE,SNOWMASS VILLAGE,SILVERTREE HOTEL SNOWMASS LP,81615,CO,2009,HOTEL CLERK,,0,,9/2/08,9.56,HR,,,,
