,CASE_NUMBER,RECENT_DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
0,H-400-14038-291431,2014-02-14,2014-02-07,Withdrawn,H-2B,VA,2014-04-01,2014-12-15,"C.A. Barrs Contractor, Inc.",7601 George Washington Highway,mailing: P.O. Box 1489  Yorktown VA 23692,Yorktown,VA,23692,"másLabor H-2B, LLC",Elizabeth Whitley,Lovingston,VA,47-2073,Operating Engineers and Other Construction,Construction Equipment Operator,0,12.57,Hour,12.57,Hour
1,H-400-14218-167929,2014-08-29,2014-08-06,Certification,H-2B,FL,2014-10-27,2015-05-31,HARBOUR RIDGE YACHT AND COUNTRY CLUB,12600 HARBOUR RIDGE BLVD,,PALM CITY,FL,34990,,,,,35-9011,Dining Room and Cafeteria Attendants and Bartender,DINING ROOM ATTENDANTS,10,12.5,Hour,12.5,Hour
2,H-400-14042-431528,2014-02-25,2014-02-11,Certification Expired,H-2B,AK,2014-05-01,2014-09-30,"Ocean Beauty Seafoods, LLC",1100 West Ewing Street,,Seattle,WA,98119,,,,,51-3092,Food Batchmakers,Salmon Roe Technician,20,16.2,Hour,16.2,Hour
3,H-400-14042-365727,2014-02-25,2014-02-11,Certification,H-2B,TX,2014-04-01,2014-11-28,Frenchy's Lawn & Tree Service,600 S. Elm Street,,Denton,TX,76201,USA WORKS,E. Gaither,Lake Park,GA,37-3011,Landscaping and Groundskeeping Workers,Laborer,35,8.96,Hour,8.96,Hour
4,H-400-13329-965260,2013-12-09,2013-11-25,Certification,H-2B,NY,2014-03-01,2014-12-20,MONTAUK IGA,654 MONTAUK HIGHWAY,,MONTAUK,NY,11954,,JOHN GISMONDI,WESTBURY,NY,41-2011,Cashiers,CASHIERS,12,10.2,Hour,10.2,Hour
5,H-400-14015-475666,2014-01-29,2014-01-15,Certification,H-2B,AZ,2014-02-07,2014-12-01,GOLDEN WEST CONCESSIONS,4957 COCONINO WAY,,SAN DIEGO,CA,92117-0000,"JKJ WORKFORCE AGENCY, INC",JAMES JUDKINS,RIO HONDO,TX,39-3091,Amusement and Recreation Attendants,Amusement and Recreation Attendant,25,8.93,Hour,8.93,Hour
6,H-400-14134-296932,2014-06-11,2014-05-16,Certification,H-2B,LA,2014-07-01,2014-12-11,THOMA-SEA MARINE CONSTRUCTORS LLC,1874 INDUSTRIAL BLVD,,HOUMA,LA,70363,BLANK ROME LLP,JOHN CONNELLY,PHILADELPHIA,PA,47-2152,"Plumbers, Pipefitters, and Steamfitters",PIPE FITTER,25,23.3,Hour,23.3,Hour
7,H-400-13297-365088,2013-11-22,2013-10-25,Denied,H-2B,VA,2013-12-01,2015-07-30,Garrett Melich,2438 Nottingham Dr,,Falls Church,VA,22043,,,,,39-9011,Childcare Workers,Childcare Provider,0,8.0,Hour,8.0,Hour
8,H-400-13329-322421,2013-12-20,2013-12-06,Partial Certification,H-2B,TX,2014-02-04,2014-12-01,"MasterScapes, Inc.",330 Bacacita Farms,,Abilene,TX,79602,"THE FOWLER LAW FIRM, PC",DANIEL KOWALSKI,AUSTIN,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,46,8.17,Hour,8.17,Hour
9,H-400-14006-013766,2014-01-21,2014-01-06,Partial Certification,H-2B,MI,2014-04-18,2014-11-05,"Yankee Rebel Tavern, Inc.","PO Box 1880, 1493 Astor Street",,Mackinac Island,MI,49757,"TIMOTHY J. O'LEARY, ATTORNEY AT LAW",TIMOTHY OLEARY,WASHINGTON,DC,37-2012,Maids and Housekeeping Cleaners,Housekeeper,6,9.37,Hour,9.37,Hour
10,H-400-14006-598605,2014-01-21,2014-01-06,Certification,H-2B,TX,2014-02-03,2014-11-30,Classic Tejas Construction Inc,3120 S. Precinct Line,"Mailing: PO Box 429, Euless, TX 76039",Hurst,TX,76053,F.E.W.A.,RITA ROMERO,BAY CITY,TX,37-3011,Landscaping and Groundskeeping Workers,Landscape Laborer,20,11.13,Hour,11.13,Hour
11,H-400-13196-542218,2013-12-31,2013-12-06,Denied,H-2B,CA,2013-12-15,2014-06-29,TFA Barcelona Bay Area,220 King Street,,Santa Cruz,CA,95060,BSIS,CORY CAOUETTE,SAN JOSE,CA,27-2022,Coaches and Scouts,IN-SEASON TECHNICAL DIRECTOR,0,18.66,Hour,18.66,Hour
12,H-400-13331-126029,2013-12-12,2013-11-29,Certification,H-2B,NY,2014-03-01,2014-12-21,AC LANDSCAPING LTD,1500 Osborne Ave,,Riverhead,NY,11901,MELINDA A RUBIN PC,MELINDA RUBIN,HAMPTON BAYS,NY,37-3011,Landscaping and Groundskeeping Workers,LANDSCAPING,6,14.15,Hour,14.15,Hour
13,H-400-12338-705108,2014-04-03,2014-03-20,Certification Expired,H-2B,NM,2014-05-01,2014-09-30,Dominguez Racing Stables,605 Gibson Veck #30,,Sunland Park,NM,88063,FEDERATION OF EMPLOYERS AND WORKERS OF AMERICA,BRANDI COWAN,BAY CITY,TX,39-2021,Nonfarm Animal Caretakers,Stable Attendant,15,10.19,Hour,10.19,Hour
14,H-400-13002-742432,2014-03-21,2014-03-07,Certification,H-2B,MA,2014-04-15,2014-12-15,"NANTUCKET TENTS, LLC",P.O. BOX 5244,20 CHERRY STREET,NANTUCKET,MA,02554,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,53-7062,"Laborers and Freight, Stock, and Material Movers,",TENT INSTALLER,12,16.7,Hour,16.7,Hour
15,H-400-12354-890017,2014-03-21,2014-03-07,Certification,H-2B,MA,2014-04-01,2014-11-15,"SANKATY HEAD GOLF CLUB, INC",P.O. BOX 293,100 SANKATY ROAD,NANTUCKET,MA,02564,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,37-3011,Landscaping and Groundskeeping Workers,GROUNDS MAINTENANCE,5,15.13,Hour,15.13,Hour
16,H-400-13002-536112,2014-02-03,2014-01-20,Certification,H-2B,MA,2014-04-01,2014-10-30,"HOLIDAY HILL MOTOR INN, INC.",352 MAIN STREET,,DENNISPORT,MA,02639,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPERS,8,11.92,Hour,11.92,Hour
17,H-400-13002-219278,2014-04-24,2014-04-10,Certification,H-2B,ME,2014-04-25,2014-11-30,"LAFAYETTE WELLS, INC.",P.O. BOX 639,393 MILE ROAD,WELLS,ME,04090,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPER,5,10.19,Hour,10.19,Hour
18,H-400-12362-747034,2014-02-19,2014-02-05,Certification,H-2B,MA,2014-04-01,2014-11-17,HARBORSIDE INN CONDO TRUST,P.O. BOX 67,3 SOUTH WATER STREET,EDGARTOWN,MA,02539,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPER,14,11.92,Hour,11.92,Hour
19,H-400-13002-717838,2014-02-14,2014-01-31,Certification,H-2B,MA,2014-04-24,2014-11-05,BOWD HOTELS LLC,6 CONWELL STREET,,PROVINCETOWN,MA,02657,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPER,3,11.92,Hour,11.92,Hour
20,H-400-13312-934247,2013-12-06,2013-11-12,Denied,H-2B,CO,2013-12-04,2014-04-30,Riverdale Nurseries,11543 W. Tulane Place,,Littleton,CO,80127,"LAW OFFICE OF CHRIS POOLEY, ESQ.",CHRISTOPHER POOLEY,AVON,CO,37-3011,Landscaping and Groundskeeping Workers,Snow Removal Laborer,0,13.35,Hour,13.35,Hour
21,H-400-12354-427199,2014-01-23,2014-01-09,Certification,H-2B,MA,2014-04-01,2014-12-07,SAI SRADHA CORP,203 ROUTE 6A,,ORLEANS,MA,02653,PEAK SEASON WORKFORCE,JANE NICHOLS BISHOP,MASHPEE,MA,37-2012,Maids and Housekeeping Cleaners,HOUSEKEEPERS,7,11.92,Hour,11.92,Hour
