,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_ADDRESS,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
0,C-07207-26503,2009-03-18 12:19:04,2007-07-26 00:00:00,DENIED,IL,2007-10-15 00:00:00,2008-08-01 00:00:00,"SPHERE GLOBAL SOLUTIONS, INC.","1000 WEST ADAMS STREET, 603",603,CHICAGO,IL,60160,"JASON SAGER, ESQ.",BIRG & MELTSER,DEERFIELD,IL,SOFTWARE ENGINEER,0,35.0,HR,35.0,HR
1,C-07222-26927,2009-03-17 12:10:44,2007-08-10 00:00:00,DENIED,AR,2007-10-01 00:00:00,2008-07-31 00:00:00,"SECOND RESOURCE SERVICES, INC.",14961 MULDDON DRIVE,,ROGERS,AR,72756,GUILLERMO HERNANDEZ,"THE HERNANDEZ LAW FIRM, PLLC",LITTLE ROCK,AR,PLASTERER,0,8.26,HR,8.26,HR
2,C-07222-26928,2009-03-17 12:16:00,2007-08-10 00:00:00,DENIED,AR,2007-10-01 00:00:00,2008-07-31 00:00:00,"SECOND RESOURCE SERVICES, INC.",14961 MULDDON DRIVE,,ROGERS,AR,72756,GUILLERMO HERNANDEZ,"THE HERNANDEZ LAW FIRM, PLLC",LITTLE ROCK,AR,DRY WALL APPLICATOR,0,13.92,HR,13.92,HR
3,C-07233-27256,2009-03-18 13:55:08,2007-08-20 00:00:00,DENIED,LA,2007-10-01 00:00:00,2008-07-31 00:00:00,THE SHAW GROUP INC.,4171 ESSEN LANE,,BATON ROUGE,LA,70809,NORMA L. VEGA,ORANGE GENERAL CO.,LAS VEGAS,NV,"WELDER, COMBINATION",0,,,,
4,C-07236-27376,2009-03-17 10:54:54,2007-08-24 00:00:00,DENIED,LA,2007-10-01 00:00:00,2008-08-01 00:00:00,"NATIONAL BOILER SERVICE, INC",1000 WEST MT. PLEASANT ROAD,,ZACHARY,LA,70791,"SCOTT D. HERSHENSON, ESQ","HARRY D. POLATSEK, PA",FORT LAUDERDALE,FL,BOILERMAKER I,0,22.07,HR,22.07,HR
5,C-07241-27503,2009-03-17 14:09:44,2007-08-29 00:00:00,DENIED,AR,2007-11-26 00:00:00,2008-03-01 00:00:00,"EXPRESS FORESTRY, INC.",1231 HWY 254 WEST,,LESLIE,AR,72645,,,,,SEEDLING SORTER,0,6.22,HR,6.22,HR
6,C-07261-27885,2009-03-19 13:12:41,2007-09-17 00:00:00,DENIED,WY,2007-12-01 00:00:00,2008-08-31 00:00:00,COMFORT INN,1450 E. BRUNDAGE LN.,,SHERIDAN,WY,82801,,,,,"CLEANER, HOUSEKEEPING",0,6.54,HR,7.0,HR
7,C-07270-28106,2009-03-18 14:13:32,2007-09-27 00:00:00,DENIED,OH,2007-11-02 00:00:00,2008-09-01 00:00:00,REYES CONSTRUCTION,7188 GLENN MOOR DRIVE,,LIBERTY TOWNSHIP,OH,45011,ANNE RODRIGO,"WEBB & PILLICH, LLC",CINCINNATI,OH,CONSTRUCTION WORKER I,0,16.43,HR,13.0,HR
8,C-07275-28189,2009-03-18 10:48:15,2007-10-02 00:00:00,DENIED,UT,2007-10-10 00:00:00,2008-06-10 00:00:00,"ELDREDGE MASONRY, INC.",2391 WEST 870 SOUTH,,LEHI,UT,84043,J. ELLE COX,LAW OFFICES OF J. ELLE COX,SALT LAKE CITY,UT,"BRICKLAYER HELPER, FIREBRICK AND REFRACTORY TILE",0,13.39,HR,17.0,HR
9,C-07360-32756,2009-03-10 15:42:36,2007-12-21 00:00:00,CERTIFIED,MT,2008-03-01 00:00:00,2008-11-30 00:00:00,TN STAFFING SOLUTIONS,PO BOX 637,,PARIS,TN,38242,,,,,FAST FOODS WORKER,6,6.75,HR,7.0,HR
10,C-07360-32803,2009-03-17 09:46:58,2007-12-18 00:00:00,DENIED,SD,2008-03-15 00:00:00,2008-11-25 00:00:00,PETERS PROPERTIES DBA BEST WESTERN GOLDEN SPIKE,HWY  385/ HWY 16,P.O. BOX 300,HILL CITY,SD,57745,SANDRA AZINGER,"INTERNATIONAL HOSPITALITY RESOURCES, LLC",HOT SPRINGS,SD,KITCHEN HELPER,0,7.5,HR,7.5,HR
11,C-07361-32976,2009-01-14 13:18:28,2007-12-21 00:00:00,CERTIFIED,KS,2008-02-25 00:00:00,2008-12-19 00:00:00,CROSS COUNTRY LAWN & LANDSCAPE,13330 MOONLIGHT ROAD,,OLATHE,KS,66061,ALEJANDRO J. SOLORIO,"GARCIA, SOLORIO, & AVILA LLP",MISSION,KS,"LABORER, LANDSCAPE",12,8.33,HR,8.33,HR
12,C-08029-35611,2009-03-17 13:57:25,2008-01-29 00:00:00,DENIED,CO,2008-06-01 00:00:00,2008-09-30 00:00:00,"AA JANITORIAL & MANAGEMENT SERVICES, INC.",P.O. BOX 437,,BRECKENRIDGE,CO,80424,"ERIC A. FISHER, ESQ.",PO BOX 4865,FRISCO,CO,"CLEANER, HOUSEKEEPING",0,9.03,HR,9.17,HR
