,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,APPLICATION_TYPE,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
0,C-10008-48621,2010-02-10,2010-01-08,DENIED,H-2B,PR,2010-01-01,2010-10-01,CLARA N. ROSADO SANTANA,400 CALAF STREET,SUITE 415,SAN JUAN,PR,918,VICTOR MANUEL RAMIREZ,MAYAGUEZ,PR,309.674-014,PERSONAL ATTENDANT,1.0,0,7.25,HR,7.25,HR
1,C-10032-49120,2010-02-05,2010-02-01,CERTIFIED,H-2B,MA,2010-04-01,2010-11-01,SIX FLAGS NEW ENGLAND,1623 MAIN STREET,,AGAWAM,MA,1001,THE MCNAMARA FIRM L.P.,AUSTIN,TX,349.664-010,AMUSEMENT PARK WORKER,25.0,25,8.08,HR,8.08,HR
2,C-10020-48880,2010-01-25,2010-01-19,CERTIFIED,H-2B,MA,2010-04-15,2010-11-15,SCONSET CAFE LLC,40 HOP BROOK ROAD,,AMHERST,MA,1002,MARK CARCHIDI,YARMOUTH  PORT,MA,319.484-010,"FOOD ASSEMBLER, KITCHEN",10.0,10,,,,
3,C-10239-50929,2010-09-17,2010-08-27,DENIED,H-2B,MA,2010-10-01,2011-02-28,KONAMI B INC,35 WILLOW ST. #103,,SPRINGFIELD,MA,1103,LIAT NOFEAR RAHATLEV / MOT DEAD SEA INC.,PANAMA CITY BEACH,FL,262.357-018,"SALESPERSON, COSMETICS AND TOILETRIES",36.0,0,,,,
4,C-10165-50270,2010-07-06,2010-06-14,DENIED,H-2B,MA,2010-05-01,2011-04-30,WOLAN TOOLS CO.,64 GRAND STREET,,SPRINGFIELD,MA,1108,"KEVIN R. MURPHY, ESQ.",SPRINGFIELD,MA,632.281-010,GUNSMITH,1.0,0,30.36,HR,30.36,HR
5,C-09358-48101,2009-12-30,2009-12-23,CERTIFIED,H-2B,MA,2010-04-01,2010-10-31,"GILLETTE SHOWS, INC.",291 PECKS ROAD,,PITTSFIELD,MA,1201,JOE NICHOLS,SANFORD,FL,349.664-010,AMUSEMENT PARK WORKER,39.0,39,358.4,WK,358.4,WK
6,C-09362-48202,2009-12-31,2009-12-24,CERTIFIED,H-2B,MA,2010-04-01,2010-10-31,"CRYSTAL ROCK AMUSEMENTS, INC. DBA CASTLEROCK SHOWS",35 GRANT ST.,,PITSFIELD,MA,1201,"JOE ANGEL NICHOLS - LAW OFFICE OF JOE A. NICHOLS,",SANFORD,FL,349.664-010,AMUSEMENT PARK WORKER,30.0,30,358.4,WK,358.4,WK
7,C-10035-49219,2010-02-10,2010-02-04,CERTIFIED,H-2B,MA,2010-04-01,2010-12-15,CLASSICAL TENTS AND PARTY GOODS,140 CRYSTAL ST.,PO BOX 401,LENOXDALE,MA,1242,STEVEN MCKAY,HUDSON,NY,382.664-010,JANITOR,12.0,12,8.84,HR,8.84,HR
8,C-10099-49845,2010-04-12,2010-04-09,CERTIFIED,H-2B,MA,2010-05-10,2010-11-30,HILDO SOUZA NASCIMENTO DBA PRO MASTER LANDSCAPING,PO BOX 2591,,WORCESTER,MA,1602,PETER JAMES CRAMER,SUDBURY,MA,408.687-014,"LABORER, LANDSCAPE",8.0,8,10.0,HR,10.0,HR
9,C-10229-50858,2010-08-26,2010-08-17,DENIED,H-2B,MA,2010-11-01,2012-11-01,ADAM FOX,26 TRAVIS ST.,,WORCESTER,MA,1604,,,,301.677-010,CHILD MONITOR,1.0,0,12.0,HR,12.0,HR
