,CASE_NO,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,DOT_OCCUPATIONAL_CODE,DOT_NAME,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,PREVAILING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
0,C-11216-55354,2011-09-01,2011-08-04,DENIED,H-2B,PA,2011-09-01,2011-12-13,PARSONS ORCHARD,9114 FT MCCORD RD,,CHAMBERSBURG,PA,0,JUAN C. LEMUS,CHAMBERSBURG,PA,401.687-010,"Farmworker, Grain II",452092.0,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","FARMWORKER, GRAIN II",1.0,0,,,,
1,C-11144-54959,2011-07-07,2011-05-24,DENIED,H-2B,DC,2011-06-01,2012-06-01,"GRIFFIN & MURPHY, LLP","1912 SUNDERLAND PLACE, NW",,WASHINGTON,DC,0,SHAMEELA SARAH SHAH,WASHINGTON,DC,301.677-010,Child Monitor,399011.0,Child Care Workers,CHILD MONITOR,1.0,0,25000.0,MTH,25000.0,MTH
2,C-11186-55168,2011-07-28,2011-07-05,DENIED,H-2B,PR,2011-08-01,2012-07-31,NORMA M. RIVERA,36 CALLE CONCHA,,MANATI,PR,674,,,,301.687-010,Caretaker,372012.0,Maids and Housekeeping Cleaners,CARETAKER,1.0,0,12.53,HR,12.53,HR
3,C-11098-54685,2011-05-02,2011-04-08,DENIED,H-2B,PR,2011-03-25,2012-03-25,FAST FOODS INVESTMENT CORP. DBA HAPPY PIZZA,PO BOX 11218,,CAPARRA HEIGHTS,PR,922,FERNANDO OMAR ZAMBRANA-AVILES/ ATTORNEY AT LAW,BAYAMON,PR,313.131-014,Chef,351011.0,Chefs and Head Cooks,CHEF,1.0,0,19.3,HR,19.3,HR
4,C-10337-52140,2010-12-14,2010-12-03,DENIED,H-2B,PR,2011-01-01,2011-12-31,SONIA LUZ CAMACHO RODRIGUEZ,EL MIRADOR 110,"J. VELAZQUEZ ST., APT. 305",CAROLINA,PR,987,FERNANDO OMAR ZAMBRANA-AVILES/ ATTORNEY AT LAW,BAYAMON,PR,309.674-014,Personal Attendant,399021.0,Personal and Home Care Aides,PERSONAL ATTENDANT,1.0,0,7.54,HR,7.54,HR
5,C-11048-54100,2011-02-23,2011-02-17,CERTIFIED,H-2B,PR,2011-01-01,2011-12-31,SONIA LUZ CAMACHO RODRIGUEZ,EL MIRADOR 110,"J. VELAZQUEZ ST., APT. 305",CAROLINA,PR,987,FERNANDO OMAR ZAMBRANA-AVILES/ ATTORNEY AT LAW,BAYAMON,PR,309.674-014,Personal Attendant,399021.0,Personal and Home Care Aides,PERSONAL ATTENDANT,1.0,1,,,,
6,C-11038-53885,2011-02-10,2011-02-07,CERTIFIED,H-2B,MA,2011-04-15,2011-11-30,"SCONSET CAFE, LLC",40 HOP BROOK RD.,,AMHERST,MA,1002,MARK D. CARCHIDI,YARMOUTH PORT,MA,319.484-010,"Food Assembler, Kitchen",352021.0,Food Preparation Workers,"FOOD ASSEMBLER, KITCHEN",10.0,10,8.86,HR,8.86,HR
7,C-11088-54605,2011-04-28,2011-03-29,DENIED,H-2B,MA,2010-12-04,2011-02-01,WOLAN TOOLS CO.,64 GRAND STREET,,SPRINGFIELD,MA,1108,"KEVIN R. MURPHY, ESQ.",SPRINGFIELD,MA,632.281-010,Gunsmith,514081.0,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",GUNSMITH,1.0,0,16.5,HR,16.5,HR
8,C-10356-52604,2010-12-28,2010-12-22,CERTIFIED,H-2B,MA,2011-04-01,2011-10-31,"CRYSTAL ROCK AMUSEMENTS, INC. DBA CASTLEROCK SHOWS",35 GRANT STREET,,PITSFIELD,MA,1201,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091.0,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,30.0,30,357.2,WK,357.2,WK
9,C-11004-53043,2011-01-11,2011-01-04,CERTIFIED,H-2B,MA,2011-04-01,2011-10-31,"GILETTE SHOWS, INC.",291 PECKS ROAD,,PITTSFIELD,MA,1201,JAMES KENDRICK JUDKINS,RIO HONDO,TX,349.664-010,Amusement Park Worker,393091.0,Amusement and Recreation Attendants,AMUSEMENT PARK WORKER,40.0,40,357.2,WK,357.2,WK
10,C-11053-54163,2011-02-25,2011-02-22,CERTIFIED,H-2B,MA,2011-04-01,2011-12-15,CLASSICAL TENTS AND PARTY GOODS,140 CRYSTAL ST.,P.O. BOX 401,LENOXDALE,MA,1242,STEVEN ALAN MCKAY,HUDSON,NY,382.664-010,Janitor,372011.0,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",JANITOR,14.0,14,,,,
11,C-11005-53066,2011-01-11,2011-01-05,CERTIFIED,H-2B,MA,2011-04-01,2011-11-30,"B & M LANDSCAPE MAINTENANCE, INC.",11 AUSTIN STREET,,BLACKSTONE,MA,1504,"ROBERT WINGFIELD /AMIGOS LABOR SOLUTIONS, INC.",DALLAS,TX,406.684-014,"Groundskeeper, Industrial-Commercial",373011.0,Landscaping and Groundskeeping Workers,"GROUNDSKEEPER, INDUSTRIAL COMMERCIAL",8.0,8,10.1,HR,10.1,HR
12,C-10271-51095,2010-10-19,2010-09-28,DENIED,H-2B,VA,2010-12-01,2012-12-01,ADAM FOX,26 TRAVIS ST,,WORCESTER,MA,1604,,,,301.677-010,Child Monitor,399011.0,Child Care Workers,CHILD MONITOR,1.0,0,8.23,HR,8.23,HR
13,C-10313-51632,2010-11-23,2010-11-09,CERTIFIED,H-2B,VA,2011-02-01,2013-02-01,ADAM FOX,26 TRAVIS ST,,WORCESTER,MA,1604,,,,301.677-010,Child Monitor,399011.0,Child Care Workers,CHILD MONITOR,1.0,1,8.23,HR,8.23,HR
