,CASE_NUMBER,DECISION_DATE,NPC_SUBMITTED_DATE,CASE_STATUS,VISA_CLASS,ALIEN_WORK_STATE,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,SOC_CODE,SOC_NAME,JOB_TITLE,NBR_WORKERS_CERTIFIED,PREVIALING_WAGE,PW_UNIT_OF_PAY,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY
0,C-12264-59812,2012-10-01 10:13:39,2012-09-20 00:00:00,DENIED,H-2B,KY,2013-01-01 00:00:00,2013-09-30 00:00:00,STERLING EQUESTRAIN LLC,1451 WALNUT HILL ROAD,,LEXINGTON,KY,40515,JOHN GISMONDI,WESTBURY,NY,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,0,8.25,HR,8.25,HR
1,C-12219-59542,2012-10-01 10:26:09,2012-08-06 00:00:00,DENIED,H-2B,FL,2012-12-01 00:00:00,2013-08-30 00:00:00,LIPA MANAGEMENT CONSULTING INC. DBA LIPA MANAGEMEN,1500 REYNOLDS STREET,,KEY WEST,FL,33040,MICHELE MCCARTHY / HEM INTERNATIONAL SERVICES,JAMAICA,NY,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,DINING ROOM ATTENDANT,0,8.04,HR,8.04,HR
2,C-12262-59800,2012-10-01 11:44:10,2012-09-18 00:00:00,Certified,H-2B,CA,2012-12-01 00:00:00,2013-05-05 00:00:00,SQUAW VALLEY SKI HOLDINGS LLC,1901 CHAMONIX PLACE,PO BOX 2007,OLYMPIC VALLEY,CA,96146,,,,399031,Fitness Trainers and Aerobics Instructors,"INSTRUCTOR, SPORTS",40,14.96,HR,14.96,HR
3,C-12261-59787,2012-10-01 12:26:26,2012-09-17 00:00:00,Certified,H-2B,UT,2012-11-01 00:00:00,2013-05-15 00:00:00,SNOWBIRD CORPORATION,P.O BOX 929000,STATE HWY 210,SNOWBIRD,UT,84092,BARBARA V. MELENDEZ/KUCK IMMIGRATION PARTENRS LLC,SALT LAKE CITY,UT,372012,Maids and Housekeeping Cleaners,"CLEANER, HOUSEKEEPING",35,9.52,HR,9.52,HR
4,C-12228-59612,2012-10-01 13:10:28,2012-08-15 00:00:00,DENIED,H-2B,MS,2012-10-01 00:00:00,2013-08-01 00:00:00,"CONSTRUCTOR SERVICES, INC. DBA CONSTRUCTOR SERVICE",1895 BEAVER RIDGE CIRCLE SUITE A,,NORCROSS,GA,30071,"ASHIK R. JAHAN/ HALL BOOTH SMITH & SLOVER, P.C.",ATLANTA,FL,512011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers","ASSEMBLER INSTALLER, GENERAL",0,12.39,HR,12.39,HR
5,C-12241-59675,2012-10-01 15:15:22,2012-08-28 00:00:00,Partial Certified,H-2B,TX,2012-10-20 00:00:00,2013-08-19 00:00:00,"ATX ENVIRONMENTAL SOLUTIONS, LLC",8200 CAMERON ROAD,SUITE 164,AUSTIN,TX,78754,"RICHARD YU JUNG/JUNG KO, PLLC",AUSTIN,TX,472152,"Plumbers, Pipefitters, and Steamfitters",PLUMBER,68,26.25,HR,26.25,HR
6,C-12257-59780,2012-10-02 10:44:00,2012-09-13 00:00:00,Certified,H-2B,OH,2012-08-15 00:00:00,2013-05-31 00:00:00,"EL CANDY, LLC",2105 LOCUST ST. S,,CANAL FULTON,OH,44614,LINDA PEREZ,BROWNSVILLE,TX,519199,"Production Workers, All Other",FOOD MIXER,5,8.57,HR,8.57,HR
7,C-12257-59777,2012-10-02 11:23:19,2012-09-13 00:00:00,Partial Certified,H-2B,ID,2012-11-01 00:00:00,2013-09-30 00:00:00,"IMPERIAL FORESTRY, INC.",321 S. ORANGE STREET,,MEDFORD,OR,97501,NICOLE NEWTON/LABOR CONSULTANTS INTERNATIONAL,COEUR D'ALENE,ID,454011,Forest and Conservation Workers,FOREST WORKER,72,9.37,HR,9.37,HR
8,C-12261-59785,2012-10-02 11:40:51,2012-09-17 00:00:00,Certified,H-2B,KY,2012-10-01 00:00:00,2013-07-31 00:00:00,MILLER TRUST FARM,1175 GRIMES MILL RD.,,LEXINGTON,KY,40515,LAURA ELIZABETH CONLEY MORGAN/CONLEY-MORGAN LAW GR,LEXINGTON,KY,392021,Nonfarm Animal Caretakers,ANIMAL CARETAKER,3,8.08,HR,8.08,HR
9,C-12261-59784,2012-10-02 11:45:39,2012-09-17 00:00:00,Partial Certified,H-2B,LA,2012-10-25 00:00:00,2013-03-31 00:00:00,STAN SWEENEY LLC,4687 HIGHWAY 63 SOUTH,,HERMITAGE,AR,71647,,,,454011,Forest and Conservation Workers,TREE PLANTER,105,12.49,HR,12.49,HR
