,FY,CASE_NUMBER,DECISION_DATE,VISA_CLASS,SUBMITTED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUM_MONTHS_TRAINING,NAME_REQUIRED_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
0,2016,H-400-12333-638119,2016-03-11,H-2B,2016-01-05,Certification,2016-04-01 00:00:00,2016-12-15,SUMMERHILL PLANT HEALTH CARE,6 SHAW ROAD,,SAG HARBOR,NY,11963,UNITED STATES OF AMERICA,,631-725-5110,,IMMIGRATION USA,LISSETTE HILDESHEIM,PALM CITY,FL,PLANT CARE TECH,37-3011,Landscaping and Groundskeeping Workers,561730.0,2.0,2.0,Y,Seasonal,$14.94,Hour,22.41,,N,,None,,,N,,N,,,N,,SAG HARBOR,NY,11963,Y,NYS Department of Labor,NY1040601,2012-11-05,2012-11-15
1,2016,H-400-14050-862128,2016-01-21,H-2B,2016-01-21,Withdrawn,2016-05-01 00:00:00,2016-10-31,NDLLLC,1810 Clement Road,P.O. Box 1678,Lutz,FL,33549,UNITED STATES OF AMERICA,,203-862-2943,,"IMMIGRATION ATTORNEYS, LLP",Kathryn Reeves,Tampa,FL,Landscaping Maintenance Worker,37-3011,Landscaping and Groundskeeping Workers,561730.0,20.0,,Y,Seasonal,$12.85,Hour,,,N,,None,,,N,,N,,,N,,Lutz,FL,33549,Y,Florida State Workforce Agency,9880884,2014-04-10,2014-04-28
2,2016,H-400-14109-456848,2016-05-17,H-2B,2016-01-26,Certification,2016-05-17 00:00:00,2016-10-31,"Twigs Landscaping, Inc",2616 Lynnwood Circle,,Norman,OK,73072,UNITED STATES OF AMERICA,,405-990-4533,,"MYONG O. CHUNG, ATTORNEY AT LAW",MYONG CHUNG,NORMAN,OK,Lawn Maintenance Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,8.0,8.0,Y,Seasonal,$12.31,Hour,,,N,,None,,,N,,N,,,N,,Norman,OK,73072,N,,,,
3,2016,H-400-14177-963183,2016-03-09,H-2B,2016-01-04,Certification,2016-04-01 00:00:00,2016-11-25,"Goldens Bridge, Inc.",19 Lalli Drive,,Katonah,NY,10536,UNITED STATES OF AMERICA,,914-232-2122,,WHITEMAN OSTERMAN AND HANNA LLP,LEONARD D'ARRIGO,ALBANY,NY,Horse Groom,39-2021,Nonfarm Animal Caretakers,711219.0,32.0,32.0,Y,Seasonal,$12.58,Hour,18.87,0.0,N,,None,,,N,,N,,,Y,3.0,Katonah,NY,10536,Y,,,,
4,2016,H-400-14192-073469,2016-05-09,H-2B,2016-02-25,Certification,2016-05-15 00:00:00,2016-10-20,EASTHAM HOTEL MANAGEMENT CORP,5000 ROUTE 6,PO BOX 1896,NORTH EASTHAM,MA,02651,UNITED STATES OF AMERICA,,508-360-5617,,PEAK SEASON WORKFORCE,JOSEPH BISHOP,MASHPEE,MA,HOUSEKEEPERS,37-2012,Maids and Housekeeping Cleaners,721110.0,8.0,8.0,Y,Seasonal,$13.,Hour,19.5,,N,,None,,,N,,N,,,Y,3.0,NORTH EASTHAM,MA,02651,N,ARIZONA JOB BANK,,,
5,2016,H-400-14287-509378,2016-02-18,H-2B,2015-12-31,Certification,2016-03-15 00:00:00,2016-11-10,"Vorelli's Restaurant, Inc.",PO Box 956,,Provincetown,MA,02657,UNITED STATES OF AMERICA,,508-487-2281,,"LAW OFFICE OF MICHELE CONTRERAS, LLC",MICHELE CONTRERAS,MOORESTOWN,NJ,Dishwashers,35-9021,Dishwashers,722110.0,4.0,4.0,Y,Seasonal,$11.12,Hour,16.68,,N,,None,,,N,,N,,,N,,Provincetown,MA,02657,N,Massachusetts State Workforce Agency JobQuest,3712537,2014-02-18,2014-03-05
6,2016,H-400-14352-666886,2016-01-27,H-2B,2016-01-03,Withdrawn,2016-04-01 00:00:00,2016-12-01,SIMMONS IRRIGATION,104 MEADOWBROOK RD,,N. CHATHAM,MA,02633,UNITED STATES OF AMERICA,,508-945-3530,,CAPE LABOR SOLUTIONS,PETYA FEENEY,CHATHAM,MA,LANDSCAPERS,37-3011,Landscaping and Groundskeeping Workers,561730.0,3.0,,Y,Seasonal,$17.32,Hour,25.98,,N,,None,,,N,,N,,,N,,N. CHATHAM,MA,02650,Y,THE EXECUTIVE OFFICE OF LABOR,5072730,2014-12-04,2014-12-14
7,2016,H-400-14363-057049,2015-10-07,H-2B,2015-07-16,Partial Certification Expired,2015-10-07 00:00:00,2016-07-01,T & R Construction Group,235 W. Brooks Avenue,,North Las Vegas,NV,89030,UNITED STATES OF AMERICA,,702-642-9940,,"PERRY & ASSOCIATES, P.C.",Katherina Alznauer,ENCINO,CA,Helper-Production Worker,51-9198,Helpers--Production Workers,2361.0,50.0,27.0,Y,Peakload,$11.92,Hour,17.88,,N,,None,,,N,,N,,,N,,North Las Vegas,NV,89030,N,DETR,,,
8,2016,H-400-15002-288327,2016-03-09,H-2B,2016-01-04,Certification,2016-04-01 00:00:00,2016-11-30,DIAMOND COVE MARINA INC,364 WEST LAKE DRIVE,,MONTAUK,NY,11954,UNITED STATES OF AMERICA,,516-383-4998,,IMMIGRATION USA,LISSETTE HILDESHEIM,PALM CITY,FL,BUSSERS,35-9011,Dining Room and Cafeteria Attendants and Bartender,713930.0,7.0,7.0,Y,Seasonal,$9.46,Hour,,,N,,None,,,N,,N,,,N,,MONTAUK,NY,11954,N,,,,
9,2016,H-400-15005-545623,2016-01-15,H-2B,2016-01-15,Withdrawn,2015-04-15 00:00:00,2015-10-31,America's Best Value Inn-Covered Wagon Motel,730 S Main St.,PO Box 236,Lusk,WY,82225,UNITED STATES OF AMERICA,,307-334-2836,,"WILLIAM VELIE, ATTORNEY AT LAW, PLLC",Craig McDougal,NORMAN,OK,Housekeeper,37-2012,Maids and Housekeeping Cleaners,721110.0,5.0,,Y,Peakload,$8.98,Hour,13.47,13.47,N,,None,,,N,,N,,,Y,1.0,Lusk,WY,82225,N,Wyoming at Work,2573137,2014-12-17,2014-12-27
