,FY,CASE_NUMBER,DECISION_DATE,VISA_CLASS,SUBMITTED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,EMPLOYER_NAME,TRADE_NAME_DBA,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,AGENT_POC_EMPLOYER_REP_BY_AGENT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_NAME,NAICS_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,PAY_RANGE_UNIT,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDUCATION,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQUIRED,NUM_MONTHS_TRAINING,NAME_REQUIRED_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
0,2017,H-400-12293-076764,2017-01-09,H-2B,2017-01-03,Withdrawn,2013-03-01,2013-12-31,"Couzins, Inc.",,177 Wissahickon Ave,,North Wales,PA,19454,UNITED STATES OF AMERICA,,215-393-9086,,Y,"WILLIAM VELIE, ATTORNEY AT LAW, PLLC",Craig McDougal,NORMAN,OK,Landscape Worker,37-3011,Landscaping and Groundskeeping Workers,561730.0,2.0,,Y,Seasonal,40,07:00 AM,05:00 PM,$9.22,13.83,,Hour,N,,None,,,N,,N,,,N,,North Wales,Montgomery,PA,19545,N,Commonwealth Workforce PA,,,
1,2017,H-400-12293-953125,2016-12-30,H-2B,2016-12-30,Withdrawn,2013-03-08,2013-12-15,Lawns Unlimited Ltd.,,15089 Coastal Hwy,,Milton,DE,19968,UNITED STATES OF AMERICA,,302-645-5296,,Y,"WILLIAM VELIE, ATTORNEY AT LAW, PLLC",Craig McDougal,NORMAN,OK,Landscape Worker,37-3011,Landscaping and Groundskeeping Workers,561730.0,6.0,,Y,Seasonal,40,07:00 AM,04:00 PM,$9.64,14.46,,Hour,N,,None,,,N,,N,,,N,,Milton,Sussex,DE,19968,N,State of Delaware Dept of Labo,,,
2,2017,H-400-13086-482884,2016-12-30,H-2B,2016-12-30,Withdrawn,2012-12-21,2013-05-31,TEH Racing Stables LLC,,1705 Woodland Ave.,,Warren,OH,44483,UNITED STATES OF AMERICA,,330-393-0100,,Y,"WILLIAM VELIE, ATTORNEY AT LAW, PLLC",William Velie,NORMAN,OK,Horse Groom,39-2021,Nonfarm Animal Caretakers,711212.0,6.0,,Y,Peakload,40,05:00 AM,05:00 PM,$9.11,13.67,,Hour,N,,None,,,N,,N,,,Y,1.0,,,,,,Employ Florida,9728922,2012-11-16,2012-11-26
3,2017,H-400-14289-956949,2016-12-01,H-2B,2016-12-01,Withdrawn,2015-01-23,2015-11-16,"HUB CONSTRUCTION, INC.",,HWY 109 SOUTH,,BOSWELL,OK,74727,UNITED STATES OF AMERICA,,580-566-2271,,Y,ACTION VISA ASSISTANCE,DANIELLE CLARK,WYLIE,TX,CONSTRUCTION HELPER,47-2061,Construction Laborers,236115.0,15.0,,Y,Peakload,40,08:00 AM,05:00 PM,$13.38,20.07,,Hour,N,,None,,,N,,N,,,N,,Boswell,Choctaw,OK,74727,Y,Oklahoma Employment Security C,996878,2014-09-26,2014-10-12
4,2017,H-400-15015-094015,2017-07-25,H-2B,2017-07-25,Withdrawn,2015-04-21,2015-11-10,z DOn't uSe,,6y,,Pittsburgh,PA,15220,UNITED STATES OF AMERICA,,910-640-1706,,Y,"THE PIERCE LAW FIRM, LLC",ROBERT PIERCE,ANNAPOLIS,MD,Carnival Worker,39-3091,Amusement and Recreation Attendants,713990.0,55.0,,Y,Seasonal,30,02:00 PM,11:00 PM,$8.33,,,Hour,N,,None,,,N,,N,,,N,,Chambersburg,Franklin,PA,17202,Y,Pennsylvania CareerLink,7967147,2015-01-14,2015-01-24
5,2017,H-400-15247-383645,2016-10-18,H-2B,2016-09-03,Certification,2016-12-01,2017-12-01,BRIAN R. KESSEN,,5336 GIRARD AVENUE SOUTH,,MINNEAPOLIS,MN,55419,UNITED STATES OF AMERICA,,414-322-4575,,Y,MYERS THOMPSON P.A.,JOHN MEDEIROS,MINNEAPOLIS,MN,Nanny/Childcare Worker,39-9011,Childcare Workers,814110.0,1.0,1.0,Y,One-Time Occurrence,40,08:00 AM,08:00 PM,$20.,30.0,,Hour,N,,High School/GED,,Full requirements in F.b.5.,N,,N,,,Y,12.0,Minneapolis,Hennepin,MN,55419,N,,,,
6,2017,H-400-15294-114854,2017-01-10,H-2B,2016-12-02,Certification,2017-03-01,2017-12-31,The Decor Group of Northern KY,,4086 Limaburg Road,,Hebron,KY,41048,UNITED STATES OF AMERICA,,859-586-4784,,Y,"CONLEY LAW GROUP, PLLC",ELIZABETH BUCKLEY,LEXINGTON,KY,General Laborer,37-3011,Landscaping and Groundskeeping Workers,561730.0,8.0,8.0,Y,Peakload,35,07:00 AM,03:00 PM,$12.16,18.24,18.24,Hour,N,,None,,,N,,N,,,N,,Hebron,Boone,KY,41048,Y,,,,
7,2017,H-400-16015-930436,2017-04-07,H-2B,2017-01-17,Withdrawn,2017-04-15,2017-10-15,DIAMONDS INTERNATIONAL OF ALASKA LTD.,"DIAMONDS INTERNATIONAL, TANZANITE INTERNATIONAL",315 MILL STREET,,KETCHIKAN,AK,99901,UNITED STATES OF AMERICA,,212-308-3600,,Y,LAW OFFICES OF LYNNE R. NEWKOFSKY,LYNNE NEWKOFSKY,NEW YORK,NY,Sales Associate,41-2031,Retail Salespersons,448310.0,30.0,,Y,Seasonal,40,05:00 AM,01:00 PM,$13.92,,,Hour,N,,None,,,N,,N,,,Y,6.0,Juneau,Juneau,AK,99801,Y,,,,
8,2017,H-400-16018-456907,2017-03-09,H-2B,2017-01-09,Certification,2017-04-03,2017-12-31,Absolute Lawn Care,,13490 FM 2590,,Amarillo,TX,79119,UNITED STATES OF AMERICA,,806-676-5199,,Y,"The Fowler Law Firm, PC",Susan Littleton,Austin,TX,Landscaping and Groundskeeping Workers,37-3011,Landscaping and Groundskeeping Workers,561730.0,11.0,11.0,Y,Peakload,40,08:00 AM,05:00 PM,$12.35,18.52,,Hour,N,,None,,,N,,N,,,N,,Amarillo,Randall,TX,79119,Y,,,,
9,2017,H-400-16027-317454,2016-12-28,H-2B,2016-11-18,Certification,2017-02-15,2017-12-15,Suburban Landscape LLC,,625 240th Street,,NORTH LIBERTY,IA,52317,UNITED STATES OF AMERICA,,319-665-9317,,Y,KATHY HAWS & ASSOCIATES,KATHRYN HAWS,MONKEY ISLAND,OK,LANDSCAPE LABORERS,37-3011,Landscaping and Groundskeeping Workers,561730.0,16.0,16.0,Y,Peakload,40,07:00 AM,04:00 PM,$15.01,0.0,0.0,Hour,N,,High School/GED,,,N,,N,,,N,,NORTH LIBERTY,JOHNSON,IA,52317,Y,,,,
