DETLOC,Name,Address,City,County,State,Zip,AOR,Date of Last Use,Date of First Use,Lat,Lng
ADAMSCO,ADAMS COUNTY JAIL,1901 E BRIDGE STREET,BRIGHTON,ADAMS,CO,80601,DEN,20/03/2008,22/01/1991,39.986877,-104.799156
ALMHOLD,ALAMOSA HOLDROOM,1921 STATE STREET,ALAMOSA,ALAMOSA,CO,81101,DEN,26/10/2012,26/02/2011,37.487897,-105.8597891
ARAPACO,ARAPAHOE COUNTY JAIL,3686 SOUTH COURT PLACE,LITTLETON,ARAPAHOE,CO,80120,DEN,26/05/2008,24/11/1990,39.614347,-105.0127466
ARCHUCO,ARCHULETA COUNTY JAIL,449 SAN JUAN STREET,PAGOSA SPRINGS,ARCHULETA,CO,81147,DEN,23/09/2007,7/9/07,37.26643892,-107.0115422
AURORCO,AURORA CITY JAIL,1500 EAST ALAMEDA DRIVE,AURORA,ARAPAHOE,CO,80017,DEN,9/4/08,29/04/1998,39.709542,-104.789661
BENTCCO,BENT COUNTY JAIL,11100 COUNTY RD GG 75,LAS ANIMAS,BENT,CO,81054,DEN,8/10/07,12/7/06,38.075749,-103.215199
BOULDCO,BOULDER COUNTY JAIL,1777 6TH ST.,BOULDER,BOULDER,CO,80302,DEN,16/04/2008,26/07/1991,40.01396656,-105.2873316
BROOMCO,BROOMFIELD DETENTION CENTER,11600 RIDGE PARKWAY,BROOMFIELD,JEFFERSON,CO,80021,DEN,6/3/08,15/08/2006,39.90823745,-105.1485003
BRCHOLD,BRUSH HOLDROOM,515 INDUSTRIAL PARK ROAD,BRUSH,MORGAN,CO,80723,DEN,,,40.27162844,-103.6247735
CHAFFCO,CHAFFEE COUNTY JAIL,"148 Crestone Ave, Salida, CO 81201",SALIDA,CHAFFEE,CO,81201,DEN,17/04/2008,31/07/1997,38.5379616,-105.9988968
CLEARCO,CLEAR CREEK COUNTY JAIL,"405 Argentine St, Georgetown, CO 80444",GEORGETOWN,CLEAR CREEK,CO,80444,DEN,13/07/2008,17/01/1991,39.705319,-105.698357
CODCCSP,COLO DEPARTMENT OF CORRECTIONS,2862 SOUTH CIRCLE DRIVE #100,COLO. SPGS,EL PASO,CO,80906,DEN,29/01/2008,22/07/2007,38.798929,-104.793918
COMHICO,COLORADO MENTAL HEALTH INSTITUTE,1600 WEST 24TH STREET,PUEBLO,PUEBLO,CO,81003,DEN,,,38.29095475,-104.6277323
CONEJCO,CONEJOS COUNTY JAIL,14044 COUNTY ROAD G5,ANTONITO,CONEJOS,CO,81120,DEN,25/06/2014,3/5/06,37.08625,-106.005302
COSTICO,COSTILLA COUNTY JAIL,103 GASPER STREET,SAN LUIS,COSTILLA,CO,81152,DEN,13/09/2007,22/10/1992,37.198212,-105.425505
CRGHOLD,CRAIG HOLDROOM,466 TUCKER STREET,CRAIG,MOFFAT,CO,81625,DEN,1/8/17,1/8/17,40.51362644,-107.5449635
DELTACO,DELTA COUNTY JAIL,P.O. BOX 172,DELTA,DELTA,CO,81416,DEN,5/8/09,15/07/1991,38.74310731,-108.0635233
