Institution Name,Inst Type,TaxType,CO Based,Division,2019-20 total,2019-20 international,2018-10 total,2018-19 international,2017-18 total,2017-18 internationa;,2016-17 tota,2016-17 international,2015-16 total,2015-16 international,2014-15 total,2014-15 international,2013-14 total,2013-14 international,2012-13 total,2012-13 international,2011-12 total,2011-12 international,2010-11 total,2010-2011 international,2009-2010 tota,2009-2010 international,source
Colorado School of Mines,Public,Non-Profit,Yes,DHE,6607,684,6268,688,6117,706,5876,63,5924,70,5795,71,5608,61,,,,,,,,,https://ir.mines.edu/
Colorado State University,Public,Non-Profit,Yes,DHE,28864,1862,28691,1930,28446,1995,28297,1985,27566,1981,27086,1859,27034,1506,26769,1226,26735,1133,26356,1040,,,https://reports.colostate.edu/ibi_apps/portal/IRPub/IRPE_Interactive
Colorado State University - Pueblo,Public,Non-Profit,Yes,DHE,,,6736,103,6639,84,7802,88,7563,110,7256,105,7089,73,6805,78,7174,96,7379,78,7210,53, https://www.csupueblo.edu/institutional-research/common-data-set.html
Metropolitan State University of Denver,Public,Non-Profit,Yes,DHE,,,20192,126,20304,127,20474,116,20676,98,21674,115,22752,113,23381,115,23789,128,23948,129,22837,132,
University of Colorado Boulder,Public,Non-Profit,Yes,DHE,35528,2924,34510,3089,33246,"3,124",31861,3034,30789,2558,29772,2152,29325,1818,29278,1633,29884,1481,29954,1363,30196,1228,https://public.tableau.com/profile/university.of.colorado.boulder.ir#!/vizhome/alltotal/CampusTotal-Summary
University of Colorado Colorado Springs,Public,Non-Profit,Yes,DHE,12180,95,12574,90,12422,95,11995,112,11299,134,11132,140,10598,70,,,,,,,,,https://www.uccs.edu/ir/sites/ir/files/inline-files/FallDatabook_11.pdf
University of Colorado Denver,Public,Non-Profit,Yes,DHE,14947,963,15232,1049,15009,"1,076",14770,1052,14334,1063,14369,1247,14023,1139,14271,1091,14445,963,14619,828,,,https://public.tableau.com/profile/paula.dickson#!/vizhome/HeadcountEnrollmentDashboard-2018_2/Summary
University of Northern Colorado,Public,Non-Profit,Yes,DHE,12242,295,12862,349,12968,394,12260,395,11936,327,11784,366,12084,403,12497,355,12599,305,12358,158,12148,274,https://www.unco.edu/institutional-reporting-analysis-services/enrollment-statistics.aspx
University of Denver,Private,non-Profit,,,,,11952,868,11434,902,11614,1006,11797,1115,11809,1262,,,,,,,,,,,https://www.du.edu/ir/factbook/enrollment.html
Colorado College,private,non-Profit,,,,,2144,196,2118,189,2114,175,2131,158,2067,143,2060,137,2026,119,2043,121,2091,117,2032,102,https://www.coloradocollege.edu/offices/ipe/common-data-set.html
University of Colorado Anschutz,public,non-Profit,,,4292,69,4326,72,4264,69,4167,61,4083,70,3901,65,3706,76,3694,81,3556,83,3348,75,,,https://public.tableau.com/profile/paula.dickson#!/vizhome/HeadcountEnrollmentDashboard-2018_2/Summary
