"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Northern America"
"0500000US08101","Pueblo County, Colorado","167529","*****","161690","1585","108117","4272","51398","3937","3271","818","16305","2235","13183","2224","18639","2872","2175","920","226","179","0","204","1949","915","5839","1585","2548","999","199","169","253","178","30","42","0","204","1965","917","101","124","3291","1140","227","252","115","121","32","62","0","204","2756","1068","161","150"
"0500000US08005","Arapahoe County, Colorado","651215","*****","555232","6325","274444","8252","268559","7240","39124","2989","96769","4692","61480","4371","71186","5034","12229","2094","1301","711","1143","721","9785","1831","95983","6325","42572","4324","7460","1672","17249","2227","7453","1600","146","141","9120","1631","1144","616","53411","5638","3445","1131","14148","2627","6518","2164","237","221","28527","4327","536","340"
"0500000US08069","Larimer County, Colorado","350518","*****","328402","2963","133196","5571","191356","5721","23130","2427","77953","5261","37701","3103","52572","4642","3850","1037","286","454","205","214","3359","1105","22116","2963","8849","1881","2892","954","2922","1115","491","356","159","181","1973","892","412","266","13267","2562","1454","600","4685","1768","255","319","0","204","6522","1442","351","241"
"0500000US08077","Mesa County, Colorado","153207","*****","146072","1817","72086","4346","72780","4272","6203","1788","22871","2246","11911","2041","31795","3635","1206","706","256","378","0","204","950","554","7135","1817","3383","1060","712","403","1042","506","358","414","0","204","1271","795","0","204","3752","1552","515","661","238","352","0","204","38","65","2857","1365","104","121"
"0500000US08041","El Paso County, Colorado","713856","*****","662891","4666","223162","8915","415880","8605","54532","3920","114778","5406","125713","6669","120857","6795","23849","2964","1768","870","1310","640","20771","2633","50965","4666","26665","3008","5854","1158","9819","1322","1825","1058","90","150","8013","2142","1064","546","24300","3435","4141","1177","5343","1452","1322","1202","0","204","11907","3012","1587","741"
"0500000US08123","Weld County, Colorado","314305","*****","288405","3388","166421","5507","117502","4865","11166","1676","44687","3566","25349","2860","36300","3668","4482","1367","79","104","1078","1061","3325","977","25900","3388","11801","2369","1025","397","1377","503","1122","763","35","58","8215","1978","27","44","14099","2750","519","292","776","398","1524","1370","0","204","10976","2692","304","219"
"0500000US08013","Boulder County, Colorado","326078","*****","292834","2633","104426","5128","181735","5289","36144","2888","64771","3822","36833","3155","43987","3965","6673","1837","0","204","0","204","6673","1837","33244","2633","15348","2177","3962","984","5364","1038","278","225","95","115","5228","1363","421","281","17896","2183","3138","959","5999","1177","361","464","374","261","7165","1377","859","520"
"0500000US08059","Jefferson County, Colorado","580233","*****","542627","3630","265309","6031","270902","6102","42944","3798","103728","4450","55318","4254","68912","4675","6416","1205","338","308","199","211","5879","1200","37606","3630","21167","2682","6314","1230","7229","1246","733","492","263","193","5716","1778","912","495","16439","2702","2826","755","4820","1032","799","617","336","287","6611","2061","1047","461"
"0500000US08014","Broomfield County, Colorado","69267","*****","61446","2093","28357","2603","32430","2164","5878","1077","10410","1486","7419","1689","8723","1663","659","313","0","204","0","204","659","313","7821","2093","3980","1339","1128","1093","2369","583","0","204","20","37","299","295","164","148","3841","1721","965","748","812","525","188","249","20","35","1755","1274","101","126"
