"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen"
"0500000US08001","Adams County, Colorado","425330","*****","361017","2054","215283","2732","141689","2446","14898","1090","54474","1574","30185","1352","42132","1834","4045","484","234","120","104","72","3707","482","64313","2054","17365","1119","46948","2067"
"0500000US08003","Alamosa County, Colorado","15293","*****","14371","277","9436","433","4723","391","295","132","1315","227","1178","261","1935","313","212","100","8","13","13","22","191","103","922","277","240","97","682","265"
"0500000US08005","Arapahoe County, Colorado","552860","*****","470446","2105","214591","2611","248065","2540","33749","1284","92838","1847","57163","1834","64315","2073","7790","655","605","239","324","129","6861","538","82414","2105","28090","1255","54324","2208"
"0500000US08007","Archuleta County, Colorado","12136","*****","11926","92","4748","680","7134","670","783","224","2014","367","1639","349","2698","506","44","36","0","123","0","123","44","36","210","92","165","88","45","37"
"0500000US08009","Baca County, Colorado","3833","*****","3728","51","1996","123","1717","118","44","19","856","102","583","80","234","56","15","14","0","123","0","123","15","14","105","51","66","45","39","24"
"0500000US08011","Bent County, Colorado","6125","*****","5841","171","3363","609","2371","542","133","103","839","185","656","238","743","203","107","130","4","8","33","92","70","67","284","171","14","17","270","171"
"0500000US08013","Boulder County, Colorado","290177","*****","257764","1090","92473","2106","161754","2188","34691","1382","57548","1550","30870","1034","38645","1686","3537","448","160","106","70","48","3307","445","32413","1090","10735","681","21678","1027"
"0500000US08014","Broomfield County, Colorado","52872","*****","48616","465","21480","856","26636","848","4244","567","11560","797","4672","526","6160","601","500","167","121","88","33","31","346","144","4256","465","2325","354","1931","421"
"0500000US08015","Chaffee County, Colorado","17540","*****","16982","215","7482","512","9325","427","972","216","4325","398","2160","428","1868","259","175","118","12","13","0","123","163","118","558","215","254","111","304","147"
