"GEO_ID","NAME","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E"
"id","Geographic Area Name","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Northern America","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Native","Margin of Error!!Total!!Native","Estimate!!Total!!Native!!Born in state of residence","Margin of Error!!Total!!Native!!Born in state of residence","Estimate!!Total!!Native!!Born in other state in the United States","Margin of Error!!Total!!Native!!Born in other state in the United States","Estimate!!Total!!Native!!Born in other state in the United States!!Northeast","Margin of Error!!Total!!Native!!Born in other state in the United States!!Northeast","Estimate!!Total!!Native!!Born in other state in the United States!!Midwest","Margin of Error!!Total!!Native!!Born in other state in the United States!!Midwest","Estimate!!Total!!Native!!Born in other state in the United States!!South","Margin of Error!!Total!!Native!!Born in other state in the United States!!South","Estimate!!Total!!Native!!Born in other state in the United States!!West","Margin of Error!!Total!!Native!!Born in other state in the United States!!West","Estimate!!Total!!Native!!Born outside the United States","Margin of Error!!Total!!Native!!Born outside the United States","Estimate!!Total!!Native!!Born outside the United States!!Puerto Rico","Margin of Error!!Total!!Native!!Born outside the United States!!Puerto Rico","Estimate!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Margin of Error!!Total!!Native!!Born outside the United States!!U.S. Island Areas","Estimate!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Margin of Error!!Total!!Native!!Born outside the United States!!Born abroad of American parent(s)","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Asia","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Africa","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Oceania","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Latin America","Estimate!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total!!Foreign born!!Naturalized U.S. citizen!!Northern America","Estimate!!Total!!Foreign born!!Not a U.S. citizen","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Margin of Error!!Total!!Foreign born!!Not a U.S. citizen!!Europe","Estimate!!Total!!Foreign born!!Not a U.S. citizen!!Asia"
"0500000US08023","Costilla County, Colorado","6","0","12","0","12","155","64","0","12","3628","*****","3321","88","2152","132","1165","114","113","48","275","71","241","92","536","110","4","6","0","12","0","12","4","6","307","88","136","50","46","26","0","12","0","12","3","4","80","43","7","10","171","67","11","17","5"
"0500000US08001","Adams County, Colorado","572","1371","437","49","42","42775","2381","228","106","487850","*****","413382","2509","256136","3181","152849","2474","16778","1005","55291","1788","33010","1651","47770","1953","4397","511","444","143","204","99","3749","494","74468","2509","23116","1301","2799","385","7145","473","760","252","102","67","12171","1118","139","76","51352","2435","1420","326","5509"
"0500000US08021","Conejos County, Colorado","8","0","17","1","3","149","61","0","17","8147","*****","7884","89","6398","200","1445","177","107","45","272","63","330","126","736","132","41","23","4","7","6","8","31","20","263","89","106","55","13","11","0","17","0","17","0","17","89","54","4","4","157","60","2","4","5"
"0500000US08027","Custer County, Colorado","12","4","6","0","12","22","34","0","12","4505","*****","4410","78","1286","263","3053","278","338","152","1266","246","778","191","671","197","71","49","0","12","0","12","71","49","95","78","65","68","0","12","31","31","0","12","0","12","34","48","0","12","30","36","4","6","0"
"0500000US08035","Douglas County, Colorado","655","416","155","102","58","2346","446","788","235","320940","*****","297753","955","121254","2143","171871","2108","23024","1054","63355","1839","35224","1442","50268","1780","4628","533","389","194","68","47","4171","474","23187","955","12609","751","3083","380","5956","454","462","166","83","50","2192","337","833","207","10578","775","1707","337","5219"
"0500000US08037","Eagle County, Colorado","131","95","94","40","44","6435","698","53","53","53726","*****","44240","727","17809","867","25690","966","5147","631","10906","830","4159","552","5478","745","741","199","36","33","41","24","664","201","9486","727","2267","445","386","217","247","129","0","28","75","67","1536","418","23","21","7219","729","409","183","187"
"0500000US08065","Lake County, Colorado","8","6","11","27","38","473","160","26","31","7481","*****","6870","175","3350","446","3361","462","814","231","1075","256","538","210","934","253","159","128","0","17","0","17","159","128","611","175","75","56","27","38","30","37","0","17","0","17","18","29","0","17","536","167","0","17","4"
"0500000US08067","La Plata County, Colorado","37","25","32","0","28","933","425","100","68","54469","*****","52358","507","18879","830","32913","826","3649","398","8823","656","6589","525","13852","1045","566","170","59","49","4","9","503","153","2111","507","930","238","272","96","272","133","50","60","37","26","270","148","29","20","1181","425","59","38","64"
"0500000US08081","Moffat County, Colorado","19","0","19","0","19","335","210","27","28","13056","*****","12241","261","7181","379","5043","338","416","136","1373","179","808","236","2446","304","17","19","0","19","0","19","17","19","815","261","421","232","87","47","7","14","0","19","10","11","317","235","0","19","394","220","32","46","0"
