GEO_ID,NAME,S0501_C01_001E,S0501_C02_001E,S0501_C03_001E,S0501_C04_001E,S0501_C05_001E,S0501_C01_004E,S0501_C02_004E,S0501_C03_004E,S0501_C03_004M,S0501_C04_004E,S0501_C04_004M,S0501_C05_004E,S0501_C05_004M,S0501_C01_005E,S0501_C02_005E,S0501_C03_005E,S0501_C03_005M,S0501_C04_005E,S0501_C04_005M,S0501_C05_005E,S0501_C05_005M
id,Geographic Area Name,Total population,Born in US,Foreign born,Foreign born/naturalized,Foreign born/not citizen,Total percent under 5,Percent native under 5,Percent Foreign born under 5,MOE FB under 5,FB/citizen under 5,MOE FB/citizen under 5,FB not citizen under 5,MOE FB not citizen under 5,Total 5 to 17,Native born 5-17,FB 5 to 17,MOE FB 5 to 17,FB/Citizen 5-17,MOE FB/Citizen 5-17,FB/Not Citizen 5-17,MOE FB/Not citizen 5-17
0500000US08001,"Adams County, Colorado",425330,361017,64313,17365,46948,8.9,10.3,0.9,0.3,0.5,0.3,1,0.3,19.7,21.4,10.2,1,4.7,1.4,12.3,1.2
0500000US08005,"Arapahoe County, Colorado",552860,470446,82414,28090,54324,7.2,8.3,1,0.2,0.3,0.2,1.3,0.3,18.7,20.3,9.5,0.7,4.7,1,12,1.1
0500000US08013,"Boulder County, Colorado",290177,257764,32413,10735,21678,5.8,6.4,1,0.3,1.1,0.6,0.9,0.4,15.7,16.4,10.1,1.2,6.7,1.6,11.8,1.8
0500000US08031,"Denver County, Colorado",578087,481857,96230,27161,69069,7.4,8.7,1.1,0.3,0.8,0.4,1.2,0.4,14.2,15.2,9.4,1,4,1,11.5,1.2
0500000US08035,"Douglas County, Colorado",273440,257256,16184,8398,7786,8.2,8.7,1.4,0.6,1,0.6,1.9,1.1,22.5,23.4,7.5,1.4,5.8,1.8,9.3,2.1
0500000US08037,"Eagle County, Colorado",50793,40690,10103,1768,8335,7.7,9.2,1.7,1.2,0,2,2.1,1.5,16.7,18.7,8.9,2.7,3.1,3.7,10.1,3.2
0500000US08041,"El Paso County, Colorado",599988,556805,43183,19949,23234,7.2,7.7,0.8,0.3,0.5,0.2,1,0.5,19.1,19.9,8.7,1,5.7,1.3,11.3,1.4
0500000US08045,"Garfield County, Colorado",54761,45613,9148,1396,7752,8.1,9.5,1,0.8,0,2.5,1.1,1,18.9,20.3,11.5,3,0.4,0.7,13.5,3.3
0500000US08059,"Jefferson County, Colorado",528614,494914,33700,15167,18533,5.8,6.1,1,0.4,0.6,0.3,1.3,0.6,17,17.6,7.6,1,6,1.4,8.8,1.4
0500000US08069,"Larimer County, Colorado",291162,275750,15412,5723,9689,5.9,6.1,1.1,0.6,1.3,0.8,1,0.8,15.8,16.1,9.9,1.7,10.2,3.2,9.7,2.2
0500000US08123,"Weld County, Colorado",242860,219814,23046,6520,16526,8.3,9,1.1,0.7,0,0.5,1.5,1,19.8,20.8,10.2,1.6,6,2.3,11.9,2.1
