,Persons Becoming Legal Permanent Residents During Fiscal Year 2005,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,1034,480,554,-
6,,,,,
7,Age,,,,
8,Under 18 years,236,113,123,-
9,18-24 years,118,54,64,-
10,25-34 years,335,147,188,-
11,35-44 years,215,106,109,-
12,45-54 years,79,38,41,-
13,55-64 years,26,14,12,-
14,65 years and over,25,8,17,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,387,214,173,-
19,Married,620,257,363,-
20,Other,23,6,17,-
21,Unknown,4,3,1,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,42,31,11,-
25,Professional and technical,170,121,49,-
26,Sales,13,9,4,-
27,Administrative support,11,4,7,-
28,"Farming, forestry, fisheries",4,D,D,-
29,"Operators, fabricators, laborers",8,D,D,-
30,"Precision production, craft, repair",9,D,D,-
31,Service,21,10,11,-
32,Military,-,-,-,-
33,No occupation,440,158,282,-
34,Unknown,316,130,186,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,154,74,80,-
38,Employment-based preferences,382,208,174,-
39,Immediate relatives of U.S. citizens,403,144,259,-
40,Diversity programs,56,34,22,-
41,Refugee and asylee adjustments,33,18,15,-
42,Other,6,2,4,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Brazil,11,3,8,-
46,Canada,48,19,29,-
47,China,115,48,67,-
48,France,14,11,3,-
49,Germany,24,10,14,-
50,Guatemala,18,7,11,-
51,India,82,39,43,-
52,Iran,12,6,6,-
53,Israel,14,6,8,-
54,Japan,11,4,7,-
55,Korea,17,9,8,-
56,Mexico,187,81,106,-
57,Nepal,82,45,37,-
58,Peru,13,7,6,-
59,Philippines,16,8,8,-
60,Russia,23,7,16,-
61,South Africa,18,10,8,-
62,Taiwan,13,3,10,-
63,Thailand,11,3,8,-
64,United Kingdom,69,36,33,-
65,Other,235,117,118,-
66,Unknown,1,1,-,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
