,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2006,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,889,386,503,-
6,,,,,
7,New arrivals,334,144,190,-
8,Adjustments of status,555,242,313,-
9,,,,,
10,Age,,,,
11,Under 18 years,186,95,91,-
12,18 to 24 years,110,43,67,-
13,25 to 34 years,268,120,148,-
14,35 to 44 years,161,63,98,-
15,45 to 54 years,72,27,45,-
16,55 to 64 years,43,15,28,-
17,65 years and over,49,23,26,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,295,153,142,-
22,Married,545,221,324,-
23,Other,44,10,34,-
24,Unknown,5,2,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",115,64,51,-
28,Service occupations,23,11,12,-
29,Sales and office occupations,25,10,15,-
30,"Farming, fishing, and forestry occupations",16,16,-,-
31,"Construction, extraction, maintenance and repair occupations",5,5,-,-
32,"Production, transportation, and material moving occupations",26,17,9,-
33,Military,-,-,-,-
34,No occupation/not working outside home,391,143,248,-
35,Homemakers,76,3,73,-
36,Students or children,230,118,112,-
37,Retirees,10,4,6,-
38,Unemployed,75,18,57,-
39,Unknown,288,120,168,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,123,55,68,-
43,Employment-based preferences,129,66,63,-
44,Immediate relatives of U.S. citizens,494,186,308,-
45,Diversity,59,36,23,-
46,Refugees and asylees,72,37,35,-
47,Other,12,6,6,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,11,6,5,-
51,Brazil,14,D,D,-
52,Cambodia,9,5,4,-
53,Canada,39,14,25,-
54,China,93,26,67,-
55,Colombia,12,4,8,-
56,Germany,15,8,7,-
57,Guatemala,24,12,12,-
58,India,32,15,17,-
59,Indonesia,10,6,4,-
60,Korea,13,7,6,-
61,Mexico,184,81,103,-
62,Nepal,62,33,29,-
63,New Zealand,12,8,4,-
64,Peru,16,7,9,-
65,Philippines,10,D,D,-
66,Russia,20,10,10,-
67,Sweden,9,6,3,-
68,United Kingdom,33,16,17,-
69,Vietnam,15,7,8,-
70,Other,254,111,143,-
71,Unknown,2,-,2,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
