,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,732,341,391,-
6,,,,,
7,New arrivals,317,139,178,-
8,Adjustments of status,415,202,213,-
9,,,,,
10,Age,,,,
11,Under 18 years,138,74,64,-
12,18 to 24 years,81,43,38,-
13,25 to 34 years,186,80,106,-
14,35 to 44 years,171,80,91,-
15,45 to 54 years,70,30,40,-
16,55 to 64 years,44,14,30,-
17,65 years and over,42,20,22,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,216,121,95,-
22,Married,470,209,261,-
23,Other,36,3,33,-
24,Unknown,10,8,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",110,71,39,-
28,Service occupations,31,17,14,-
29,Sales and office occupations,16,8,8,-
30,"Farming, fishing, and forestry occupations",3,3,-,-
31,"Construction, extraction, maintenance and repair occupations",5,5,-,-
32,"Production, transportation, and material moving occupations",20,17,3,-
33,Military,-,-,-,-
34,No occupation/not working outside home,359,137,222,-
35,Homemakers,108,D,D,-
36,Students or children,182,96,86,-
37,Retirees,4,D,D,-
38,Unemployed,65,29,36,-
39,Unknown,188,83,105,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,89,49,40,-
43,Employment-based preferences,169,89,80,-
44,Immediate relatives of U.S. citizens,392,154,238,-
45,Diversity,50,28,22,-
46,Refugees and asylees,23,13,10,-
47,Other,9,8,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,20,13,7,-
51,Canada,28,12,16,-
52,China,61,21,40,-
53,Colombia,8,D,D,-
54,Ethiopia,11,4,7,-
55,Germany,9,D,D,-
56,Guatemala,7,D,D,-
57,India,58,29,29,-
58,Iran,8,D,D,-
59,"Korea, South",18,10,8,-
60,Malaysia,8,D,D,-
61,Mexico,186,100,86,-
62,Nepal,91,40,51,-
63,Peru,10,6,4,-
64,Philippines,9,3,6,-
65,Russia,11,3,8,-
66,South Africa,12,5,7,-
67,Thailand,8,3,5,-
68,United Kingdom,36,22,14,-
69,Vietnam,10,6,4,-
70,Other,123,49,74,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
