,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,616,298,318,-
6,,,,,
7,New arrivals,252,126,126,-
8,Adjustments of status,364,172,192,-
9,,,,,
10,Age,,,,
11,Under 18 years,86,44,42,-
12,18 to 24 years,62,36,26,-
13,25 to 34 years,203,87,116,-
14,35 to 44 years,146,80,66,-
15,45 to 54 years,54,19,35,-
16,55 to 64 years,35,20,15,-
17,65 years and over,30,12,18,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,180,110,70,-
22,Married,400,177,223,-
23,Other,33,9,24,-
24,Unknown,3,2,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",106,74,32,-
28,Service occupations,23,13,10,-
29,Sales and office occupations,15,D,D,-
30,"Farming, fishing, and forestry occupations",8,D,D,-
31,"Construction, extraction, maintenance and repair occupations",3,3,-,-
32,"Production, transportation, and material moving occupations",28,21,7,-
33,Military,-,-,-,-
34,No occupation/not working outside home,244,88,156,-
35,Homemakers,80,4,76,-
36,Students or children,117,65,52,-
37,Retirees,7,3,4,-
38,Unemployed,40,16,24,-
39,Unknown,189,84,105,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,60,25,35,-
43,Employment-based preferences,172,98,74,-
44,Immediate relatives of U.S. citizens,271,112,159,-
45,Diversity,52,33,19,-
46,Refugees and asylees,26,16,10,-
47,Other,35,14,21,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,7,D,D,-
51,Canada,23,11,12,-
52,China,44,19,25,-
53,Denmark,7,4,3,-
54,El Salvador,6,D,D,-
55,Ethiopia,6,D,D,-
56,Germany,14,7,7,-
57,Guatemala,5,D,D,-
58,India,68,36,32,-
59,Iran,7,4,3,-
60,Japan,6,D,D,-
61,"Korea, South",11,4,7,-
62,Mexico,172,74,98,-
63,Nepal,60,30,30,-
64,Netherlands,10,6,4,-
65,Philippines,11,4,7,-
66,Russia,8,4,4,-
67,Thailand,6,D,D,-
68,United Kingdom,22,17,5,-
69,Vietnam,8,D,D,-
70,Other,115,60,55,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
