,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Boulder, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,719,400,319,-
6,,,,,
7,New arrivals,325,184,141,-
8,Adjustments of status,394,216,178,-
9,,,,,
10,Age,,,,
11,Under 18 years,121,59,62,-
12,18 to 24 years,75,40,35,-
13,25 to 34 years,189,110,79,-
14,35 to 44 years,166,90,76,-
15,45 to 54 years,74,46,28,-
16,55 to 64 years,50,34,16,-
17,65 years and over,44,21,23,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,460,262,198,-
22,Single,212,107,105,-
23,Other,44,31,13,-
24,Unknown,3,-,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",145,45,100,-
28,Service occupations,16,7,9,-
29,Sales and office occupations,D,9,D,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",17,4,13,-
32,"Production, transportation, and material moving occupations",12,5,7,-
33,Military,-,-,-,-
34,No occupation/not working outside home,306,204,102,-
35,Homemakers,85,80,5,-
36,Students or children,161,86,75,-
37,Retirees,21,14,7,-
38,Unemployed,39,24,15,-
39,Unknown,210,126,84,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,105,64,41,-
43,Employment-based preferences,161,75,86,-
44,Immediate relatives of U.S. citizens,326,195,131,-
45,Diversity,57,22,35,-
46,Refugees and asylees,30,16,14,-
47,Other,40,28,12,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,8,3,5,-
51,Canada,14,8,6,-
52,China,65,40,25,-
53,El Salvador,7,D,D,-
54,France,8,5,3,-
55,Germany,9,5,4,-
56,India,60,33,27,-
57,Indonesia,7,4,3,-
58,Iran,8,5,3,-
59,"Korea, South",11,4,7,-
60,Mexico,182,110,72,-
61,Nepal,78,35,43,-
62,Philippines,10,D,D,-
63,Russia,12,9,3,-
64,South Africa,8,4,4,-
65,Sudan,8,D,D,-
66,Taiwan,10,7,3,-
67,Thailand,8,D,D,-
68,United Kingdom,29,9,20,-
69,Vietnam,30,19,11,-
70,Other,144,73,71,-
71,Unknown,3,1,2,-
72,D Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security.,,,,
