,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2006,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Silverthorne, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,124,58,66,-
6,,,,,
7,New arrivals,23,9,14,-
8,Adjustments of status,101,49,52,-
9,,,,,
10,Age,,,,
11,Under 18 years,17,9,8,-
12,18 to 24 years,17,D,D,-
13,25 to 34 years,52,22,30,-
14,35 to 44 years,21,10,11,-
15,45 to 54 years,10,D,D,-
16,55 to 64 years,D,5,D,-
17,65 years and over,D,-,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,33,17,16,-
22,Married,87,40,47,-
23,Other,3,-,3,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",12,D,D,-
28,Service occupations,11,5,6,-
29,Sales and office occupations,8,D,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",6,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,31,11,20,-
35,Homemakers,6,-,6,-
36,Students or children,17,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,8,D,D,-
39,Unknown,52,23,29,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,18,D,D,-
43,Employment-based preferences,13,9,4,-
44,Immediate relatives of U.S. citizens,63,23,40,-
45,Diversity,6,D,D,-
46,Refugees and asylees,22,16,6,-
47,Other,2,1,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,4,D,D,-
51,Belarus,5,D,D,-
52,Brazil,4,-,4,-
53,Bulgaria,3,D,D,-
54,Burma,D,-,D,-
55,Canada,6,D,D,-
56,Costa Rica,3,-,3,-
57,Czech Republic,3,D,D,-
58,Czechoslovakia (former),6,D,D,-
59,Guatemala,3,-,3,-
60,Hong Kong,3,D,D,-
61,Lithuania,D,D,D,-
62,Mauritania,10,10,-,-
63,Mexico,17,7,10,-
64,New Zealand,6,D,D,-
65,Peru,D,D,D,-
66,Poland,5,D,D,-
67,Russia,9,D,D,-
68,Soviet Union (former),5,D,D,-
69,Ukraine,8,4,4,-
70,Other,18,10,8,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
