,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2009,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Silverthorne, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,121,55,66,-
6,,,,,
7,New arrivals,41,18,23,-
8,Adjustments of status,80,37,43,-
9,,,,,
10,Age,,,,
11,Under 18 years,24,16,8,-
12,18 to 24 years,18,8,10,-
13,25 to 34 years,38,13,25,-
14,35 to 44 years,18,D,D,-
15,45 to 54 years,17,11,6,-
16,55 to 64 years,D,D,D,-
17,65 years and over,D,-,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,D,25,D,-
22,Married,79,27,52,-
23,Other,D,-,D,-
24,Unknown,4,3,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",9,D,D,-
28,Service occupations,7,D,D,-
29,Sales and office occupations,5,D,D,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",8,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,47,19,28,-
35,Homemakers,13,-,13,-
36,Students or children,27,D,D,-
37,Retirees,-,-,-,-
38,Unemployed,7,D,D,-
39,Unknown,45,17,28,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,18,8,10,-
43,Employment-based preferences,3,D,D,-
44,Immediate relatives of U.S. citizens,62,15,47,-
45,Diversity,9,D,D,-
46,Refugees and asylees,24,D,D,-
47,Other,5,3,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,D,-,D,-
51,Armenia,D,D,-,-
52,Australia,D,-,D,-
53,Belarus,D,D,D,-
54,Brazil,D,-,D,-
55,Burma,D,-,D,-
56,Canada,3,-,3,-
57,"Congo, Republic of the",4,4,-,-
58,El Salvador,5,D,D,-
59,Guatemala,3,D,D,-
60,Mauritania,14,D,D,-
61,Mexico,34,16,18,-
62,New Zealand,D,-,D,-
63,Peru,D,-,D,-
64,Philippines,3,-,3,-
65,Poland,4,D,D,-
66,Senegal,3,3,-,-
67,Sweden,D,-,D,-
68,United Kingdom,10,5,5,-
69,Uzbekistan,7,4,3,-
70,Other,17,3,14,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
