,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Breckenridge, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,68,39,29,-
6,,,,,
7,New arrivals,43,23,20,-
8,Adjustments of status,25,16,9,-
9,,,,,
10,Age,,,,
11,Under 18 years,19,10,9,-
12,18 to 24 years,4,D,D,-
13,25 to 34 years,21,14,7,-
14,35 to 44 years,8,4,4,-
15,45 to 54 years,7,3,4,-
16,55 to 64 years,3,D,D,-
17,65 years and over,6,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,37,21,16,-
22,Single,26,D,D,-
23,Other,5,D,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",9,D,D,-
28,Service occupations,D,D,-,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",D,-,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,30,21,9,-
35,Homemakers,7,7,-,-
36,Students or children,20,11,9,-
37,Retirees,D,D,-,-
38,Unemployed,D,D,-,-
39,Unknown,25,14,11,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,5,D,D,-
43,Employment-based preferences,D,D,D,-
44,Immediate relatives of U.S. citizens,46,27,19,-
45,Diversity,12,6,6,-
46,Refugees and asylees,D,-,D,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,D,-,D,-
51,Brazil,D,D,-,-
52,Canada,D,D,D,-
53,Colombia,D,-,D,-
54,Costa Rica,D,D,D,-
55,Czech Republic,5,D,D,-
56,El Salvador,D,D,-,-
57,France,D,-,D,-
58,Guatemala,D,-,D,-
59,Hungary,D,D,-,-
60,Mali,D,D,-,-
61,Mexico,13,D,D,-
62,Moldova,D,-,D,-
63,Nepal,D,D,D,-
64,Netherlands,D,-,D,-
65,Peru,D,D,-,-
66,Senegal,17,7,10,-
67,Ukraine,4,D,D,-
68,United Kingdom,3,D,D,-
69,Uzbekistan,5,D,D,-
70,Other,3,2,1,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
