,Persons Becoming Legal Permanent Residents During Fiscal Year 2004,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,811,346,465,-
6,,,,,
7,Age,,,,
8,Under 18 years,147,75,72,-
9,18-24 years,115,34,81,-
10,25-34 years,283,115,168,-
11,35-44 years,136,53,83,-
12,45-54 years,69,39,30,-
13,55-64 years,37,15,22,-
14,65 years and over,24,15,9,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,240,125,115,-
19,Married,549,215,334,-
20,Other,19,4,15,-
21,Unknown,3,2,1,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,21,15,6,-
25,Professional and technical,57,42,15,-
26,Sales,8,D,D,-
27,Administrative support,14,D,D,-
28,"Farming, forestry, fisheries",8,D,D,-
29,"Operators, fabricators, laborers",21,16,5,-
30,"Precision production, craft, repair",5,D,D,-
31,Service,9,5,4,-
32,Military,-,-,-,-
33,No occupation,253,92,161,-
34,Unknown,415,158,257,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,124,61,63,-
38,Employment-based preferences,153,80,73,-
39,Immediate relatives of U.S. citizens,451,157,294,-
40,Diversity programs,20,12,8,-
41,Refugee and asylee adjustments,49,29,20,-
42,Other,14,7,7,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Bosnia and Herzegovina,14,6,8,-
46,Canada,46,23,23,-
47,China,42,21,21,-
48,Colombia,11,3,8,-
49,El Salvador,9,5,4,-
50,Germany,31,6,25,-
51,India,68,37,31,-
52,Iran,11,3,8,-
53,Jamaica,14,11,3,-
54,Japan,18,5,13,-
55,Jordan,9,5,4,-
56,Korea,48,21,27,-
57,Mexico,112,51,61,-
58,Peru,10,3,7,-
59,Philippines,51,20,31,-
60,Poland,9,4,5,-
61,Russia,15,4,11,-
62,Ukraine,17,7,10,-
63,United Kingdom,34,15,19,-
64,Vietnam,32,10,22,-
65,Other,207,85,122,-
66,Unknown,3,1,2,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
