,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2006,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,982,369,613,-
6,,,,,
7,New arrivals,426,156,270,-
8,Adjustments of status,556,213,343,-
9,,,,,
10,Age,,,,
11,Under 18 years,232,107,125,-
12,18 to 24 years,130,42,88,-
13,25 to 34 years,257,79,178,-
14,35 to 44 years,159,62,97,-
15,45 to 54 years,87,37,50,-
16,55 to 64 years,65,27,38,-
17,65 years and over,52,15,37,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,329,147,182,-
22,Married,599,215,384,-
23,Other,50,5,45,-
24,Unknown,4,2,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",78,45,33,-
28,Service occupations,43,22,21,-
29,Sales and office occupations,38,13,25,-
30,"Farming, fishing, and forestry occupations",9,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",14,D,D,-
33,Military,D,D,-,-
34,No occupation/not working outside home,503,157,346,-
35,Homemakers,135,3,132,-
36,Students or children,259,117,142,-
37,Retirees,6,3,3,-
38,Unemployed,103,34,69,-
39,Unknown,293,114,179,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,114,46,68,-
43,Employment-based preferences,63,32,31,-
44,Immediate relatives of U.S. citizens,662,215,447,-
45,Diversity,40,22,18,-
46,Refugees and asylees,89,49,40,-
47,Other,14,5,9,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,12,D,D,-
51,Bosnia and Herzegovina,13,D,D,-
52,Canada,21,13,8,-
53,China,88,24,64,-
54,Colombia,34,17,17,-
55,Germany,35,7,28,-
56,Guatemala,17,10,7,-
57,India,39,18,21,-
58,Iran,12,D,D,-
59,Jamaica,28,14,14,-
60,Japan,11,D,D,-
61,Korea,56,18,38,-
62,Mexico,103,35,68,-
63,Peru,37,16,21,-
64,Philippines,85,20,65,-
65,Poland,15,6,9,-
66,Russia,36,15,21,-
67,Ukraine,19,6,13,-
68,United Kingdom,20,10,10,-
69,Vietnam,31,10,21,-
70,Other,270,108,162,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
