,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Colorado Springs, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,1009,406,603,-
6,,,,,
7,New arrivals,423,161,262,-
8,Adjustments of status,586,245,341,-
9,,,,,
10,Age,,,,
11,Under 18 years,211,95,116,-
12,18 to 24 years,148,55,93,-
13,25 to 34 years,289,106,183,-
14,35 to 44 years,152,65,87,-
15,45 to 54 years,84,31,53,-
16,55 to 64 years,68,29,39,-
17,65 years and over,57,25,32,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,333,164,169,-
22,Married,623,220,403,-
23,Other,38,10,28,-
24,Unknown,15,12,3,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",88,53,35,-
28,Service occupations,35,18,17,-
29,Sales and office occupations,20,8,12,-
30,"Farming, fishing, and forestry occupations",11,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",21,13,8,-
33,Military,D,-,D,-
34,No occupation/not working outside home,509,158,351,-
35,Homemakers,131,D,D,-
36,Students or children,255,110,145,-
37,Retirees,7,D,D,-
38,Unemployed,116,41,75,-
39,Unknown,318,143,175,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,92,44,48,-
43,Employment-based preferences,114,58,56,-
44,Immediate relatives of U.S. citizens,614,194,420,-
45,Diversity,20,11,9,-
46,Refugees and asylees,136,76,60,-
47,Other,33,23,10,-
48,,,,,
49,Leading countries of birth,,,,
50,Bhutan,40,25,15,-
51,Burma,13,8,5,-
52,Canada,18,5,13,-
53,China,68,28,40,-
54,Cuba,35,17,18,-
55,Germany,33,6,27,-
56,Haiti,13,4,9,-
57,India,36,19,17,-
58,Iraq,20,13,7,-
59,Jamaica,43,21,22,-
60,Kenya,15,D,D,-
61,"Korea, South",45,18,27,-
62,Mexico,155,64,91,-
63,Nepal,22,11,11,-
64,Philippines,99,28,71,-
65,Russia,16,7,9,-
66,Thailand,18,D,D,-
67,Ukraine,13,5,8,-
68,United Kingdom,23,11,12,-
69,Vietnam,26,11,15,-
70,Other,258,101,157,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
