,Persons Becoming Legal Permanent Residents During Fiscal Year 2004,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Denver, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,6962,3213,3746,3
6,,,,,
7,Age,,,,
8,Under 18 years,1331,703,628,-
9,18-24 years,964,442,521,1
10,25-34 years,2147,957,1188,2
11,35-44 years,1305,617,688,-
12,45-54 years,610,254,356,-
13,55-64 years,335,142,193,-
14,65 years and over,269,98,171,-
15,Unknown,1,-,1,-
16,,,,,
17,Marital status,,,,
18,Single,2386,1306,1079,1
19,Married,4278,1841,2437,-
20,Other,274,53,221,-
21,Unknown,24,13,9,2
22,,,,,
23,Occupation,,,,
24,Executive and managerial,189,134,55,-
25,Professional and technical,347,225,122,-
26,Sales,83,45,38,-
27,Administrative support,66,23,43,-
28,"Farming, forestry, fisheries",70,55,14,1
29,"Operators, fabricators, laborers",200,150,50,-
30,"Precision production, craft, repair",68,49,19,-
31,Service,230,139,91,-
32,Military,-,-,-,-
33,No occupation,2172,860,1311,1
34,Unknown,3537,1533,2003,1
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,1224,531,693,-
38,Employment-based preferences,858,430,428,-
39,Immediate relatives of U.S. citizens,3242,1333,1909,-
40,Diversity programs,596,347,249,-
41,Refugee and asylee adjustments,692,384,305,3
42,Other,350,188,162,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Bosnia and Herzegovina,132,69,62,1
46,Canada,159,73,86,-
47,China,216,69,147,-
48,Colombia,79,31,48,-
49,El Salvador,135,73,62,-
50,Ethiopia,330,183,147,-
51,Ghana,107,68,39,-
52,Guatemala,98,48,50,-
53,India,296,150,146,-
54,Iran,119,51,68,-
55,Korea,194,81,113,-
56,Mexico,1909,876,1033,-
57,Morocco,79,47,32,-
58,Nepal,85,50,35,-
59,Peru,117,52,65,-
60,Philippines,126,40,86,-
61,Russia,247,104,143,-
62,Ukraine,177,76,101,-
63,United Kingdom,138,77,61,-
64,Vietnam,352,148,204,-
65,Other,1850,841,1007,2
66,Unknown,17,6,11,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
