,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Denver-Aurora-Broomfield, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,9189,4239,4950,-
6,,,,,
7,New arrivals,3728,1729,1999,-
8,Adjustments of status,5461,2510,2951,-
9,,,,,
10,Age,,,,
11,Under 18 years,1963,1012,951,-
12,18 to 24 years,1386,631,755,-
13,25 to 34 years,2347,1056,1291,-
14,35 to 44 years,1616,764,852,-
15,45 to 54 years,861,355,506,-
16,55 to 64 years,545,222,323,-
17,65 years and over,471,199,272,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,3420,1849,1571,-
22,Married,5257,2274,2983,-
23,Other,424,71,353,-
24,Unknown,88,45,43,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",761,497,264,-
28,Service occupations,376,228,148,-
29,Sales and office occupations,213,97,116,-
30,"Farming, fishing, and forestry occupations",129,D,D,-
31,"Construction, extraction, maintenance and repair occupations",66,D,D,-
32,"Production, transportation, and material moving occupations",304,242,62,-
33,Military,-,-,-,-
34,No occupation/not working outside home,4415,1642,2773,-
35,Homemakers,1111,63,1048,-
36,Students or children,2438,1238,1200,-
37,Retirees,90,36,54,-
38,Unemployed,776,305,471,-
39,Unknown,2925,1366,1559,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,1321,636,685,-
43,Employment-based preferences,859,445,414,-
44,Immediate relatives of U.S. citizens,4064,1618,2446,-
45,Diversity,678,386,292,-
46,Refugees and asylees,2115,1060,1055,-
47,Other,152,94,58,-
48,,,,,
49,Leading countries of birth,,,,
50,Bhutan,397,203,194,-
51,Burma,382,204,178,-
52,Canada,155,70,85,-
53,China,425,182,243,-
54,Ethiopia,596,291,305,-
55,Ghana,160,86,74,-
56,India,334,167,167,-
57,Iran,90,42,48,-
58,Iraq,193,98,95,-
59,"Korea, South",127,57,70,-
60,Mexico,2161,989,1172,-
61,Nepal,326,157,169,-
62,Peru,92,44,48,-
63,Philippines,167,54,113,-
64,Russia,125,44,81,-
65,Somalia,94,41,53,-
66,Sudan,88,43,45,-
67,Thailand,230,99,131,-
68,United Kingdom,98,63,35,-
69,Vietnam,429,166,263,-
70,Other,2511,1133,1378,-
71,Unknown,9,6,3,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
