,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Denver-Aurora-Lakewood, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,9738,5353,4384,1
6,,,,,
7,New arrivals,4576,2450,2125,1
8,Adjustments of status,5162,2903,2259,-
9,,,,,
10,Age,,,,
11,Under 18 years,1816,934,881,1
12,18 to 24 years,1293,684,609,-
13,25 to 34 years,2518,1378,1140,-
14,35 to 44 years,1753,909,844,-
15,45 to 54 years,1169,715,454,-
16,55 to 64 years,735,465,270,-
17,65 years and over,454,268,186,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,5779,3250,2529,-
22,Single,3241,1587,1654,-
23,Other,624,473,151,-
24,Unknown,94,43,50,1
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",838,308,530,-
28,Service occupations,295,155,140,-
29,Sales and office occupations,298,144,154,-
30,"Farming, fishing, and forestry occupations",D,18,D,-
31,"Construction, extraction, maintenance and repair occupations",157,7,150,-
32,"Production, transportation, and material moving occupations",428,72,356,-
33,Military,D,-,D,-
34,No occupation/not working outside home,4447,2978,1468,1
35,Homemakers,1276,1220,56,-
36,Students or children,2241,1160,1080,1
37,Retirees,70,39,31,-
38,Unemployed,860,559,301,-
39,Unknown,3155,1671,1484,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,1549,852,697,-
43,Employment-based preferences,676,323,353,-
44,Immediate relatives of U.S. citizens,4862,2860,2002,-
45,Diversity,666,299,367,-
46,Refugees and asylees,1476,720,756,-
47,Other,509,299,209,1
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,175,90,85,-
51,Bhutan,114,56,58,-
52,Burma,240,114,126,-
53,Canada,156,79,77,-
54,"China, People's Republic",361,221,140,-
55,"Congo, Democratic Republic",189,94,95,-
56,El Salvador,118,69,49,-
57,Ethiopia,595,341,254,-
58,Ghana,116,67,49,-
59,India,229,110,119,-
60,Iraq,283,139,143,1
61,"Korea, South",131,67,64,-
62,Mexico,2773,1526,1247,-
63,Nepal,281,145,136,-
64,Philippines,186,135,51,-
65,Russia,110,75,35,-
66,Somalia,126,65,61,-
67,Sudan,106,56,50,-
68,United Kingdom,118,45,73,-
69,Vietnam,524,312,212,-
70,Other,2800,1543,1257,-
71,Unknown,7,4,3,-
72,D Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security.,,,,
