,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2006,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,366,128,238,-
6,,,,,
7,New arrivals,179,70,109,-
8,Adjustments of status,187,58,129,-
9,,,,,
10,Age,,,,
11,Under 18 years,72,38,34,-
12,18 to 24 years,53,16,37,-
13,25 to 34 years,147,41,106,-
14,35 to 44 years,46,14,32,-
15,45 to 54 years,19,5,14,-
16,55 to 64 years,13,5,8,-
17,65 years and over,16,9,7,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,125,58,67,-
22,Married,228,63,165,-
23,Other,12,7,5,-
24,Unknown,1,-,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",56,11,45,-
28,Service occupations,13,7,6,-
29,Sales and office occupations,11,5,6,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,D,-
32,"Production, transportation, and material moving occupations",11,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,162,52,110,-
35,Homemakers,50,D,D,-
36,Students or children,83,42,41,-
37,Retirees,D,D,D,-
38,Unemployed,D,7,D,-
39,Unknown,107,40,67,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,70,D,D,-
43,Employment-based preferences,77,34,43,-
44,Immediate relatives of U.S. citizens,212,65,147,-
45,Diversity,D,-,D,-
46,Refugees and asylees,D,D,D,-
47,Other,3,1,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,9,D,D,-
51,Australia,10,D,D,-
52,Brazil,4,D,D,-
53,Bulgaria,3,-,3,-
54,Chile,5,D,D,-
55,China,7,-,7,-
56,Czechoslovakia (former),4,D,D,-
57,Guatemala,5,D,D,-
58,Honduras,6,3,3,-
59,India,65,28,37,-
60,Mexico,152,58,94,-
61,Nepal,4,D,D,-
62,New Zealand,4,D,D,-
63,Peru,8,D,D,-
64,Poland,6,-,6,-
65,Romania,9,4,5,-
66,Slovak Republic,6,-,6,-
67,South Africa,8,D,D,-
68,Sweden,4,D,D,-
69,United Kingdom,4,D,D,-
70,Other,43,12,31,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
