,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2008,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,290,118,172,-
6,,,,,
7,New arrivals,131,53,78,-
8,Adjustments of status,159,65,94,-
9,,,,,
10,Age,,,,
11,Under 18 years,60,32,28,-
12,18 to 24 years,50,23,27,-
13,25 to 34 years,90,29,61,-
14,35 to 44 years,49,21,28,-
15,45 to 54 years,16,6,10,-
16,55 to 64 years,13,D,D,-
17,65 years and over,12,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,92,D,D,-
22,Married,187,67,120,-
23,Other,10,D,D,-
24,Unknown,1,-,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",13,4,9,-
28,Service occupations,17,9,8,-
29,Sales and office occupations,11,D,D,-
30,"Farming, fishing, and forestry occupations",5,5,-,-
31,"Construction, extraction, maintenance and repair occupations",4,4,-,-
32,"Production, transportation, and material moving occupations",15,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,144,44,100,-
35,Homemakers,52,5,47,-
36,Students or children,72,35,37,-
37,Retirees,-,-,-,-
38,Unemployed,20,4,16,-
39,Unknown,81,34,47,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,67,26,41,-
43,Employment-based preferences,19,9,10,-
44,Immediate relatives of U.S. citizens,188,71,117,-
45,Diversity,5,D,D,-
46,Refugees and asylees,9,D,D,-
47,Other,2,1,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,8,D,D,-
51,Australia,7,4,3,-
52,Brazil,D,-,D,-
53,Bulgaria,3,D,D,-
54,Canada,D,-,D,-
55,Chile,D,D,D,-
56,China,3,D,D,-
57,Colombia,5,D,D,-
58,Guatemala,5,D,D,-
59,Honduras,13,3,10,-
60,Macedonia,6,D,D,-
61,Mauritania,4,4,-,-
62,Mexico,163,75,88,-
63,Nepal,5,D,D,-
64,New Zealand,3,-,3,-
65,Philippines,3,-,3,-
66,Russia,3,D,D,-
67,Slovak Republic,5,D,D,-
68,South Africa,5,D,D,-
69,United Kingdom,4,D,D,-
70,Other,39,13,26,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
