,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,199,90,109,-
6,,,,,
7,New arrivals,117,56,61,-
8,Adjustments of status,82,34,48,-
9,,,,,
10,Age,,,,
11,Under 18 years,42,28,14,-
12,18 to 24 years,37,16,21,-
13,25 to 34 years,46,21,25,-
14,35 to 44 years,34,8,26,-
15,45 to 54 years,21,8,13,-
16,55 to 64 years,15,D,D,-
17,65 years and over,4,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,85,D,D,-
22,Married,107,45,62,-
23,Other,6,D,D,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",14,6,8,-
28,Service occupations,14,5,9,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",9,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,98,42,56,-
35,Homemakers,33,D,D,-
36,Students or children,57,35,22,-
37,Retirees,-,-,-,-
38,Unemployed,8,D,D,-
39,Unknown,54,24,30,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,51,23,28,-
43,Employment-based preferences,20,9,11,-
44,Immediate relatives of U.S. citizens,105,48,57,-
45,Diversity,13,D,D,-
46,Refugees and asylees,4,D,D,-
47,Other,6,3,3,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,3,D,D,-
51,Argentina,3,D,D,-
52,Bulgaria,7,4,3,-
53,Canada,3,-,3,-
54,China,D,D,D,-
55,Cuba,3,D,D,-
56,El Salvador,5,D,D,-
57,Guatemala,5,D,D,-
58,Honduras,9,4,5,-
59,Jamaica,3,D,D,-
60,"Korea, South",3,D,D,-
61,Mexico,109,51,58,-
62,Moldova,3,-,3,-
63,Nepal,8,3,5,-
64,Philippines,D,-,D,-
65,Russia,4,D,D,-
66,Senegal,D,D,-,-
67,Slovakia,3,-,3,-
68,South Africa,3,D,D,-
69,Ukraine,3,D,D,-
70,Other,16,6,10,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
