,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Edwards, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,206,110,96,-
6,,,,,
7,New arrivals,95,51,44,-
8,Adjustments of status,111,59,52,-
9,,,,,
10,Age,,,,
11,Under 18 years,36,18,18,-
12,18 to 24 years,29,16,13,-
13,25 to 34 years,49,26,23,-
14,35 to 44 years,41,23,18,-
15,45 to 54 years,27,14,13,-
16,55 to 64 years,14,8,6,-
17,65 years and over,10,5,5,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,135,74,61,-
22,Single,57,29,28,-
23,Other,14,7,7,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",14,7,7,-
28,Service occupations,16,6,10,-
29,Sales and office occupations,8,D,D,-
30,"Farming, fishing, and forestry occupations",3,-,3,-
31,"Construction, extraction, maintenance and repair occupations",5,-,5,-
32,"Production, transportation, and material moving occupations",12,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,91,61,30,-
35,Homemakers,29,26,3,-
36,Students or children,49,25,24,-
37,Retirees,3,D,D,-
38,Unemployed,10,D,D,-
39,Unknown,57,31,26,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,35,21,14,-
43,Employment-based preferences,3,-,3,-
44,Immediate relatives of U.S. citizens,144,79,65,-
45,Diversity,18,10,8,-
46,Refugees and asylees,6,-,6,-
47,Other,-,-,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Albania,D,D,-,-
51,Argentina,8,D,D,-
52,Australia,8,D,D,-
53,Brazil,D,-,D,-
54,Bulgaria,8,3,5,-
55,Chile,D,D,-,-
56,"China, People's Republic",D,D,-,-
57,El Salvador,5,-,5,-
58,France,3,3,-,-
59,Haiti,D,-,D,-
60,Honduras,3,-,3,-
61,Jamaica,D,D,D,-
62,Mexico,102,58,44,-
63,Nepal,6,3,3,-
64,Peru,5,D,D,-
65,Philippines,4,D,D,-
66,Romania,3,D,D,-
67,Thailand,3,3,-,-
68,United Kingdom,5,D,D,-
69,Uzbekistan,6,D,D,-
70,Other,25,8,17,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
