,Persons Becoming Legal Permanent Residents During Fiscal Year 2005,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins-Loveland, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,481,210,271,-
6,,,,,
7,Age,,,,
8,Under 18 years,127,53,74,-
9,18-24 years,54,27,27,-
10,25-34 years,125,55,70,-
11,35-44 years,108,46,62,-
12,45-54 years,36,17,19,-
13,55-64 years,15,5,10,-
14,65 years and over,16,7,9,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,186,92,94,-
19,Married,284,116,168,-
20,Other,9,-,9,-
21,Unknown,2,2,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,16,13,3,-
25,Professional and technical,67,47,20,-
26,Sales,D,D,-,-
27,Administrative support,D,D,D,-
28,"Farming, forestry, fisheries",3,3,-,-
29,"Operators, fabricators, laborers",6,D,D,-
30,"Precision production, craft, repair",D,-,D,-
31,Service,13,7,6,-
32,Military,-,-,-,-
33,No occupation,222,71,151,-
34,Unknown,148,62,86,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,40,19,21,-
38,Employment-based preferences,159,83,76,-
39,Immediate relatives of U.S. citizens,246,86,160,-
40,Diversity programs,21,14,7,-
41,Refugee and asylee adjustments,9,5,4,-
42,Other,6,3,3,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Argentina,6,D,D,-
46,Brazil,6,3,3,-
47,Canada,30,15,15,-
48,China,50,14,36,-
49,Colombia,6,D,D,-
50,Germany,13,8,5,-
51,Guatemala,6,3,3,-
52,India,25,11,14,-
53,Korea,21,13,8,-
54,Mexico,80,38,42,-
55,Netherlands,7,4,3,-
56,Peru,8,D,D,-
57,Philippines,9,4,5,-
58,Romania,9,D,D,-
59,Russia,18,9,9,-
60,South Africa,8,D,D,-
61,Taiwan,15,8,7,-
62,Ukraine,7,D,D,-
63,United Kingdom,26,13,13,-
64,Vietnam,7,3,4,-
65,Other,124,54,70,-
66,,,,,
67,- Represents zero,,,,
68,D  Data withheld to limit disclosure.,,,,
