,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins-Loveland, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,396,165,231,-
6,,,,,
7,New arrivals,140,56,84,-
8,Adjustments of status,256,109,147,-
9,,,,,
10,Age,,,,
11,Under 18 years,80,26,54,-
12,18 to 24 years,36,17,19,-
13,25 to 34 years,105,53,52,-
14,35 to 44 years,100,40,60,-
15,45 to 54 years,32,15,17,-
16,55 to 64 years,23,6,17,-
17,65 years and over,20,8,12,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,123,53,70,-
22,Married,251,108,143,-
23,Other,21,3,18,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",74,49,25,-
28,Service occupations,9,4,5,-
29,Sales and office occupations,7,D,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",12,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,175,57,118,-
35,Homemakers,44,D,D,-
36,Students or children,93,35,58,-
37,Retirees,5,D,D,-
38,Unemployed,33,18,15,-
39,Unknown,116,41,75,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,27,10,17,-
43,Employment-based preferences,114,56,58,-
44,Immediate relatives of U.S. citizens,221,84,137,-
45,Diversity,11,7,4,-
46,Refugees and asylees,11,4,7,-
47,Other,12,4,8,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,6,D,D,-
51,Australia,6,3,3,-
52,Brazil,17,6,11,-
53,Canada,9,D,D,-
54,China,58,20,38,-
55,Colombia,7,D,D,-
56,Costa Rica,6,D,D,-
57,Ethiopia,5,-,5,-
58,Germany,9,6,3,-
59,India,21,8,13,-
60,Iran,7,D,D,-
61,"Korea, South",10,3,7,-
62,Mexico,70,32,38,-
63,Nepal,6,D,D,-
64,Philippines,11,4,7,-
65,Russia,8,D,D,-
66,Saudi Arabia,6,D,D,-
67,Thailand,8,D,D,-
68,Ukraine,7,D,D,-
69,United Kingdom,15,10,5,-
70,Other,103,46,57,-
71,Unknown,1,1,-,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
