,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,373,208,165,-
6,,,,,
7,New arrivals,132,69,63,-
8,Adjustments of status,241,139,102,-
9,,,,,
10,Age,,,,
11,Under 18 years,45,17,28,-
12,18 to 24 years,35,22,13,-
13,25 to 34 years,112,58,54,-
14,35 to 44 years,96,52,44,-
15,45 to 54 years,44,30,14,-
16,55 to 64 years,20,15,5,-
17,65 years and over,21,14,7,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,267,154,113,-
22,Single,85,37,48,-
23,Other,19,16,3,-
24,Unknown,2,1,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",56,22,34,-
28,Service occupations,17,D,D,-
29,Sales and office occupations,13,D,D,-
30,"Farming, fishing, and forestry occupations",3,D,D,-
31,"Construction, extraction, maintenance and repair occupations",5,-,5,-
32,"Production, transportation, and material moving occupations",14,-,14,-
33,Military,-,-,-,-
34,No occupation/not working outside home,146,99,47,-
35,Homemakers,46,43,3,-
36,Students or children,61,28,33,-
37,Retirees,3,3,-,-
38,Unemployed,36,25,11,-
39,Unknown,119,70,49,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,36,18,18,-
43,Employment-based preferences,66,30,36,-
44,Immediate relatives of U.S. citizens,206,128,78,-
45,Diversity,17,8,9,-
46,Refugees and asylees,22,9,13,-
47,Other,26,15,11,-
48,,,,,
49,Leading countries of birth,,,,
50,Albania,4,D,D,-
51,Argentina,4,D,D,-
52,Australia,4,D,D,-
53,Brazil,10,5,5,-
54,Canada,9,4,5,-
55,"China, People's Republic",26,18,8,-
56,Colombia,5,D,D,-
57,Guatemala,5,D,D,-
58,India,12,5,7,-
59,Iran,5,D,D,-
60,Iraq,12,5,7,-
61,"Korea, South",13,7,6,-
62,Mexico,108,57,51,-
63,Nepal,15,7,8,-
64,Nicaragua,5,D,D,-
65,Philippines,15,12,3,-
66,South Africa,5,D,D,-
67,Ukraine,8,D,D,-
68,United Kingdom,9,6,3,-
69,Vietnam,14,8,6,-
70,Other,85,50,35,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
