,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Collins, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,410,238,172,-
6,,,,,
7,New arrivals,176,98,78,-
8,Adjustments of status,234,140,94,-
9,,,,,
10,Age,,,,
11,Under 18 years,58,28,30,-
12,18 to 24 years,43,26,17,-
13,25 to 34 years,123,68,55,-
14,35 to 44 years,92,55,37,-
15,45 to 54 years,48,30,18,-
16,55 to 64 years,20,16,4,-
17,65 years and over,26,15,11,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,267,159,108,-
22,Single,114,56,58,-
23,Other,28,22,6,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",56,23,33,-
28,Service occupations,16,D,D,-
29,Sales and office occupations,13,D,D,-
30,"Farming, fishing, and forestry occupations",D,D,3,-
31,"Construction, extraction, maintenance and repair occupations",D,-,D,-
32,"Production, transportation, and material moving occupations",17,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,179,121,58,-
35,Homemakers,55,D,D,-
36,Students or children,67,D,D,-
37,Retirees,3,D,D,-
38,Unemployed,54,36,18,-
39,Unknown,123,69,54,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,235,138,97,-
43,Family-sponsored preferences,39,28,11,-
44,Employment-based preferences,67,35,32,-
45,Diversity,23,9,14,-
46,Refugees and asylees,17,9,8,-
47,Other,29,19,10,-
48,,,,,
49,Leading countries of birth,,,,
50,Australia,6,D,D,-
51,Brazil,7,4,3,-
52,Canada,9,6,3,-
53,"China, People's Republic",35,21,14,-
54,Cuba,5,D,D,-
55,Ethiopia,4,-,4,-
56,Germany,8,4,4,-
57,Guatemala,4,D,D,-
58,India,31,19,12,-
59,Iran,8,3,5,-
60,Iraq,7,D,D,-
61,"Korea, South",14,7,7,-
62,Libya,4,D,D,-
63,Mexico,115,65,50,-
64,Nepal,14,6,8,-
65,Peru,4,D,D,-
66,Philippines,21,14,7,-
67,Thailand,5,5,-,-
68,United Kingdom,7,3,4,-
69,Vietnam,14,D,D,-
70,Other,86,50,36,-
71,Unknown,2,1,1,-
72,D Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security.,,,,
