,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2009,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,186,103,83,-
6,,,,,
7,New arrivals,34,15,19,-
8,Adjustments of status,152,88,64,-
9,,,,,
10,Age,,,,
11,Under 18 years,30,18,12,-
12,18 to 24 years,54,32,22,-
13,25 to 34 years,51,31,20,-
14,35 to 44 years,27,13,14,-
15,45 to 54 years,12,4,8,-
16,55 to 64 years,D,5,D,-
17,65 years and over,D,-,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,99,64,35,-
22,Married,77,D,D,-
23,Other,7,D,D,-
24,Unknown,3,2,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",D,D,D,-
28,Service occupations,5,D,D,-
29,Sales and office occupations,-,-,-,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",36,22,14,-
33,Military,-,-,-,-
34,No occupation/not working outside home,66,29,37,-
35,Homemakers,19,-,19,-
36,Students or children,39,25,14,-
37,Retirees,-,-,-,-
38,Unemployed,8,4,4,-
39,Unknown,75,47,28,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,D,D,D,-
43,Employment-based preferences,D,D,D,-
44,Immediate relatives of U.S. citizens,42,16,26,-
45,Diversity,-,-,-,-
46,Refugees and asylees,120,72,48,-
47,Other,8,5,3,-
48,,,,,
49,Leading countries of birth,,,,
50,China,D,-,D,-
51,El Salvador,3,D,D,-
52,Ethiopia,8,D,D,-
53,Guatemala,6,D,D,-
54,India,D,D,-,-
55,Kenya,9,4,5,-
56,Kuwait,D,-,D,-
57,Mexico,49,22,27,-
58,Philippines,D,-,D,-
59,Somalia,103,62,41,-
60,Ukraine,D,D,D,-
61,United Kingdom,D,D,-,-
62,Unknown,D,D,-,-
63,D  Data withheld to limit disclosure.,,,,
64,- Represents zero.,,,,
65,Source: U.S. Department of Homeland Security,,,,
