,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,172,102,70,-
6,,,,,
7,New arrivals,57,34,23,-
8,Adjustments of status,115,68,47,-
9,,,,,
10,Age,,,,
11,Under 18 years,31,20,11,-
12,18 to 24 years,38,22,16,-
13,25 to 34 years,61,39,22,-
14,35 to 44 years,18,8,10,-
15,45 to 54 years,15,8,7,-
16,55 to 64 years,9,5,4,-
17,65 years and over,-,-,-,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,89,62,27,-
22,Married,74,36,38,-
23,Other,9,4,5,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",6,D,D,-
28,Service occupations,12,D,D,-
29,Sales and office occupations,D,D,-,-
30,"Farming, fishing, and forestry occupations",D,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",16,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,65,32,33,-
35,Homemakers,15,D,D,-
36,Students or children,39,23,16,-
37,Retirees,-,-,-,-
38,Unemployed,11,D,D,-
39,Unknown,68,40,28,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,31,18,13,-
43,Employment-based preferences,9,D,D,-
44,Immediate relatives of U.S. citizens,38,21,17,-
45,Diversity,3,D,D,-
46,Refugees and asylees,90,57,33,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Burma,D,D,-,-
51,"Congo, Democratic Republic of the",3,D,D,-
52,El Salvador,D,D,D,-
53,Eritrea,5,5,-,-
54,Ethiopia,25,18,7,-
55,Guatemala,D,D,-,-
56,Kenya,18,8,10,-
57,Malta,D,-,D,-
58,Mexico,39,23,16,-
59,Mongolia,D,-,D,-
60,Morocco,D,-,D,-
61,Nepal,4,D,D,-
62,Somalia,59,34,25,-
63,South Africa,D,D,D,-
64,Sudan,5,D,D,-
65,Thailand,D,D,-,-
66,Uganda,D,D,-,-
67,Vietnam,D,D,D,-
68,D Data withheld to limit disclosure.,,,,
69,- Represents zero.,,,,
70,Source: U.S. Department of Homeland Security.,,,,
