,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,154,56,98,-
6,,,,,
7,New arrivals,34,15,19,-
8,Adjustments of status,120,41,79,-
9,,,,,
10,Age,,,,
11,Under 18 years,19,10,9,-
12,18 to 24 years,22,8,14,-
13,25 to 34 years,86,24,62,-
14,35 to 44 years,17,8,9,-
15,45 to 54 years,6,D,D,-
16,55 to 64 years,D,D,-,-
17,65 years and over,D,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,63,23,40,-
22,Single,77,25,52,-
23,Other,10,6,4,-
24,Unknown,4,2,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",19,5,14,-
28,Service occupations,8,3,5,-
29,Sales and office occupations,-,-,-,-
30,"Farming, fishing, and forestry occupations",-,-,-,-
31,"Construction, extraction, maintenance and repair occupations",4,-,4,-
32,"Production, transportation, and material moving occupations",22,3,19,-
33,Military,-,-,-,-
34,No occupation/not working outside home,36,20,16,-
35,Homemakers,8,D,D,-
36,Students or children,24,12,12,-
37,Retirees,D,D,-,-
38,Unemployed,D,-,D,-
39,Unknown,65,25,40,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,D,D,D,-
43,Employment-based preferences,D,D,-,-
44,Immediate relatives of U.S. citizens,35,17,18,-
45,Diversity,7,D,D,-
46,Refugees and asylees,105,33,72,-
47,Other,-,-,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Benin,D,D,D,-
51,Burma,D,D,D,-
52,"Congo, Democratic Republic of the",D,-,D,-
53,Cote d'Ivoire,D,-,D,-
54,El Salvador,4,D,D,-
55,Eritrea,6,D,D,-
56,Ethiopia,14,5,9,-
57,Guatemala,D,D,-,-
58,Iraq,D,-,D,-
59,Kenya,D,-,D,-
60,"Korea, South",D,D,-,-
61,Malta,D,D,-,-
62,Mexico,29,14,15,-
63,Morocco,D,-,D,-
64,Nigeria,D,D,-,-
65,Philippines,D,D,-,-
66,Somalia,80,25,55,-
67,Sudan,5,-,5,-
68,D Data withheld to limit disclosure.,,,,
69,- Represents zero.,,,,
70,Source: U.S. Department of Homeland Security.,,,,
