,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Fort Morgan, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,174,89,85,-
6,,,,,
7,New arrivals,55,34,21,-
8,Adjustments of status,119,55,64,-
9,,,,,
10,Age,,,,
11,Under 18 years,30,17,13,-
12,18 to 24 years,37,19,18,-
13,25 to 34 years,61,27,34,-
14,35 to 44 years,25,15,10,-
15,45 to 54 years,13,7,6,-
16,55 to 64 years,5,D,D,-
17,65 years and over,3,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,89,46,43,-
22,Single,76,37,39,-
23,Other,9,6,3,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",D,D,D,-
28,Service occupations,10,5,5,-
29,Sales and office occupations,-,-,-,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",23,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,68,47,21,-
35,Homemakers,14,14,-,-
36,Students or children,39,21,18,-
37,Retirees,-,-,-,-
38,Unemployed,15,12,3,-
39,Unknown,69,32,37,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,48,30,18,-
43,Family-sponsored preferences,24,D,D,-
44,Employment-based preferences,D,-,D,-
45,Diversity,D,D,D,-
46,Refugees and asylees,92,41,51,-
47,Other,-,-,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Benin,4,D,D,-
51,Burma,D,-,D,-
52,Burundi,D,-,D,-
53,Canada,D,D,-,-
54,"China, People's Republic",D,-,D,-
55,"Congo, Democratic Republic",13,7,6,-
56,Cuba,D,D,-,-
57,El Salvador,5,5,-,-
58,Eritrea,D,D,-,-
59,Ethiopia,15,9,6,-
60,Guatemala,7,4,3,-
61,Honduras,D,D,D,-
62,Iraq,D,D,-,-
63,Kenya,5,D,D,-
64,Malta,D,D,-,-
65,Mexico,38,21,17,-
66,Morocco,D,D,-,-
67,Rwanda,8,D,D,-
68,Somalia,59,22,37,-
69,Sudan,6,D,D,-
70,Other,2,2,-,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
