,Persons Becoming Legal Permanent Residents During Fiscal Year 2003,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,110,54,56,-
6,,,,,
7,Age,,,,
8,Under 18 years,22,15,7,-
9,18-24 years,14,7,7,-
10,25-34 years,40,18,22,-
11,35-44 years,12,5,7,-
12,45-54 years,7,D,D,-
13,55-64 years,8,D,D,-
14,65 years and over,7,D,D,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,D,18,D,-
19,Married,81,36,45,-
20,Other,D,-,D,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,-,-,-,-
25,Professional and technical,D,D,D,-
26,Sales,-,-,-,-
27,Administrative support,-,-,-,-
28,"Farming, forestry, fisheries",-,-,-,-
29,"Operators, fabricators, laborers",D,D,-,-
30,"Precision production, craft, repair",-,-,-,-
31,Service,4,D,D,-
32,Military,-,-,-,-
33,No occupation,45,22,23,-
34,Unknown,57,27,30,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,3,D,D,-
38,Employment-based preferences,7,D,D,-
39,Immediate relatives of U.S. citizens,90,43,47,-
40,Diversity programs,7,D,D,-
41,Refugee and asylee adjustments,-,-,-,-
42,Other,3,-,3,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Australia,D,D,-,-
46,Belarus,D,D,-,-
47,Brazil,D,-,D,-
48,Cambodia,D,-,D,-
49,Canada,7,D,D,-
50,Colombia,4,D,D,-
51,Germany,D,-,D,-
52,Guatemala,D,-,D,-
53,Italy,D,-,D,-
54,Kazakhstan,D,-,D,-
55,Korea,D,D,D,-
56,Lithuania,4,D,D,-
57,Mexico,49,31,18,-
58,Nepal,3,D,D,-
59,Philippines,4,D,D,-
60,Poland,D,D,D,-
61,Russia,3,-,3,-
62,Thailand,4,D,D,-
63,United Kingdom,5,D,D,-
64,Vietnam,3,D,D,-
65,Other,7,1,6,-
66,Unknown,1,-,1,-
67,,,,,
68,- Represents zero,,,,
69,D  Data withheld to limit disclosure.,,,,
