,Persons Becoming Legal Permanent Residents During Fiscal Year 2005,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,78,28,50,-
6,,,,,
7,Age,,,,
8,Under 18 years,15,6,9,-
9,18-24 years,12,D,D,-
10,25-34 years,21,10,11,-
11,35-44 years,20,6,14,-
12,45-54 years,4,-,4,-
13,55-64 years,D,-,D,-
14,65 years and over,D,D,D,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,D,D,12,-
19,Married,54,17,37,-
20,Other,D,D,-,-
21,Unknown,1,-,1,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,D,D,-,-
25,Professional and technical,4,D,D,-
26,Sales,D,D,-,-
27,Administrative support,D,-,D,-
28,"Farming, forestry, fisheries",D,D,-,-
29,"Operators, fabricators, laborers",D,D,-,-
30,"Precision production, craft, repair",-,-,-,-
31,Service,3,D,D,-
32,Military,-,-,-,-
33,No occupation,35,8,27,-
34,Unknown,29,12,17,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,9,D,D,-
38,Employment-based preferences,D,D,D,-
39,Immediate relatives of U.S. citizens,63,23,40,-
40,Diversity programs,-,-,-,-
41,Refugee and asylee adjustments,D,D,-,-
42,Other,1,-,1,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Argentina,D,-,D,-
46,Brazil,D,-,D,-
47,Canada,D,-,D,-
48,China,8,D,D,-
49,Colombia,3,-,3,-
50,Costa Rica,D,-,D,-
51,Denmark,D,D,-,-
52,Ecuador,D,-,D,-
53,Estonia,D,-,D,-
54,France,D,D,-,-
55,Germany,4,-,4,-
56,Guatemala,3,D,D,-
57,India,D,D,-,-
58,Iran,D,D,-,-
59,Mexico,21,12,9,-
60,Philippines,7,D,D,-
61,Poland,D,D,D,-
62,Soviet Union (former),8,D,D,-
63,Ukraine,D,D,D,-
64,United Kingdom,4,D,D,-
65,Other,6,2,4,-
66,,,,,
67,- Represents zero,,,,
68,D  Data withheld to limit disclosure.,,,,
