,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2006,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,115,43,72,-
6,,,,,
7,New arrivals,41,17,24,-
8,Adjustments of status,74,26,48,-
9,,,,,
10,Age,,,,
11,Under 18 years,23,9,14,-
12,18 to 24 years,13,4,9,-
13,25 to 34 years,31,13,18,-
14,35 to 44 years,18,5,13,-
15,45 to 54 years,15,5,10,-
16,55 to 64 years,6,D,D,-
17,65 years and over,9,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,37,D,D,-
22,Married,73,28,45,-
23,Other,4,D,D,-
24,Unknown,1,-,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",7,D,D,-
28,Service occupations,3,D,D,-
29,Sales and office occupations,-,-,-,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",4,4,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,54,14,40,-
35,Homemakers,17,D,D,-
36,Students or children,27,10,17,-
37,Retirees,-,-,-,-
38,Unemployed,10,D,D,-
39,Unknown,43,15,28,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,15,5,10,-
43,Employment-based preferences,D,D,6,-
44,Immediate relatives of U.S. citizens,86,31,55,-
45,Diversity,D,D,-,-
46,Refugees and asylees,D,D,-,-
47,Other,3,2,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Algeria,D,D,-,-
51,Australia,D,D,D,-
52,Bulgaria,D,-,D,-
53,Cambodia,D,-,D,-
54,Canada,8,4,4,-
55,China,9,4,5,-
56,Colombia,D,-,D,-
57,Costa Rica,D,-,D,-
58,Ethiopia,D,D,D,-
59,France,D,-,D,-
60,Germany,3,-,3,-
61,Kazakhstan,D,-,D,-
62,Mexico,38,16,22,-
63,Philippines,10,D,D,-
64,Poland,D,D,D,-
65,Russia,5,D,D,-
66,South Africa,D,D,D,-
67,Soviet Union (former),D,-,D,-
68,Venezuela,3,-,3,-
69,Vietnam,4,D,D,-
70,Other,17,9,8,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
