,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2011,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,145,66,79,-
6,,,,,
7,New arrivals,96,45,51,-
8,Adjustments of status,49,21,28,-
9,,,,,
10,Age,,,,
11,Under 18 years,41,21,20,-
12,18 to 24 years,23,10,13,-
13,25 to 34 years,28,13,15,-
14,35 to 44 years,29,11,18,-
15,45 to 54 years,13,8,5,-
16,55 to 64 years,5,D,D,-
17,65 years and over,6,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,57,D,D,-
22,Married,84,36,48,-
23,Other,4,D,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",12,D,D,-
28,Service occupations,D,D,3,-
29,Sales and office occupations,5,D,D,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",-,-,-,-
32,"Production, transportation, and material moving occupations",12,12,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,71,24,47,-
35,Homemakers,22,-,22,-
36,Students or children,41,20,21,-
37,Retirees,-,-,-,-
38,Unemployed,8,4,4,-
39,Unknown,40,19,21,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,39,17,22,-
43,Employment-based preferences,9,D,D,-
44,Immediate relatives of U.S. citizens,87,37,50,-
45,Diversity,D,D,-,-
46,Refugees and asylees,D,D,D,-
47,Other,5,2,3,-
48,,,,,
49,Leading countries of birth,,,,
50,Algeria,D,D,-,-
51,Armenia,D,-,D,-
52,Canada,7,D,D,-
53,Chile,D,D,-,-
54,China,16,5,11,-
55,Colombia,D,-,D,-
56,Ecuador,4,D,D,-
57,Ethiopia,4,D,D,-
58,Germany,3,-,3,-
59,Ghana,D,D,D,-
60,Haiti,3,D,D,-
61,Indonesia,D,D,D,-
62,Japan,4,D,D,-
63,"Korea, South",D,D,D,-
64,Mexico,55,25,30,-
65,Saint Lucia,D,D,-,-
66,Serbia and Montenegro,9,4,5,-
67,Thailand,D,D,D,-
68,Ukraine,3,D,D,-
69,United Kingdom,4,D,D,-
70,Other,19,9,10,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
