,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,108,69,39,-
6,,,,,
7,New arrivals,61,42,19,-
8,Adjustments of status,47,27,20,-
9,,,,,
10,Age,,,,
11,Under 18 years,16,9,7,-
12,18 to 24 years,16,11,5,-
13,25 to 34 years,25,16,9,-
14,35 to 44 years,18,13,5,-
15,45 to 54 years,21,11,10,-
16,55 to 64 years,9,6,3,-
17,65 years and over,3,3,-,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,72,43,29,-
22,Single,26,16,10,-
23,Other,8,8,-,-
24,Unknown,2,2,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",8,4,4,-
28,Service occupations,3,D,D,-
29,Sales and office occupations,5,D,D,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",D,-,D,-
32,"Production, transportation, and material moving occupations",4,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,56,44,12,-
35,Homemakers,22,22,-,-
36,Students or children,25,16,9,-
37,Retirees,D,D,-,-
38,Unemployed,D,D,3,-
39,Unknown,29,15,14,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,14,D,D,-
43,Employment-based preferences,8,5,3,-
44,Immediate relatives of U.S. citizens,79,49,30,-
45,Diversity,D,D,D,-
46,Refugees and asylees,D,D,-,-
47,Other,2,-,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,D,D,-,-
51,Burma,D,D,-,-
52,Cambodia,3,D,D,-
53,Canada,D,D,-,-
54,"China, People's Republic",5,D,D,-
55,Colombia,5,D,D,-
56,Costa Rica,D,-,D,-
57,Germany,3,D,D,-
58,Honduras,D,-,D,-
59,India,3,D,D,-
60,Israel,D,-,D,-
61,Jamaica,D,D,-,-
62,Japan,D,D,-,-
63,Mexico,50,28,22,-
64,"Micronesia, Federated States",D,-,D,-
65,Nepal,9,6,3,-
66,Philippines,8,D,D,-
67,United Kingdom,4,D,D,-
68,Venezuela,D,D,-,-
69,Vietnam,3,D,D,-
70,Other,3,3,-,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
