,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Grand Junction, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,133,78,55,-
6,,,,,
7,New arrivals,83,46,37,-
8,Adjustments of status,50,32,18,-
9,,,,,
10,Age,,,,
11,Under 18 years,27,14,13,-
12,18 to 24 years,18,12,6,-
13,25 to 34 years,43,23,20,-
14,35 to 44 years,15,9,6,-
15,45 to 54 years,13,8,5,-
16,55 to 64 years,10,D,D,-
17,65 years and over,7,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,86,51,35,-
22,Single,38,19,19,-
23,Other,7,7,-,-
24,Unknown,2,1,1,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",8,D,D,-
28,Service occupations,D,D,D,-
29,Sales and office occupations,8,D,D,-
30,"Farming, fishing, and forestry occupations",3,-,3,-
31,"Construction, extraction, maintenance and repair occupations",D,-,D,-
32,"Production, transportation, and material moving occupations",12,-,12,-
33,Military,-,-,-,-
34,No occupation/not working outside home,64,44,20,-
35,Homemakers,21,D,D,-
36,Students or children,30,15,15,-
37,Retirees,D,D,-,-
38,Unemployed,D,D,D,-
39,Unknown,34,22,12,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,95,56,39,-
43,Family-sponsored preferences,26,D,D,-
44,Employment-based preferences,3,D,D,-
45,Diversity,D,D,D,-
46,Refugees and asylees,D,D,-,-
47,Other,5,3,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Bangladesh,D,D,-,-
51,Brazil,D,D,-,-
52,Bulgaria,5,D,D,-
53,Burma,D,D,-,-
54,Cambodia,8,D,D,-
55,Canada,D,D,-,-
56,Chile,D,-,D,-
57,"China, People's Republic",16,10,6,-
58,Colombia,D,D,-,-
59,Dominican Republic,D,D,-,-
60,El Salvador,D,D,D,-
61,Germany,3,D,D,-
62,Kenya,3,D,D,-
63,Mexico,56,27,29,-
64,Nepal,3,D,D,-
65,Philippines,D,D,-,-
66,Russia,7,D,D,-
67,Syria,D,D,D,-
68,Thailand,D,D,D,-
69,Vietnam,D,D,-,-
70,Other,13,7,6,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
