,Persons Becoming Legal Permanent Residents During Fiscal Year 2004,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,439,194,245,-
6,,,,,
7,Age,,,,
8,Under 18 years,83,48,35,-
9,18-24 years,58,28,30,-
10,25-34 years,145,61,84,-
11,35-44 years,77,31,46,-
12,45-54 years,33,11,22,-
13,55-64 years,24,8,16,-
14,65 years and over,19,7,12,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,160,D,D,-
19,Married,271,106,165,-
20,Other,8,D,D,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,11,D,D,-
25,Professional and technical,8,D,D,-
26,Sales,D,D,-,-
27,Administrative support,-,-,-,-
28,"Farming, forestry, fisheries",4,D,D,-
29,"Operators, fabricators, laborers",16,11,5,-
30,"Precision production, craft, repair",-,-,-,-
31,Service,D,-,D,-
32,Military,-,-,-,-
33,No occupation,132,47,85,-
34,Unknown,265,115,150,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,144,53,91,-
38,Employment-based preferences,D,D,D,-
39,Immediate relatives of U.S. citizens,240,113,127,-
40,Diversity programs,-,-,-,-
41,Refugee and asylee adjustments,D,D,D,-
42,Other,28,14,14,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Belarus,D,D,D,-
46,Canada,13,9,4,-
47,China,14,5,9,-
48,Colombia,D,-,D,-
49,Ecuador,D,D,D,-
50,El Salvador,15,7,8,-
51,Guatemala,15,7,8,-
52,Haiti,3,D,D,-
53,India,5,D,D,-
54,Italy,D,D,D,-
55,Japan,D,-,D,-
56,Kenya,3,D,D,-
57,Korea,9,4,5,-
58,Mexico,290,123,167,-
59,Peru,3,D,D,-
60,Philippines,10,D,D,-
61,Russia,D,D,-,-
62,Spain,D,-,D,-
63,United Kingdom,8,5,3,-
64,Venezuela,6,D,D,-
65,Other,31,16,15,-
66,,,,,
67,- Represents zero,,,,
68,D  Data withheld to limit disclosure.,,,,
