,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2009,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,627,320,307,-
6,,,,,
7,New arrivals,193,92,101,-
8,Adjustments of status,434,228,206,-
9,,,,,
10,Age,,,,
11,Under 18 years,122,72,50,-
12,18 to 24 years,141,77,64,-
13,25 to 34 years,141,72,69,-
14,35 to 44 years,105,47,58,-
15,45 to 54 years,60,25,35,-
16,55 to 64 years,33,13,20,-
17,65 years and over,25,14,11,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,274,169,105,-
22,Married,319,140,179,-
23,Other,26,5,21,-
24,Unknown,8,6,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",24,19,5,-
28,Service occupations,12,8,4,-
29,Sales and office occupations,10,6,4,-
30,"Farming, fishing, and forestry occupations",13,13,-,-
31,"Construction, extraction, maintenance and repair occupations",7,7,-,-
32,"Production, transportation, and material moving occupations",89,62,27,-
33,Military,-,-,-,-
34,No occupation/not working outside home,286,107,179,-
35,Homemakers,92,6,86,-
36,Students or children,143,82,61,-
37,Retirees,7,4,3,-
38,Unemployed,44,15,29,-
39,Unknown,186,98,88,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,88,42,46,-
43,Employment-based preferences,34,D,D,-
44,Immediate relatives of U.S. citizens,261,112,149,-
45,Diversity,7,D,D,-
46,Refugees and asylees,219,127,92,-
47,Other,18,14,4,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,4,D,D,-
51,Burma,12,6,6,-
52,Canada,14,5,9,-
53,China,11,D,D,-
54,Colombia,6,D,D,-
55,"Congo, Democratic Republic of the",7,3,4,-
56,Denmark,5,D,D,-
57,El Salvador,10,4,6,-
58,Eritrea,10,4,6,-
59,Ethiopia,12,D,D,-
60,Guatemala,16,10,6,-
61,Kenya,20,12,8,-
62,"Korea, South",6,D,D,-
63,Mexico,247,120,127,-
64,Nepal,5,D,D,-
65,Peru,8,3,5,-
66,Somalia,149,89,60,-
67,Thailand,12,6,6,-
68,United Kingdom,8,3,5,-
69,Vietnam,10,7,3,-
70,Other,55,26,29,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
