Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2013,,,,
by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
,,,,
"CBSA: Greeley, CO",,,,
,,,,
Characteristic,Total,Male,Female,Unknown
Total,477,220,240,17
,,,,
New arrivals,216,87,113,16
Adjustments of status,261,133,127,1
,,,,
Age,,,,
Under 18 years,100,37,61,2
18 to 24 years,61,35,26,-
25 to 34 years,124,69,55,-
35 to 44 years,83,41,40,2
45 to 54 years,40,14,26,-
55 to 64 years,34,13,21,-
65 years and over,22,11,11,-
Unknown,13,-,-,13
,,,,
Marital status,,,,
Single,166,84,80,2
Married,286,131,142,13
Other,17,-,16,1
Unknown,8,5,2,1
,,,,
Occupation,,,,
"Management, professional, and related occupations",30,18,12,-
Service occupations,27,15,11,1
Sales and office occupations,8,D,D,D
"Farming, fishing, and forestry occupations",10,D,D,-
"Construction, extraction, maintenance and repair occupations",5,5,-,-
"Production, transportation, and material moving occupations",26,22,4,-
Military,-,-,-,-
No occupation/not working outside home,254,74,166,14
Homemakers,93,D,75,D
Students or children,122,50,70,2
Retirees,4,D,D,-
Unemployed,35,14,D,D
Unknown,117,72,44,1
,,,,
Broad class of admission,,,,
Family-sponsored preferences,101,39,54,8
Employment-based preferences,34,19,15,-
Immediate relatives of U.S. citizens,203,87,107,9
Diversity,22,11,11,-
Refugees and asylees,107,57,50,-
Other,10,7,3,-
,,,,
Leading countries of birth,,,,
Brazil,4,D,D,-
Burma,35,18,17,-
Canada,7,3,4,-
China,17,4,11,2
Colombia,6,D,D,-
El Salvador,6,D,D,-
Eritrea,4,D,D,-
Ethiopia,13,8,5,-
Guatemala,10,D,D,-
India,16,10,6,-
Iran,3,D,D,-
Kenya,12,5,7,-
Mexico,212,94,105,13
Nepal,16,8,8,-
Philippines,9,D,D,-
Somalia,29,16,13,-
South Africa,4,D,D,-
Thailand,14,7,7,-
United Kingdom,10,4,5,1
Vietnam,6,3,3,-
Other,43,16,27,-
Unknown,1,-,-,1
D  Data withheld to limit disclosure.,,,,
- Represents zero.,,,,
Source: U.S. Department of Homeland Security,,,,
