,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2014,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,586,278,308,-
6,,,,,
7,New arrivals,293,132,161,-
8,Adjustments of status,293,146,147,-
9,,,,,
10,Age,,,,
11,Under 18 years,158,75,83,-
12,18 to 24 years,79,35,44,-
13,25 to 34 years,138,77,61,-
14,35 to 44 years,106,56,50,-
15,45 to 54 years,45,15,30,-
16,55 to 64 years,34,12,22,-
17,65 years and over,26,8,18,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,265,133,132,-
22,Married,302,140,162,-
23,Other,19,5,14,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",29,19,10,-
28,Service occupations,24,17,7,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",13,D,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",40,37,3,-
33,Military,-,-,-,-
34,No occupation/not working outside home,336,110,226,-
35,Homemakers,100,D,D,-
36,Students or children,186,88,98,-
37,Retirees,4,D,D,-
38,Unemployed,46,D,D,-
39,Unknown,133,80,53,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,91,34,57,-
43,Employment-based preferences,28,16,12,-
44,Immediate relatives of U.S. citizens,279,127,152,-
45,Diversity,9,6,3,-
46,Refugees and asylees,157,79,78,-
47,Other,22,16,6,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,9,5,4,-
51,Burma,47,26,21,-
52,Canada,6,D,D,-
53,China,14,4,10,-
54,Cuba,6,D,D,-
55,El Salvador,14,4,10,-
56,Eritrea,9,5,4,-
57,Ethiopia,27,21,6,-
58,Guatemala,13,5,8,-
59,Haiti,5,D,D,-
60,Kenya,23,12,11,-
61,Malaysia,11,5,6,-
62,Mexico,254,118,136,-
63,Nepal,7,3,4,-
64,Philippines,9,3,6,-
65,Somalia,41,17,24,-
66,Spain,6,D,D,-
67,Thailand,20,7,13,-
68,Ukraine,5,D,D,-
69,United Kingdom,6,D,D,-
70,Other,53,22,31,-
71,Unknown,1,1,-,-
72,D Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security.,,,,
