,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Greeley, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,803,387,416,-
6,,,,,
7,New arrivals,365,171,194,-
8,Adjustments of status,438,216,222,-
9,,,,,
10,Age,,,,
11,Under 18 years,175,65,110,-
12,18 to 24 years,116,60,56,-
13,25 to 34 years,196,88,108,-
14,35 to 44 years,151,70,81,-
15,45 to 54 years,84,51,33,-
16,55 to 64 years,48,30,18,-
17,65 years and over,33,23,10,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,444,236,208,-
22,Single,315,115,200,-
23,Other,36,30,6,-
24,Unknown,8,6,2,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",39,11,28,-
28,Service occupations,25,15,10,-
29,Sales and office occupations,29,8,21,-
30,"Farming, fishing, and forestry occupations",13,-,13,-
31,"Construction, extraction, maintenance and repair occupations",16,-,16,-
32,"Production, transportation, and material moving occupations",63,7,56,-
33,Military,-,-,-,-
34,No occupation/not working outside home,374,235,139,-
35,Homemakers,126,121,5,-
36,Students or children,197,79,118,-
37,Retirees,5,D,D,-
38,Unemployed,46,D,D,-
39,Unknown,244,111,133,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,157,84,73,-
43,Employment-based preferences,17,5,12,-
44,Immediate relatives of U.S. citizens,374,200,174,-
45,Diversity,27,8,19,-
46,Refugees and asylees,219,86,133,-
47,Other,9,4,5,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,6,D,D,-
51,Benin,6,-,6,-
52,Burma,65,23,42,-
53,"China, People's Republic",22,12,10,-
54,Colombia,8,5,3,-
55,Cuba,18,4,14,-
56,El Salvador,6,3,3,-
57,Ethiopia,28,13,15,-
58,Germany,5,D,D,-
59,Guatemala,16,6,10,-
60,India,10,5,5,-
61,Kenya,34,13,21,-
62,Malaysia,12,4,8,-
63,Mexico,357,188,169,-
64,Nepal,12,7,5,-
65,Peru,9,4,5,-
66,Philippines,6,D,D,-
67,Somalia,58,31,27,-
68,Thailand,27,11,16,-
69,Vietnam,32,16,16,-
70,Other,66,29,37,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
