,Persons Becoming Legal Permanent Residents During Fiscal Year 2004,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,71,29,42,-
6,,,,,
7,Age,,,,
8,Under 18 years,8,D,D,-
9,18-24 years,11,5,6,-
10,25-34 years,35,16,19,-
11,35-44 years,5,D,D,-
12,45-54 years,7,D,D,-
13,55-64 years,D,D,D,-
14,65 years and over,D,D,D,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,17,D,D,-
19,Married,50,22,28,-
20,Other,4,D,D,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,D,D,-,-
25,Professional and technical,4,D,D,-
26,Sales,-,-,-,-
27,Administrative support,-,-,-,-
28,"Farming, forestry, fisheries",-,-,-,-
29,"Operators, fabricators, laborers",D,D,D,-
30,"Precision production, craft, repair",-,-,-,-
31,Service,D,D,D,-
32,Military,-,-,-,-
33,No occupation,21,D,D,-
34,Unknown,41,18,23,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,D,D,D,-
38,Employment-based preferences,9,D,D,-
39,Immediate relatives of U.S. citizens,51,22,29,-
40,Diversity programs,-,-,-,-
41,Refugee and asylee adjustments,D,D,-,-
42,Other,2,1,1,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Algeria,D,-,D,-
46,Brazil,D,-,D,-
47,Cambodia,D,-,D,-
48,Canada,5,D,D,-
49,China,D,-,D,-
50,Colombia,D,-,D,-
51,Costa Rica,D,D,-,-
52,Czech Republic,D,-,D,-
53,El Salvador,D,D,D,-
54,Estonia,D,-,D,-
55,Germany,D,-,D,-
56,India,D,D,-,-
57,Iran,D,D,D,-
58,Japan,4,-,4,-
59,Korea,3,D,D,-
60,Mali,D,D,-,-
61,Mexico,25,9,16,-
62,Philippines,D,-,D,-
63,United Kingdom,6,D,D,-
64,Vietnam,D,D,D,-
65,Other,6,5,1,-
66,,,,,
67,- Represents zero,,,,
68,D  Data withheld to limit disclosure.,,,,
