,Persons Becoming Legal Permanent Residents During Fiscal Year 2005,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,98,40,58,-
6,,,,,
7,Age,,,,
8,Under 18 years,15,7,8,-
9,18-24 years,14,8,6,-
10,25-34 years,30,13,17,-
11,35-44 years,21,7,14,-
12,45-54 years,6,D,D,-
13,55-64 years,8,D,D,-
14,65 years and over,4,D,D,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,30,D,D,-
19,Married,64,24,40,-
20,Other,4,D,D,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,-,-,-,-
25,Professional and technical,4,D,D,-
26,Sales,-,-,-,-
27,Administrative support,-,-,-,-
28,"Farming, forestry, fisheries",D,D,-,-
29,"Operators, fabricators, laborers",D,D,D,-
30,"Precision production, craft, repair",-,-,-,-
31,Service,4,D,D,-
32,Military,-,-,-,-
33,No occupation,38,10,28,-
34,Unknown,49,24,25,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,22,8,14,-
38,Employment-based preferences,10,D,D,-
39,Immediate relatives of U.S. citizens,62,27,35,-
40,Diversity programs,3,D,D,-
41,Refugee and asylee adjustments,-,-,-,-
42,Other,1,1,-,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Australia,D,-,D,-
46,Brazil,D,-,D,-
47,Bulgaria,D,-,D,-
48,Cameroon,D,-,D,-
49,Canada,D,-,D,-
50,China,7,D,D,-
51,Colombia,4,D,D,-
52,Czechoslovakia (former),D,D,D,-
53,Ethiopia,D,D,D,-
54,Germany,D,-,D,-
55,India,5,D,D,-
56,Japan,D,-,D,-
57,Jordan,3,3,-,-
58,Mexico,42,17,25,-
59,Pakistan,D,-,D,-
60,Philippines,3,D,D,-
61,Poland,D,-,D,-
62,South Africa,3,D,D,-
63,Spain,D,D,D,-
64,Ukraine,3,D,D,-
65,Other,10,4,6,-
66,,,,,
67,- Represents zero,,,,
68,D  Data withheld to limit disclosure.,,,,
