,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2006,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,97,38,59,-
6,,,,,
7,New arrivals,31,13,18,-
8,Adjustments of status,66,25,41,-
9,,,,,
10,Age,,,,
11,Under 18 years,22,10,12,-
12,18 to 24 years,11,5,6,-
13,25 to 34 years,28,10,18,-
14,35 to 44 years,16,6,10,-
15,45 to 54 years,11,D,D,-
16,55 to 64 years,4,D,D,-
17,65 years and over,5,D,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,33,D,D,-
22,Married,60,21,39,-
23,Other,3,D,D,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",11,D,D,-
28,Service occupations,7,D,D,-
29,Sales and office occupations,D,D,D,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",D,D,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,42,12,30,-
35,Homemakers,13,-,13,-
36,Students or children,23,D,D,-
37,Retirees,D,-,D,-
38,Unemployed,D,D,D,-
39,Unknown,32,11,21,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,D,D,D,-
43,Employment-based preferences,11,D,D,-
44,Immediate relatives of U.S. citizens,71,24,47,-
45,Diversity,-,-,-,-
46,Refugees and asylees,D,-,D,-
47,Other,3,1,2,-
48,,,,,
49,Leading countries of birth,,,,
50,Argentina,3,D,D,-
51,Australia,D,-,D,-
52,Belgium,D,D,-,-
53,Bolivia,D,-,D,-
54,Cambodia,3,D,D,-
55,China,8,D,D,-
56,Germany,4,D,D,-
57,Guatemala,5,D,D,-
58,Indonesia,D,D,D,-
59,Iran,D,D,D,-
60,Korea,D,-,D,-
61,Mexico,31,12,19,-
62,Moldova,3,D,D,-
63,Pakistan,D,D,D,-
64,Philippines,3,D,D,-
65,Russia,4,D,D,-
66,Soviet Union (former),3,D,D,-
67,Ukraine,4,D,D,-
68,United Kingdom,D,D,-,-
69,Vietnam,D,D,D,-
70,Other,10,3,7,-
71,Unknown,1,-,1,-
72,D  Data withheld to limit disclosure.,,,,
73,- Represents zero.,,,,
74,Source: U.S. Department of Homeland Security,,,,
