,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2012,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,94,49,45,-
6,,,,,
7,New arrivals,43,22,21,-
8,Adjustments of status,51,27,24,-
9,,,,,
10,Age,,,,
11,Under 18 years,18,14,4,-
12,18 to 24 years,12,6,6,-
13,25 to 34 years,25,13,12,-
14,35 to 44 years,18,8,10,-
15,45 to 54 years,15,5,10,-
16,55 to 64 years,D,3,D,-
17,65 years and over,D,-,D,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Single,D,20,D,-
22,Married,67,29,38,-
23,Other,D,-,D,-
24,Unknown,-,-,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",12,D,D,-
28,Service occupations,5,D,D,-
29,Sales and office occupations,D,D,-,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",D,D,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,44,20,24,-
35,Homemakers,12,-,12,-
36,Students or children,20,16,4,-
37,Retirees,-,-,-,-
38,Unemployed,12,4,8,-
39,Unknown,28,12,16,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,D,D,D,-
43,Employment-based preferences,14,D,D,-
44,Immediate relatives of U.S. citizens,72,33,39,-
45,Diversity,-,-,-,-
46,Refugees and asylees,D,D,-,-
47,Other,1,1,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Brazil,D,D,D,-
51,Bulgaria,D,D,-,-
52,Canada,4,D,D,-
53,Chile,D,D,-,-
54,China,3,D,D,-
55,Dominican Republic,5,D,D,-
56,El Salvador,D,D,-,-
57,Ethiopia,D,D,-,-
58,France,D,-,D,-
59,Germany,3,-,3,-
60,India,3,D,D,-
61,"Korea, South",D,D,D,-
62,Mexico,42,23,19,-
63,Nepal,D,D,D,-
64,Pakistan,D,D,-,-
65,Philippines,6,D,D,-
66,Thailand,D,-,D,-
67,Trinidad and Tobago,D,D,D,-
68,Ukraine,D,D,D,-
69,United Kingdom,3,D,D,-
70,Other,6,4,2,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
