,Persons Obtaining Legal Permanent Resident Status During Fiscal Year 2013,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,114,54,54,6
6,,,,,
7,New arrivals,61,30,25,6
8,Adjustments of status,53,24,29,-
9,,,,,
10,Age,,,,
11,Under 18 years,24,14,10,-
12,18 to 24 years,12,7,5,-
13,25 to 34 years,27,11,16,-
14,35 to 44 years,18,8,10,-
15,45 to 54 years,10,5,5,-
16,55 to 64 years,11,6,5,-
17,65 years and over,6,3,3,-
18,Unknown,6,-,-,6
19,,,,,
20,Marital status,,,,
21,Single,42,D,D,D
22,Married,66,27,36,3
23,Other,5,D,D,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",16,9,5,2
28,Service occupations,D,-,D,-
29,Sales and office occupations,D,-,D,-
30,"Farming, fishing, and forestry occupations",D,D,-,-
31,"Construction, extraction, maintenance and repair occupations",D,D,-,-
32,"Production, transportation, and material moving occupations",4,4,-,-
33,Military,-,-,-,-
34,No occupation/not working outside home,68,24,40,4
35,Homemakers,25,D,20,D
36,Students or children,33,17,14,2
37,Retirees,D,D,D,-
38,Unemployed,D,3,D,-
39,Unknown,20,14,6,-
40,,,,,
41,Broad class of admission,,,,
42,Family-sponsored preferences,19,D,D,-
43,Employment-based preferences,21,D,D,-
44,Immediate relatives of U.S. citizens,68,28,35,5
45,Diversity,3,D,-,D
46,Refugees and asylees,-,-,-,-
47,Other,3,3,-,-
48,,,,,
49,Leading countries of birth,,,,
50,Bangladesh,D,-,D,-
51,Brazil,D,D,D,-
52,Cambodia,D,D,-,-
53,Cameroon,D,D,D,-
54,Canada,5,D,D,-
55,China,9,3,6,-
56,Colombia,7,D,D,-
57,Egypt,D,D,-,-
58,Germany,D,-,-,D
59,Ghana,D,D,-,-
60,Honduras,D,D,-,-
61,Iran,3,-,D,D
62,"Korea, South",D,D,-,-
63,Mexico,41,24,13,4
64,Nepal,9,5,4,-
65,Nigeria,6,D,D,-
66,Pakistan,4,D,D,-
67,Peru,D,-,D,-
68,Philippines,11,D,D,-
69,Ukraine,D,D,D,-
70,Other,3,-,3,-
71,D  Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security,,,,
