,Persons Obtaining Lawful Permanent Resident Status During Fiscal Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Core Based Statistical Area (CBSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"CBSA: Pueblo, CO",,,,
3,,,,,
4,Characteristic,Total,Female,Male,Unknown
5,Total,112,57,55,-
6,,,,,
7,New arrivals,46,16,30,-
8,Adjustments of status,66,41,25,-
9,,,,,
10,Age,,,,
11,Under 18 years,13,7,6,-
12,18 to 24 years,15,10,5,-
13,25 to 34 years,32,14,18,-
14,35 to 44 years,20,8,12,-
15,45 to 54 years,15,10,5,-
16,55 to 64 years,11,5,6,-
17,65 years and over,6,3,3,-
18,Unknown,-,-,-,-
19,,,,,
20,Marital status,,,,
21,Married,88,46,42,-
22,Single,D,D,13,-
23,Other,D,D,-,-
24,Unknown,1,1,-,-
25,,,,,
26,Occupation,,,,
27,"Management, professional, and related occupations",5,-,5,-
28,Service occupations,D,3,D,-
29,Sales and office occupations,5,D,D,-
30,"Farming, fishing, and forestry occupations",D,-,D,-
31,"Construction, extraction, maintenance and repair occupations",5,-,5,-
32,"Production, transportation, and material moving occupations",15,D,D,-
33,Military,-,-,-,-
34,No occupation/not working outside home,51,37,14,-
35,Homemakers,20,D,D,-
36,Students or children,D,D,6,-
37,Retirees,D,D,D,-
38,Unemployed,15,10,5,-
39,Unknown,25,14,11,-
40,,,,,
41,Broad class of admission,,,,
42,Immediate relatives of U.S. citizens,82,42,40,-
43,Family-sponsored preferences,D,D,4,-
44,Employment-based preferences,8,D,D,-
45,Diversity,D,-,D,-
46,Refugees and asylees,9,D,D,-
47,Other,4,3,1,-
48,,,,,
49,Leading countries of birth,,,,
50,Afghanistan,4,D,D,-
51,Bahrain,D,D,-,-
52,Brazil,D,D,-,-
53,Canada,D,D,D,-
54,"China, People's Republic",5,D,D,-
55,Colombia,D,D,D,-
56,Cuba,8,5,3,-
57,El Salvador,D,-,D,-
58,Ethiopia,D,-,D,-
59,Germany,D,D,-,-
60,Ghana,D,D,-,-
61,Honduras,D,-,D,-
62,India,D,D,-,-
63,Jordan,D,D,D,-
64,"Korea, South",D,-,D,-
65,Mexico,59,23,36,-
66,Morocco,D,D,-,-
67,Philippines,5,5,-,-
68,Thailand,D,D,-,-
69,Uruguay,D,D,D,-
70,Other,9,5,4,-
71,D Data withheld to limit disclosure.,,,,
72,- Represents zero.,,,,
73,Source: U.S. Department of Homeland Security.,,,,
