,Persons Becoming Legal Permanent Residents During Fiscal Year 2003,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
0,by Metropolitan Statistical Area (MSA) of Residence and Selected Characteristics,,,,
1,,,,,
2,"MSA: Boulder-Longmont, CO",,,,
3,,,,,
4,Characteristic,Total,Male,Female,Unknown
5,Total,847,369,478,-
6,,,,,
7,Age,,,,
8,Under 18 years,168,69,99,-
9,18-24 years,102,36,66,-
10,25-34 years,303,144,159,-
11,35-44 years,132,66,66,-
12,45-54 years,53,17,36,-
13,55-64 years,37,12,25,-
14,65 years and over,52,25,27,-
15,Unknown,-,-,-,-
16,,,,,
17,Marital status,,,,
18,Single,257,126,131,-
19,Married,560,235,325,-
20,Other,30,8,22,-
21,Unknown,-,-,-,-
22,,,,,
23,Occupation,,,,
24,Executive and managerial,26,20,6,-
25,Professional and technical,70,52,18,-
26,Sales,12,5,7,-
27,Administrative support,8,D,D,-
28,"Farming, forestry, fisheries",3,D,D,-
29,"Operators, fabricators, laborers",8,D,D,-
30,"Precision production, craft, repair",5,5,-,-
31,Service,14,8,6,-
32,Military,-,-,-,-
33,No occupation,285,93,192,-
34,Unknown,416,177,239,-
35,,,,,
36,Major class of admission,,,,
37,Family-sponsored preferences,97,45,52,-
38,Employment-based preferences,161,89,72,-
39,Immediate relatives of U.S. citizens,514,194,320,-
40,Diversity programs,53,30,23,-
41,Refugee and asylee adjustments,14,8,6,-
42,Other,8,3,5,-
43,,,,,
44,Top 20 countries of birth,,,,
45,Bosnia and Herzegovina,8,3,5,-
46,Brazil,10,3,7,-
47,Canada,39,17,22,-
48,China,92,31,61,-
49,Colombia,14,7,7,-
50,Ethiopia,9,3,6,-
51,France,8,D,D,-
52,Germany,14,3,11,-
53,India,81,41,40,-
54,Kenya,8,D,D,-
55,Korea,32,15,17,-
56,Mexico,171,89,82,-
57,Nepal,41,25,16,-
58,Peru,8,5,3,-
59,Philippines,12,-,12,-
60,Russia,28,11,17,-
61,Taiwan,9,D,D,-
62,United Kingdom,47,25,22,-
63,Venezuela,9,4,5,-
64,Vietnam,24,11,13,-
65,Other,183,70,113,-
66,,,,,
67,- Represents zero,,,,
68,D  Data withheld to limit disclosure.,,,,
